particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
348.0,-0.583,0.156,0.755,-1.124,0.3,1.455,1.0,321.0,3.0,0.494
384.0,-0.435,-0.882,-0.103,-0.409,-0.831,-0.097,-1.0,-211.0,3.0,0.14
387.0,-0.759,-0.043,-0.581,-1.292,-0.074,-0.988,1.0,321.0,3.0,0.494
388.0,-0.19,-0.182,-0.216,-0.1,-0.096,-0.113,-1.0,-321.0,3.0,0.494
401.0,0.234,0.193,-0.382,0.132,0.109,-0.216,1.0,321.0,3.0,0.494
402.0,-0.16,0.131,-0.669,-0.11,0.09,-0.462,-1.0,-321.0,3.0,0.494
403.0,0.441,-0.346,0.207,0.271,-0.213,0.128,1.0,321.0,3.0,0.494
427.0,0.312,-0.526,-0.438,0.233,-0.394,-0.328,-1.0,-321.0,3.0,0.494
428.0,-0.041,0.181,-0.981,-0.094,0.418,-2.272,1.0,211.0,3.0,0.14
429.0,0.044,-0.422,-0.902,0.079,-0.76,-1.626,-1.0,-211.0,3.0,0.14
449.0,0.376,-0.4,0.813,0.266,-0.283,0.575,1.0,211.0,3.0,0.14
472.0,0.106,-0.124,0.937,0.171,-0.199,1.505,-1.0,-321.0,3.0,0.494
479.0,-0.253,0.329,-0.864,-0.125,0.162,-0.426,1.0,211.0,3.0,0.14
526.0,-0.412,0.099,0.834,-0.577,0.139,1.168,-1.0,-321.0,3.0,0.494
527.0,0.305,0.316,0.845,0.14,0.145,0.388,1.0,211.0,3.0,0.14
528.0,-0.617,0.202,0.756,-1.046,0.342,1.283,1.0,211.0,3.0,0.14
529.0,-0.263,0.163,0.947,-0.412,0.256,1.483,-1.0,-211.0,3.0,0.14
534.0,-0.028,0.218,0.975,-0.181,1.411,6.305,-1.0,-211.0,3.0,0.14
552.0,-0.264,0.268,0.921,-0.368,0.373,1.283,-1.0,-211.0,3.0,0.14
556.0,-0.103,0.176,0.972,-0.12,0.206,1.133,1.0,211.0,3.0,0.14
558.0,-0.118,-0.125,0.979,-0.145,-0.154,1.204,-1.0,-211.0,3.0,0.14
568.0,-0.187,-0.608,0.77,-0.429,-1.399,1.771,-1.0,-211.0,3.0,0.14
571.0,-0.097,0.233,0.94,-0.059,0.142,0.573,-1.0,-211.0,3.0,0.14
574.0,0.22,-0.216,0.851,0.072,-0.071,0.28,1.0,211.0,3.0,0.14
581.0,-0.659,0.216,0.578,-0.214,0.07,0.188,1.0,211.0,3.0,0.14
582.0,-0.229,0.929,-0.11,-0.118,0.479,-0.057,-1.0,-211.0,3.0,0.14
584.0,0.292,0.801,-0.2,0.085,0.232,-0.058,1.0,211.0,3.0,0.14
585.0,-0.176,-0.312,0.885,-0.083,-0.147,0.416,-1.0,-211.0,3.0,0.14
618.0,0.181,0.854,-0.461,0.159,0.754,-0.407,1.0,211.0,3.0,0.14
637.0,0.201,-0.073,-0.931,0.094,-0.034,-0.437,1.0,211.0,3.0,0.14
657.0,0.15,-0.274,0.942,0.177,-0.323,1.112,1.0,211.0,3.0,0.14
659.0,-0.051,-0.232,0.964,-0.06,-0.271,1.128,1.0,211.0,3.0,0.14
660.0,-0.732,0.253,-0.284,-0.64,0.221,-0.248,-1.0,-321.0,3.0,0.494
662.0,0.484,0.8,-0.237,0.257,0.425,-0.126,1.0,211.0,3.0,0.14
727.0,-0.089,0.166,0.981,-0.3,0.559,3.315,1.0,211.0,3.0,0.14
728.0,-0.078,0.315,0.943,-0.159,0.643,1.928,-1.0,-211.0,3.0,0.14
729.0,0.361,-0.11,0.914,0.335,-0.102,0.848,1.0,211.0,3.0,0.14
730.0,0.142,0.116,0.98,0.241,0.197,1.66,-1.0,-211.0,3.0,0.14
744.0,-0.014,-0.221,0.967,-0.015,-0.239,1.044,1.0,211.0,3.0,0.14
747.0,-0.057,-0.391,0.914,-0.089,-0.606,1.417,1.0,211.0,3.0,0.14
748.0,-0.099,-0.259,0.96,-0.437,-1.141,4.238,-1.0,-211.0,3.0,0.14
749.0,0.427,-0.17,0.877,0.424,-0.169,0.87,1.0,211.0,3.0,0.14
750.0,0.213,-0.438,0.868,0.303,-0.625,1.237,-1.0,-211.0,3.0,0.14
793.0,-0.381,-0.785,-0.348,-0.155,-0.32,-0.142,-1.0,-211.0,3.0,0.14
889.0,-0.729,0.594,-0.26,-0.459,0.374,-0.164,-1.0,-211.0,3.0,0.14
975.0,0.813,-0.56,0.047,0.747,-0.515,0.043,-1.0,-211.0,3.0,0.14
978.0,0.411,0.621,-0.658,1.816,2.746,-2.908,1.0,321.0,3.0,0.494
982.0,-0.415,0.849,0.314,-0.629,1.288,0.476,-1.0,-211.0,3.0,0.14
