particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
106.0,-0.353,0.731,-0.086,-0.302,0.626,-0.074,1.0,321.0,130.0,0.494,106.0
144.0,0.17,-0.043,0.969,0.487,-0.124,2.775,-1.0,-321.0,130.0,0.494,144.0
146.0,0.556,0.084,-0.803,0.39,0.059,-0.563,-1.0,-211.0,130.0,0.14,146.0
178.0,-0.153,0.324,0.909,-0.101,0.213,0.598,1.0,211.0,130.0,0.14,178.0
179.0,0.282,-0.091,0.948,0.341,-0.111,1.149,-1.0,-211.0,130.0,0.14,179.0
214.0,-0.158,0.167,-0.963,-0.547,0.579,-3.34,1.0,321.0,130.0,0.494,214.0
229.0,-0.106,0.167,-0.963,-0.284,0.446,-2.571,-1.0,-321.0,130.0,0.494,229.0
276.0,-0.089,-0.255,0.958,-0.136,-0.39,1.465,-1.0,-211.0,130.0,0.14,276.0
306.0,-0.439,-0.416,0.716,-0.176,-0.166,0.286,1.0,211.0,130.0,0.14,306.0
308.0,-0.125,0.689,-0.1,-0.025,0.136,-0.02,1.0,211.0,130.0,0.14,308.0
310.0,0.06,-0.283,-0.957,0.228,-1.083,-3.66,-1.0,-211.0,130.0,0.14,310.0
312.0,0.241,-0.238,-0.94,0.689,-0.68,-2.687,1.0,211.0,130.0,0.14,312.0
313.0,0.167,-0.129,-0.976,0.51,-0.394,-2.988,-1.0,-211.0,130.0,0.14,313.0
329.0,-0.189,-0.346,-0.907,-0.175,-0.322,-0.843,-1.0,-211.0,130.0,0.14,329.0
335.0,-0.232,0.37,-0.889,-0.232,0.37,-0.889,-1.0,-211.0,130.0,0.14,335.0
339.0,0.475,0.819,-0.061,0.21,0.362,-0.027,1.0,211.0,130.0,0.14,339.0
340.0,0.463,0.113,0.803,0.181,0.044,0.314,-1.0,-211.0,130.0,0.14,340.0
369.0,0.135,0.221,-0.926,0.069,0.112,-0.471,1.0,211.0,130.0,0.14,369.0
503.0,0.173,0.213,-0.961,0.59,0.727,-3.275,-1.0,-211.0,130.0,0.14,503.0
679.0,0.146,0.16,-0.969,0.175,0.191,-1.159,-1.0,-211.0,130.0,0.14,679.0
686.0,0.085,-0.36,0.897,0.049,-0.208,0.519,1.0,211.0,130.0,0.14,686.0
687.0,0.205,-0.943,0.092,0.116,-0.534,0.052,-1.0,-211.0,130.0,0.14,687.0
690.0,0.882,0.218,0.237,0.357,0.088,0.096,1.0,211.0,130.0,0.14,690.0
713.0,0.962,0.049,0.215,0.822,0.042,0.184,1.0,211.0,130.0,0.14,713.0
714.0,-0.52,0.429,0.217,-0.103,0.085,0.043,-1.0,-211.0,130.0,0.14,714.0
855.0,0.018,0.507,0.86,0.055,1.573,2.667,-1.0,-211.0,130.0,0.14,855.0
863.0,-0.63,0.408,0.656,-1.116,0.724,1.164,-1.0,-211.0,130.0,0.14,863.0
879.0,0.269,0.12,-0.902,0.118,0.053,-0.396,1.0,211.0,130.0,0.14,879.0
887.0,0.144,-0.763,-0.338,0.038,-0.2,-0.089,1.0,211.0,130.0,0.14,887.0
888.0,-0.641,0.46,0.292,-0.165,0.119,0.075,-1.0,-211.0,130.0,0.14,888.0
890.0,-0.126,-0.164,0.96,-0.093,-0.122,0.71,-1.0,-211.0,130.0,0.14,890.0
893.0,0.176,-0.128,-0.975,0.516,-0.376,-2.855,1.0,211.0,130.0,0.14,893.0
895.0,0.129,0.194,-0.964,0.495,0.747,-3.711,1.0,321.0,130.0,0.494,895.0
896.0,-0.157,0.484,-0.85,-0.16,0.494,-0.869,-1.0,-211.0,130.0,0.14,896.0
921.0,0.034,0.562,-0.82,0.045,0.746,-1.088,-1.0,-211.0,130.0,0.14,921.0
922.0,0.002,0.808,-0.263,0.002,0.755,-0.246,1.0,321.0,130.0,0.494,922.0
923.0,-0.332,0.225,-0.876,-0.614,0.416,-1.621,-1.0,-321.0,130.0,0.494,923.0
930.0,-0.157,-0.105,0.981,-0.44,-0.294,2.75,1.0,211.0,130.0,0.14,930.0
1053.0,-0.183,-0.951,-0.188,-0.154,-0.801,-0.158,1.0,211.0,130.0,0.14,1053.0
1054.0,-0.128,-0.973,0.015,-0.093,-0.71,0.011,-1.0,-211.0,130.0,0.14,1054.0
1056.0,-0.019,0.597,0.193,-0.003,0.107,0.035,1.0,211.0,130.0,0.14,1056.0
1057.0,0.105,-0.599,0.709,0.041,-0.235,0.278,-1.0,-211.0,130.0,0.14,1057.0
1059.0,-0.099,-0.374,-0.836,-0.035,-0.134,-0.299,1.0,211.0,130.0,0.14,1059.0
1060.0,0.1,-0.926,0.013,0.038,-0.354,0.005,-1.0,-211.0,130.0,0.14,1060.0
1118.0,0.11,-0.136,0.984,0.571,-0.709,5.114,-1.0,-211.0,130.0,0.14,1118.0
1126.0,0.07,-0.18,0.98,0.229,-0.591,3.222,-1.0,-211.0,130.0,0.14,1126.0
1127.0,-0.141,0.124,0.98,-0.305,0.268,2.116,1.0,211.0,130.0,0.14,1127.0
1135.0,-0.169,0.147,0.971,-0.29,0.252,1.664,1.0,211.0,130.0,0.14,1135.0
1136.0,0.064,0.762,0.529,0.024,0.289,0.201,-1.0,-211.0,130.0,0.14,1136.0
1137.0,-0.036,0.691,0.699,-0.028,0.532,0.538,1.0,211.0,130.0,0.14,1137.0
1138.0,-0.172,-0.039,0.976,-0.191,-0.044,1.089,-1.0,-211.0,130.0,0.14,1138.0
1165.0,0.322,0.187,-0.89,0.17,0.099,-0.47,1.0,211.0,130.0,0.14,1165.0
1167.0,-0.126,-0.293,-0.906,-0.063,-0.148,-0.457,1.0,211.0,130.0,0.14,1167.0
1168.0,0.098,0.924,0.154,0.041,0.383,0.064,-1.0,-211.0,130.0,0.14,1168.0
1178.0,0.131,0.144,-0.957,0.084,0.093,-0.616,1.0,211.0,130.0,0.14,1178.0
