"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-0.38870967741935486,2.04,1,317
2,5.05,-0.39702970297029705,3.3200000000000003,2,317
3,8.85,-0.4112994350282486,5.84,3,317
4,12.25,-0.42448979591836733,8.08,4,317
5,29.9,-0.4928294314381271,19.8,5,317
6,37.1,-0.5208140161725067,24.6,6,317
7,44.3,-0.5489119638826184,29.400000000000002,7,317
8,51.4,-0.5768754863813229,34.2,8,317
9,3.1,-1.1838709677419355,-1.24,1,320
10,5.05,-1.1732673267326732,-2.,2,320
11,8.85,-1.1531073446327684,-3.52,3,320
12,12.25,-1.1346938775510202,-4.88,4,320
13,29.9,-1.0383076923076922,-12.,5,320
14,37.1,-0.9986469002695416,-14.92,6,320
15,44.3,-0.9586772009029344,-17.88,7,320
16,51.4,-0.9188599221789883,-20.8,8,320
17,3.1,-1.603225806451613,-7.76,1,323
18,5.05,-1.616831683168317,-12.64,2,323
19,8.85,-1.640677966101695,-22.16,3,323
20,12.25,-1.6628571428571426,-30.72,4,323
21,29.9,-1.7781204013377925,-75.36,5,323
22,37.1,-1.8258274932614553,-93.8,6,323
23,44.3,-1.8739909706546274,-112.52,7,323
24,51.4,-1.922190661478599,-131.2,8,323
25,3.1,-3.106451612903226,-0.84,1,357
26,5.05,-3.094059405940594,-1.4000000000000001,2,357
27,8.85,-3.0706214689265536,-2.44,3,357
28,12.25,-3.0493877551020407,-3.36,4,357
29,29.9,-2.9393511705685618,-8.24,5,357
30,37.1,-2.8937574123989216,-10.28,6,357
31,44.3,-2.8480180586907444,-12.32,7,357
32,51.4,-2.801824902723735,-14.36,8,357
33,3.1,2.446774193548387,15.08,1,361
34,5.05,2.4396039603960396,24.560000000000002,2,361
35,8.85,2.42316384180791,43.04,3,361
36,12.25,2.4089795918367343,59.6,4,361
37,29.9,2.334515050167224,145.8,5,361
38,37.1,2.3039353099730455,181.16,6,361
39,44.3,2.273318284424379,216.72,7,361
40,51.4,2.2427431906614785,251.96,8,361
41,3.1,-3.046774193548387,4.4,1,369
42,5.05,-3.020792079207921,7.2,2,369
43,8.85,-2.9700564971751415,12.64,3,369
44,12.25,-2.924489795918367,17.52,4,369
45,29.9,-2.6791772575250836,43.800000000000004,5,369
46,37.1,-2.5721778975741234,55.28,6,369
47,44.3,-2.4581309255079002,67.48,7,369
48,51.4,-2.335416342412451,80.64,8,369
49,3.1,-3.132258064516129,9.72,1,373
50,5.05,3.118811881188119,15.84,2,373
51,8.85,3.0570621468926555,27.8,3,373
52,12.25,3.000816326530612,38.6,4,373
53,29.9,2.693505016722408,97.76,5,373
54,37.1,2.553574123989218,124.68,6,373
55,44.3,2.3968081264108347,154.84,7,373
56,51.4,2.2113891050583656,190.52,8,373
57,3.1,-2.8548387096774195,18.48,1,374
58,5.05,-2.8425742574257424,30.12,2,374
59,8.85,-2.819774011299435,52.800000000000004,3,374
60,12.25,-2.7995918367346935,73.12,4,374
61,29.9,-2.693846153846154,179.28,5,374
