PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,873.444,444.634,186.303,-529.619,500.0,1.0,1.0,881.0,634.0
15.0,1450.893,-410.302,-157.975,1289.103,500.0,-1.0,1.0,881.0,635.0
