"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-1.446774193548387,5.12,1,194
2,5.05,-1.4673267326732673,8.32,2,194
3,8.85,-1.507909604519774,14.6,3,194
4,12.25,-1.5444897959183672,20.240000000000002,4,194
5,29.9,-1.7392307692307691,50.08,5,194
6,37.1,-1.8216118598382747,62.800000000000004,6,194
7,44.3,-1.9076072234762977,75.96000000000001,7,194
8,51.4,-1.9964747081712062,89.60000000000001,8,194
9,3.1,2.085483870967742,-5.28,1,198
10,5.05,2.0772277227722773,-8.6,2,198
11,8.85,2.062146892655367,-15.08,3,198
12,12.25,2.0485714285714285,-20.88,4,198
13,29.9,1.9785953177257525,-51.04,5,198
14,37.1,1.9500053908355792,-63.4,6,198
15,44.3,1.9210383747178328,-75.84,7,198
16,51.4,1.892556420233463,-88.16,8,198
17,3.1,-0.9225806451612903,-9.76,1,200
18,5.05,-0.9,-15.92,2,200
19,8.85,-0.8548022598870056,-27.96,3,200
20,12.25,-0.813877551020408,-38.76,4,200
21,29.9,-0.5973311036789297,-96.4,5,200
22,37.1,-0.504409703504043,-121.16,6,200
23,44.3,-0.40677200902934535,-147.08,7,200
24,51.4,-0.3040817120622568,-174.32,8,200
25,3.1,-2.306451612903226,4.44,1,201
26,5.05,-2.3257425742574256,7.2,2,201
27,8.85,-2.3649717514124293,12.64,3,201
28,12.25,-2.4,17.52,4,201
29,29.9,-2.5854782608695652,43.36,5,201
30,37.1,-2.6641886792452825,54.28,6,201
31,44.3,-2.745480812641083,65.6,7,201
32,51.4,-2.8290116731517507,77.24,8,201
33,3.1,-1.6258064516129032,17.44,1,202
34,5.05,-1.5841584158415842,28.44,2,202
35,8.85,-1.5022598870056498,50.08,3,202
36,12.25,-1.4281632653061223,69.68,4,202
37,29.9,-1.002829431438127,182.20000000000002,5,202
38,37.1,-0.7830997304582209,240.36,6,202
39,3.1,0.6983870967741935,3.64,1,349
40,5.05,0.6930693069306931,5.92,2,349
41,8.85,0.684180790960452,10.4,3,349
42,12.25,0.6763265306122448,14.4,4,349
43,29.9,0.6342876254180602,35.160000000000004,5,349
44,37.1,0.6170404312668463,43.64,6,349
45,44.3,0.5997968397291196,52.120000000000005,7,349
46,51.4,0.5827626459143969,60.52,8,349
47,3.1,-0.6919354838709677,-9.8,1,354
48,5.05,-0.6841584158415842,-15.96,2,354
49,8.85,-0.6672316384180791,-27.96,3,354
50,12.25,-0.6526530612244897,-38.68,4,354
51,29.9,-0.5767491638795986,-94.64,5,354
52,37.1,-0.5455579514824797,-117.64,6,354
53,44.3,-0.5141444695259593,-140.72,7,354
54,51.4,-0.4830778210116731,-163.64000000000001,8,354
55,3.1,-2.706451612903226,-16.28,1,377
56,5.05,-2.721782178217822,-26.52,2,377
57,8.85,-2.7497175141242938,-46.52,3,377
58,12.25,-2.775510204081632,-64.44,4,377
59,29.9,-2.9093311036789298,-158.44,5,377
60,37.1,-2.965148247978436,-197.52,6,377
61,44.3,-3.0217020316027083,-237.24,7,377
62,51.4,-3.0786536964980544,-277.2,8,377
63,3.1,-0.1774193548387097,5.5600000000000005,1,486
64,5.05,-0.21485148514851485,9.040000000000001,2,486
