particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
104.0,-0.729,-0.15,0.629,-0.454,-0.093,0.392,-1.0,-211.0,734.0,0.14,104.0
107.0,0.153,0.122,0.965,0.434,0.345,2.741,-1.0,-321.0,734.0,0.494,107.0
252.0,0.402,-0.177,0.823,0.157,-0.069,0.32,-1.0,-211.0,734.0,0.14,252.0
253.0,0.149,-0.207,0.965,0.351,-0.488,2.273,1.0,211.0,734.0,0.14,253.0
273.0,0.16,0.037,-0.986,1.186,0.273,-7.31,1.0,211.0,734.0,0.14,273.0
279.0,0.402,-0.119,-0.905,0.738,-0.219,-1.662,-1.0,-211.0,734.0,0.14,279.0
280.0,0.399,-0.279,-0.872,1.053,-0.737,-2.302,1.0,211.0,734.0,0.14,280.0
283.0,0.74,-0.397,-0.511,0.564,-0.303,-0.39,-1.0,-211.0,734.0,0.14,283.0
285.0,0.868,0.181,-0.402,0.53,0.111,-0.245,1.0,211.0,734.0,0.14,285.0
287.0,0.297,-0.363,-0.88,0.541,-0.662,-1.605,-1.0,-211.0,734.0,0.14,287.0
289.0,0.875,-0.311,-0.175,0.373,-0.132,-0.075,1.0,211.0,734.0,0.14,289.0
291.0,0.876,-0.419,0.216,1.165,-0.557,0.287,-1.0,-211.0,734.0,0.14,291.0
375.0,0.085,-0.161,-0.982,0.723,-1.378,-8.38,-1.0,-321.0,734.0,0.494,375.0
432.0,0.262,0.026,-0.964,0.92,0.09,-3.384,1.0,211.0,734.0,0.14,432.0
437.0,0.506,-0.083,-0.858,3.8,-0.626,-6.448,1.0,211.0,734.0,0.14,437.0
438.0,0.457,0.126,-0.876,0.69,0.191,-1.322,-1.0,-211.0,734.0,0.14,438.0
445.0,0.707,0.147,-0.679,0.727,0.151,-0.698,1.0,211.0,734.0,0.14,445.0
446.0,0.149,-0.795,-0.568,0.135,-0.719,-0.514,-1.0,-211.0,734.0,0.14,446.0
449.0,0.544,-0.612,0.471,0.231,-0.26,0.2,1.0,211.0,734.0,0.14,449.0
452.0,0.397,0.084,0.883,0.234,0.049,0.52,-1.0,-211.0,734.0,0.14,452.0
454.0,-0.011,-0.354,0.916,-0.008,-0.261,0.674,1.0,211.0,734.0,0.14,454.0
484.0,-0.103,-0.276,0.955,-0.429,-1.151,3.984,-1.0,-211.0,734.0,0.14,484.0
491.0,0.032,-0.43,-0.811,0.011,-0.152,-0.287,1.0,211.0,734.0,0.14,491.0
524.0,-0.907,-0.1,0.128,-0.327,-0.036,0.046,-1.0,-211.0,734.0,0.14,524.0
543.0,0.318,-0.007,-0.946,0.795,-0.018,-2.368,-1.0,-211.0,734.0,0.14,543.0
622.0,-0.248,0.857,-0.101,-0.078,0.271,-0.032,1.0,211.0,734.0,0.14,622.0
625.0,-0.141,0.1,-0.985,-0.891,0.632,-6.206,-1.0,-211.0,734.0,0.14,625.0
628.0,-0.084,0.198,-0.97,-0.104,0.245,-1.201,-1.0,-211.0,734.0,0.14,628.0
629.0,-0.077,0.171,-0.98,-0.178,0.391,-2.249,1.0,211.0,734.0,0.14,629.0
651.0,-0.302,-0.211,-0.903,-0.192,-0.134,-0.575,1.0,211.0,734.0,0.14,651.0
677.0,0.008,0.618,-0.769,0.007,0.539,-0.67,-1.0,-211.0,734.0,0.14,677.0
679.0,-0.491,0.343,-0.792,-0.588,0.41,-0.949,1.0,211.0,734.0,0.14,679.0
680.0,-0.229,0.036,-0.971,-0.536,0.084,-2.275,-1.0,-211.0,734.0,0.14,680.0
682.0,-0.141,0.223,-0.959,-0.189,0.299,-1.287,-1.0,-211.0,734.0,0.14,682.0
685.0,-0.205,-0.025,-0.978,-0.82,-0.098,-3.918,-1.0,-211.0,734.0,0.14,685.0
770.0,-0.654,-0.573,0.126,-0.191,-0.168,0.037,1.0,211.0,734.0,0.14,770.0
771.0,-0.666,0.345,0.661,-3.726,1.928,3.697,-1.0,-211.0,734.0,0.14,771.0
774.0,-0.899,0.256,0.325,-0.87,0.248,0.315,-1.0,-211.0,734.0,0.14,774.0
776.0,-0.614,0.705,0.333,-0.691,0.794,0.375,-1.0,-211.0,734.0,0.14,776.0
779.0,-0.701,0.529,-0.273,-0.249,0.188,-0.097,1.0,211.0,734.0,0.14,779.0
781.0,-0.242,0.48,-0.834,-0.278,0.553,-0.961,-1.0,-211.0,734.0,0.14,781.0
795.0,-0.933,-0.323,-0.114,-1.183,-0.409,-0.145,-1.0,-211.0,734.0,0.14,795.0
797.0,-0.801,-0.207,-0.475,-0.375,-0.097,-0.222,1.0,211.0,734.0,0.14,797.0
830.0,-0.062,0.251,0.947,-0.045,0.181,0.682,-1.0,-211.0,734.0,0.14,830.0
831.0,-0.073,0.163,0.983,-0.223,0.5,3.014,1.0,211.0,734.0,0.14,831.0
832.0,-0.383,-0.068,0.919,-0.832,-0.148,1.998,-1.0,-211.0,734.0,0.14,832.0
833.0,-0.497,-0.112,0.809,-0.237,-0.053,0.386,1.0,211.0,734.0,0.14,833.0
834.0,-0.477,0.36,0.801,-2.076,1.567,3.488,-1.0,-211.0,734.0,0.14,834.0
835.0,-0.521,0.248,0.816,-1.83,0.871,2.863,1.0,211.0,734.0,0.14,835.0
