particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
142.0,0.148,-0.221,0.947,0.405,-0.606,2.593,-1.0,-321.0,480.0,0.494,142.0
143.0,0.059,-0.279,0.958,0.603,-2.841,9.77,1.0,211.0,480.0,0.14,143.0
166.0,0.641,0.387,-0.63,0.438,0.265,-0.431,-1.0,-211.0,480.0,0.14,166.0
167.0,-0.851,0.391,-0.289,-0.59,0.271,-0.2,1.0,211.0,480.0,0.14,167.0
168.0,0.722,-0.593,-0.193,0.336,-0.276,-0.09,-1.0,-211.0,480.0,0.14,168.0
170.0,-0.283,-0.762,0.229,-0.074,-0.199,0.06,-1.0,-211.0,480.0,0.14,170.0
173.0,0.581,-0.116,0.757,0.294,-0.059,0.383,1.0,211.0,480.0,0.14,173.0
174.0,-0.158,0.08,0.983,-0.465,0.236,2.887,-1.0,-211.0,480.0,0.14,174.0
186.0,-0.186,-0.114,0.97,-0.242,-0.149,1.265,1.0,211.0,480.0,0.14,186.0
199.0,-0.259,-0.002,0.963,-0.507,-0.003,1.885,1.0,211.0,480.0,0.14,199.0
200.0,0.25,0.087,0.959,0.358,0.125,1.374,-1.0,-211.0,480.0,0.14,200.0
240.0,-0.017,-0.174,-0.983,-0.148,-1.49,-8.394,-1.0,-321.0,480.0,0.494,240.0
272.0,-0.296,-0.015,0.953,-0.662,-0.033,2.131,-1.0,-211.0,480.0,0.14,272.0
275.0,-0.297,-0.199,0.92,-0.258,-0.173,0.8,1.0,211.0,480.0,0.14,275.0
276.0,0.245,-0.298,0.92,0.51,-0.621,1.917,-1.0,-211.0,480.0,0.14,276.0
278.0,0.121,-0.243,0.962,0.656,-1.317,5.219,-1.0,-211.0,480.0,0.14,278.0
281.0,0.082,-0.267,0.959,0.246,-0.794,2.857,1.0,211.0,480.0,0.14,281.0
343.0,0.8,-0.506,-0.083,0.359,-0.227,-0.037,-1.0,-211.0,480.0,0.14,343.0
443.0,-0.216,0.202,0.884,-0.084,0.078,0.341,1.0,211.0,480.0,0.14,443.0
590.0,0.036,-0.933,-0.028,0.014,-0.364,-0.011,-1.0,-211.0,480.0,0.14,590.0
628.0,-0.166,-0.123,-0.978,-0.595,-0.442,-3.514,-1.0,-211.0,480.0,0.14,628.0
631.0,0.1,0.52,0.777,0.041,0.214,0.32,1.0,211.0,480.0,0.14,631.0
760.0,-0.195,-0.346,-0.639,-0.146,-0.259,-0.479,-1.0,-321.0,480.0,0.494,760.0
761.0,0.466,-0.431,-0.747,0.329,-0.304,-0.527,1.0,211.0,480.0,0.14,761.0
791.0,-0.231,0.754,-0.444,-0.076,0.248,-0.146,-1.0,-211.0,480.0,0.14,791.0
855.0,-0.21,0.127,-0.966,-0.358,0.216,-1.642,1.0,211.0,480.0,0.14,855.0
941.0,0.173,-0.012,0.982,0.335,-0.023,1.902,-1.0,-211.0,480.0,0.14,941.0
946.0,0.156,0.425,-0.241,0.089,0.244,-0.139,1.0,321.0,480.0,0.494,946.0
1107.0,-0.268,0.044,0.959,-0.451,0.075,1.612,1.0,211.0,480.0,0.14,1107.0
1113.0,-0.164,0.148,0.975,-1.539,1.395,9.177,1.0,211.0,480.0,0.14,1113.0
1116.0,-0.81,-0.145,0.471,-0.355,-0.063,0.207,-1.0,-211.0,480.0,0.14,1116.0
1126.0,0.288,-0.172,0.937,1.499,-0.894,4.884,-1.0,-321.0,480.0,0.494,1126.0
1327.0,-0.251,0.001,0.964,-0.393,0.002,1.507,1.0,211.0,480.0,0.14,1327.0
1329.0,0.185,-0.52,0.825,0.219,-0.616,0.977,1.0,211.0,480.0,0.14,1329.0
1331.0,-0.019,-0.239,-0.951,-0.049,-0.609,-2.419,-1.0,-321.0,480.0,0.494,1331.0
1336.0,0.22,0.345,-0.884,0.137,0.215,-0.551,-1.0,-211.0,480.0,0.14,1336.0
