particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
134.0,-0.389,0.259,-0.884,-2.158,1.438,-4.901,-1.0,-211.0,103.0,0.14
136.0,-0.339,0.384,-0.858,-1.899,2.152,-4.805,1.0,211.0,103.0,0.14
138.0,-0.47,0.548,-0.662,-1.159,1.351,-1.631,-1.0,-321.0,103.0,0.494
141.0,-0.45,0.63,-0.633,-9.049,12.664,-12.74,-1.0,-211.0,103.0,0.14
143.0,-0.496,0.706,-0.502,-1.335,1.901,-1.351,1.0,211.0,103.0,0.14
144.0,-0.497,0.558,-0.664,-7.339,8.235,-9.798,-1.0,-211.0,103.0,0.14
156.0,-0.16,0.344,0.923,-0.382,0.819,2.199,-1.0,-211.0,103.0,0.14
157.0,-0.222,0.223,0.947,-0.461,0.463,1.964,1.0,211.0,103.0,0.14
159.0,-0.241,0.168,0.956,-1.929,1.343,7.646,-1.0,-211.0,103.0,0.14
163.0,-0.292,0.175,0.932,-0.336,0.201,1.071,-1.0,-211.0,103.0,0.14
210.0,-0.136,0.138,-0.979,-0.32,0.324,-2.301,1.0,211.0,103.0,0.14
220.0,-0.163,0.102,-0.98,-1.47,0.921,-8.862,-1.0,-321.0,103.0,0.494
224.0,-0.316,0.11,-0.942,-2.104,0.734,-6.27,-1.0,-211.0,103.0,0.14
232.0,-0.438,0.494,-0.751,-4.245,4.789,-7.273,1.0,211.0,103.0,0.14
233.0,-0.193,0.449,-0.79,-0.073,0.169,-0.297,-1.0,-211.0,103.0,0.14
234.0,-0.508,0.538,-0.673,-7.738,8.198,-10.251,1.0,211.0,103.0,0.14
236.0,-0.527,0.502,-0.685,-3.074,2.928,-3.999,1.0,211.0,103.0,0.14
237.0,-0.495,0.57,-0.656,-7.65,8.805,-10.138,-1.0,-211.0,103.0,0.14
238.0,-0.628,0.53,-0.569,-2.67,2.254,-2.419,1.0,211.0,103.0,0.14
239.0,-0.306,0.751,-0.566,-0.285,0.7,-0.528,-1.0,-211.0,103.0,0.14
240.0,-0.527,0.599,-0.6,-1.124,1.278,-1.28,1.0,211.0,103.0,0.14
244.0,-0.965,-0.013,-0.096,-0.556,-0.007,-0.055,-1.0,-211.0,103.0,0.14
245.0,-0.197,0.743,0.622,-0.181,0.681,0.571,1.0,211.0,103.0,0.14
247.0,-0.264,0.645,0.088,-0.184,0.448,0.061,1.0,321.0,103.0,0.494
248.0,-0.744,0.217,0.538,-0.314,0.092,0.227,-1.0,-211.0,103.0,0.14
252.0,-0.153,0.199,0.968,-0.759,0.988,4.808,1.0,211.0,103.0,0.14
253.0,-0.216,0.073,0.973,-0.837,0.281,3.763,-1.0,-211.0,103.0,0.14
256.0,-0.357,0.048,0.929,-0.562,0.076,1.463,-1.0,-211.0,103.0,0.14
292.0,-0.089,-0.268,-0.953,-0.118,-0.357,-1.268,-1.0,-211.0,103.0,0.14
312.0,-0.303,0.566,-0.744,-0.228,0.425,-0.559,1.0,211.0,103.0,0.14
313.0,-0.448,0.636,-0.628,-1.655,2.35,-2.321,-1.0,-211.0,103.0,0.14
348.0,-0.168,-0.826,-0.254,-176.924,-871.663,-267.571,1.0,-15.0,103.0,500.0
349.0,0.156,0.446,0.831,264.043,757.185,1409.09,-1.0,15.0,103.0,500.0
