PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,1182.392,858.934,388.219,-509.48,500.0,1.0,1.0,421.0,1157.0
15.0,1095.792,-732.319,-329.571,-553.039,500.0,-1.0,1.0,421.0,1159.0
