"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-0.317741935483871,-3.2,1,119
2,5.05,-0.31485148514851485,-5.2,2,119
3,8.85,-0.3107344632768362,-9.120000000000001,3,119
4,12.25,-0.30693877551020404,-12.64,4,119
5,29.9,-0.287010033444816,-30.84,5,119
6,37.1,-0.2788733153638814,-38.24,6,119
7,44.3,-0.2706952595936794,-45.68,7,119
8,51.4,-0.26260700389105057,-53.,8,119
9,3.1,-2.4661290322580647,-6.640000000000001,1,120
10,5.05,-2.487128712871287,-10.84,2,120
11,8.85,-2.528813559322034,-19.04,3,120
12,12.25,-2.5665306122448976,-26.36,4,120
13,29.9,-2.7659397993311035,-65.4,5,120
14,37.1,-2.851051212938005,-82.04,6,120
15,44.3,-2.9394266365688484,-99.32000000000001,7,120
16,51.4,-3.0311595330739296,-117.24000000000001,8,120
17,3.1,-0.18064516129032257,-5.44,1,178
18,5.05,-0.1900990099009901,-8.84,2,178
19,8.85,-0.2073446327683616,-15.52,3,178
20,12.25,-0.2236734693877551,-21.48,4,178
21,29.9,-0.30645484949832774,-52.6,5,178
22,37.1,-0.3404582210242587,-65.4,6,178
23,44.3,-0.374844243792325,-78.28,7,178
24,51.4,-0.4088599221789883,-91.04,8,178
25,3.1,-2.8193548387096774,10.8,1,406
26,5.05,-2.800990099009901,17.6,2,406
27,8.85,-2.764406779661017,30.84,3,406
28,12.25,-2.7314285714285713,42.76,4,406
29,29.9,-2.5583010033444813,105.56,5,406
30,37.1,-2.4850242587601072,132.04,6,406
31,44.3,-2.410162528216704,159.28,7,406
32,51.4,-2.3332334630350196,187.12,8,406
33,3.1,1.020967741935484,14.84,1,407
34,5.05,0.9653465346534653,24.240000000000002,2,407
35,8.85,0.8531073446327684,42.800000000000004,3,407
36,12.25,0.7497959183673468,59.88,4,407
37,29.9,0.06845484949832775,172.56,5,407
38,3.1,-2.7903225806451615,-4.16,1,435
39,5.05,-2.7504950495049507,-6.8,2,435
40,8.85,-2.6740112994350285,-11.96,3,435
41,12.25,-2.6044897959183673,-16.64,4,435
42,29.9,-2.2123879598662204,-43.08,5,435
43,37.1,-2.0182803234501345,-56.160000000000004,6,435
44,44.3,-1.767693002257336,-73.04,7,435
45,3.1,-1.7161290322580645,-4.04,1,607
46,5.05,-1.7118811881188118,-6.5600000000000005,2,607
47,8.85,-1.7033898305084747,-11.48,3,607
48,12.25,-1.6951020408163264,-15.88,4,607
49,29.9,-1.6538327759197324,-38.84,5,607
50,37.1,-1.6368571428571426,-48.2,6,607
51,44.3,-1.6198735891647853,-57.56,7,607
52,51.4,-1.6030933852140077,-66.84,8,607
53,3.1,-1.7629032258064516,-6.6000000000000005,1,609
54,5.05,-1.7544554455445545,-10.72,2,609
55,8.85,-1.7378531073446328,-18.8,3,609
56,12.25,-1.7224489795918365,-26.04,4,609
57,29.9,-1.642916387959866,-63.72,5,609
58,37.1,-1.6102803234501346,-79.2,6,609
59,44.3,-1.577277652370203,-94.8,7,609
60,51.4,-1.5446848249027236,-110.24000000000001,8,609
61,3.1,0.037096774193548385,0.36,1,715
62,5.05,0.02277227722772277,0.56,2,715
63,8.85,-0.006779661016949153,0.96,3,715
64,12.25,-0.03265306122448979,1.36,4,715
65,29.9,-0.17022742474916386,3.3200000000000003,5,715
