PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,555.515,17.868,188.154,151.248,500.0,1.0,1.0,663.0,828.0
15.0,913.756,-96.818,-290.921,700.672,500.0,-1.0,1.0,663.0,829.0
