PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,1128.976,501.403,721.648,502.402,500.0,1.0,1.0,974.0,1250.0
15.0,1370.802,-437.037,-910.666,780.246,500.0,-1.0,1.0,974.0,1251.0
