particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
124.0,0.581,0.776,0.135,0.395,0.527,0.092,1.0,211.0,675.0,0.14,124.0
126.0,0.943,-0.309,-0.018,1.08,-0.354,-0.02,1.0,211.0,675.0,0.14,126.0
128.0,0.325,0.776,0.527,0.381,0.91,0.618,-1.0,-211.0,675.0,0.14,128.0
177.0,0.227,0.087,0.97,1.95,0.747,8.346,-1.0,-211.0,675.0,0.14,177.0
178.0,0.313,0.053,0.948,1.336,0.225,4.049,1.0,211.0,675.0,0.14,178.0
194.0,-0.323,-0.919,0.066,-0.208,-0.592,0.042,-1.0,-211.0,675.0,0.14,194.0
235.0,0.241,-0.636,0.715,0.207,-0.545,0.613,1.0,211.0,675.0,0.14,235.0
238.0,-0.019,0.868,0.369,-0.008,0.366,0.156,-1.0,-211.0,675.0,0.14,238.0
239.0,-0.188,-0.863,-0.448,-0.193,-0.887,-0.46,1.0,211.0,675.0,0.14,239.0
263.0,0.233,0.041,-0.97,0.662,0.116,-2.759,-1.0,-211.0,675.0,0.14,263.0
266.0,0.918,-0.114,0.151,0.367,-0.046,0.06,1.0,211.0,675.0,0.14,266.0
267.0,0.901,-0.109,0.399,0.976,-0.118,0.433,-1.0,-211.0,675.0,0.14,267.0
271.0,-0.169,0.043,0.969,-0.136,0.035,0.779,1.0,211.0,675.0,0.14,271.0
272.0,0.165,-0.02,0.986,0.972,-0.119,5.804,-1.0,-211.0,675.0,0.14,272.0
289.0,0.275,0.096,0.956,0.936,0.326,3.256,1.0,211.0,675.0,0.14,289.0
291.0,0.321,0.051,0.944,0.944,0.15,2.772,1.0,211.0,675.0,0.14,291.0
292.0,0.277,0.018,0.96,1.151,0.073,3.987,-1.0,-211.0,675.0,0.14,292.0
303.0,-0.773,-0.379,0.46,-0.501,-0.245,0.298,1.0,211.0,675.0,0.14,303.0
308.0,-0.544,-0.175,-0.643,-0.149,-0.048,-0.176,1.0,211.0,675.0,0.14,308.0
313.0,0.048,0.17,-0.982,0.091,0.323,-1.861,-1.0,-211.0,675.0,0.14,313.0
335.0,-0.121,-0.539,0.717,-0.04,-0.177,0.235,1.0,211.0,675.0,0.14,335.0
336.0,0.745,0.598,-0.175,0.433,0.347,-0.102,-1.0,-211.0,675.0,0.14,336.0
338.0,0.048,0.175,-0.983,0.353,1.289,-7.224,-1.0,-211.0,675.0,0.14,338.0
532.0,-0.199,-0.302,0.861,-0.275,-0.417,1.188,-1.0,-321.0,675.0,0.494,532.0
535.0,-0.21,-0.195,0.953,-0.282,-0.262,1.281,-1.0,-211.0,675.0,0.14,535.0
549.0,-0.495,0.671,-0.521,-0.373,0.506,-0.393,-1.0,-211.0,675.0,0.14,549.0
554.0,-0.212,-0.295,-0.93,-1.776,-2.473,-7.789,1.0,321.0,675.0,0.494,554.0
555.0,-0.409,-0.455,-0.776,-1.336,-1.489,-2.538,-1.0,-321.0,675.0,0.494,555.0
558.0,-0.149,0.083,-0.985,-1.281,0.713,-8.442,-1.0,-211.0,675.0,0.14,558.0
561.0,-0.091,0.147,-0.985,-1.17,1.877,-12.607,1.0,211.0,675.0,0.14,561.0
614.0,-0.003,-0.175,0.983,-0.009,-0.498,2.798,1.0,211.0,675.0,0.14,614.0
617.0,-0.331,-0.865,0.253,-0.166,-0.434,0.127,1.0,211.0,675.0,0.14,617.0
618.0,-0.213,-0.223,0.887,-0.087,-0.091,0.361,-1.0,-211.0,675.0,0.14,618.0
636.0,-0.433,-0.265,0.814,-0.215,-0.132,0.404,1.0,211.0,675.0,0.14,636.0
637.0,-0.142,0.471,0.814,-0.064,0.213,0.368,-1.0,-211.0,675.0,0.14,637.0
651.0,-0.035,-0.348,0.934,-0.071,-0.715,1.921,1.0,211.0,675.0,0.14,651.0
652.0,-0.159,0.287,0.942,-0.304,0.55,1.804,-1.0,-211.0,675.0,0.14,652.0
653.0,-0.256,-0.088,0.89,-0.097,-0.033,0.338,1.0,211.0,675.0,0.14,653.0
656.0,-0.107,0.762,-0.586,-0.058,0.415,-0.319,1.0,211.0,675.0,0.14,656.0
657.0,-0.685,0.18,-0.692,-0.707,0.185,-0.714,-1.0,-211.0,675.0,0.14,657.0
658.0,0.465,0.587,-0.495,0.147,0.186,-0.157,1.0,211.0,675.0,0.14,658.0
659.0,-0.368,0.694,0.534,-0.164,0.309,0.237,-1.0,-211.0,675.0,0.14,659.0
661.0,-0.816,0.067,-0.549,-0.677,0.056,-0.456,1.0,211.0,675.0,0.14,661.0
662.0,-0.36,-0.367,-0.812,-0.182,-0.186,-0.41,-1.0,-211.0,675.0,0.14,662.0
