particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
158.0,0.281,-0.784,-0.534,0.266,-0.742,-0.506,1.0,211.0,633.0,0.14
159.0,-0.09,0.621,-0.738,-0.051,0.351,-0.417,-1.0,-211.0,633.0,0.14
160.0,0.008,-0.655,-0.666,0.003,-0.255,-0.26,1.0,211.0,633.0,0.14
163.0,0.162,-0.097,-0.978,0.243,-0.147,-1.471,1.0,211.0,633.0,0.14
191.0,0.224,-0.062,0.965,0.256,-0.071,1.102,1.0,211.0,633.0,0.14
193.0,0.312,0.012,0.948,0.655,0.025,1.991,-1.0,-211.0,633.0,0.14
262.0,-0.744,-0.488,0.421,-0.589,-0.386,0.333,1.0,211.0,633.0,0.14
263.0,0.421,-0.55,-0.703,0.365,-0.478,-0.61,-1.0,-211.0,633.0,0.14
264.0,-0.094,0.353,0.912,-0.07,0.261,0.675,1.0,211.0,633.0,0.14
417.0,0.57,-0.816,0.099,4.343,-6.216,0.756,1.0,211.0,633.0,0.14
419.0,0.379,-0.924,0.022,3.589,-8.75,0.212,-1.0,-321.0,633.0,0.494
430.0,0.477,-0.854,0.198,3.874,-6.934,1.606,1.0,321.0,633.0,0.494
431.0,0.284,-0.928,0.106,0.641,-2.096,0.24,-1.0,-321.0,633.0,0.494
433.0,-0.804,-0.488,-0.27,-0.55,-0.334,-0.185,1.0,211.0,633.0,0.14
434.0,0.52,-0.607,-0.565,0.356,-0.416,-0.387,-1.0,-211.0,633.0,0.14
436.0,-0.665,-0.232,-0.506,-0.186,-0.065,-0.141,-1.0,-211.0,633.0,0.14
439.0,-0.507,-0.6,-0.616,-1.161,-1.376,-1.412,1.0,211.0,633.0,0.14
442.0,0.525,-0.415,-0.727,0.476,-0.376,-0.66,1.0,211.0,633.0,0.14
445.0,-0.121,-0.485,-0.838,-0.077,-0.308,-0.533,-1.0,-211.0,633.0,0.14
447.0,-0.534,0.46,-0.535,-0.16,0.138,-0.16,1.0,211.0,633.0,0.14
449.0,-0.796,0.522,0.252,-0.643,0.421,0.203,-1.0,-211.0,633.0,0.14
452.0,-0.879,0.286,0.287,-0.492,0.16,0.161,1.0,211.0,633.0,0.14
501.0,-0.073,0.152,0.983,-0.136,0.282,1.828,1.0,211.0,633.0,0.14
505.0,0.215,0.358,0.904,0.347,0.578,1.458,-1.0,-211.0,633.0,0.14
560.0,-0.158,0.046,-0.985,-0.522,0.152,-3.245,1.0,211.0,633.0,0.14
576.0,0.321,-0.941,0.088,2.833,-8.317,0.78,1.0,321.0,633.0,0.494
577.0,0.366,-0.917,0.16,2.315,-5.8,1.012,-1.0,-211.0,633.0,0.14
580.0,0.361,-0.929,0.073,1.477,-3.802,0.298,1.0,211.0,633.0,0.14
581.0,0.242,-0.924,0.266,0.263,-1.007,0.289,-1.0,-211.0,633.0,0.14
585.0,0.527,-0.849,-0.003,2.089,-3.364,-0.011,-1.0,-211.0,633.0,0.14
589.0,0.294,-0.835,0.429,0.229,-0.652,0.335,1.0,211.0,633.0,0.14
590.0,0.431,-0.9,0.055,3.323,-6.94,0.425,-1.0,-211.0,633.0,0.14
592.0,0.497,-0.86,0.117,3.312,-5.734,0.78,1.0,211.0,633.0,0.14
594.0,0.474,-0.865,0.003,0.399,-0.727,0.002,-1.0,-211.0,633.0,0.14
595.0,-0.042,-0.798,-0.142,-0.01,-0.191,-0.034,1.0,211.0,633.0,0.14
596.0,0.517,-0.747,-0.387,0.466,-0.673,-0.348,-1.0,-211.0,633.0,0.14
598.0,-0.42,-0.485,-0.756,-0.438,-0.507,-0.789,1.0,211.0,633.0,0.14
600.0,-0.653,-0.505,-0.537,-0.52,-0.403,-0.428,1.0,211.0,633.0,0.14
604.0,-0.512,0.083,-0.841,-0.478,0.078,-0.785,-1.0,-211.0,633.0,0.14
607.0,0.448,-0.639,0.244,0.109,-0.155,0.059,-1.0,-211.0,633.0,0.14
609.0,-0.061,0.956,0.084,-0.031,0.488,0.043,1.0,211.0,633.0,0.14
610.0,-0.441,0.265,-0.852,-0.656,0.394,-1.267,-1.0,-211.0,633.0,0.14
615.0,-0.34,0.477,-0.665,-0.102,0.144,-0.201,1.0,211.0,633.0,0.14
616.0,0.475,-0.393,0.703,0.187,-0.154,0.276,-1.0,-211.0,633.0,0.14
621.0,0.137,-0.096,0.982,0.212,-0.149,1.525,1.0,211.0,633.0,0.14
622.0,-0.06,-0.33,0.928,-0.051,-0.283,0.797,-1.0,-211.0,633.0,0.14
626.0,-0.281,-0.064,0.949,-0.306,-0.07,1.036,-1.0,-211.0,633.0,0.14
750.0,0.562,-0.758,0.332,5.852,-7.892,3.456,-1.0,-211.0,633.0,0.14
