particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
186.0,0.207,0.822,-0.527,0.459,1.823,-1.169,1.0,211.0,163.0,0.14
191.0,-0.369,0.607,0.644,-0.642,1.057,1.121,-1.0,-321.0,163.0,0.494
192.0,-0.294,-0.159,0.94,-0.645,-0.349,2.058,1.0,211.0,163.0,0.14
194.0,-0.057,-0.199,0.977,-0.159,-0.552,2.716,-1.0,-211.0,163.0,0.14
195.0,-0.193,-0.025,0.978,-0.337,-0.043,1.707,1.0,211.0,163.0,0.14
238.0,0.092,-0.73,-0.595,0.04,-0.313,-0.255,1.0,211.0,163.0,0.14
362.0,-0.039,0.185,-0.981,-0.151,0.713,-3.779,-1.0,-211.0,163.0,0.14
368.0,-0.069,-0.587,-0.78,-0.046,-0.395,-0.524,-1.0,-211.0,163.0,0.14
371.0,0.095,-0.139,-0.98,0.128,-0.188,-1.319,-1.0,-211.0,163.0,0.14
420.0,0.649,0.383,-0.648,2.908,1.716,-2.907,1.0,321.0,163.0,0.494
421.0,0.602,0.635,-0.478,1.033,1.09,-0.821,-1.0,-211.0,163.0,0.14
423.0,0.421,0.407,-0.806,0.668,0.647,-1.281,-1.0,-211.0,163.0,0.14
427.0,-0.142,-0.481,0.849,-0.12,-0.408,0.719,1.0,211.0,163.0,0.14
450.0,0.234,-0.424,0.857,0.188,-0.341,0.689,-1.0,-211.0,163.0,0.14
453.0,-0.646,-0.307,-0.625,-0.289,-0.137,-0.279,-1.0,-211.0,163.0,0.14
471.0,-0.65,-0.464,0.399,-0.202,-0.144,0.124,1.0,211.0,163.0,0.14
475.0,-0.126,0.927,-0.205,-0.061,0.451,-0.1,1.0,211.0,163.0,0.14
476.0,0.598,-0.161,-0.749,0.356,-0.096,-0.446,-1.0,-211.0,163.0,0.14
479.0,0.265,-0.184,-0.93,0.208,-0.145,-0.731,-1.0,-211.0,163.0,0.14
480.0,0.165,0.052,-0.983,0.368,0.115,-2.188,-1.0,-211.0,163.0,0.14
522.0,-0.399,0.055,-0.895,-0.289,0.04,-0.649,1.0,211.0,163.0,0.14
523.0,0.114,0.23,-0.964,0.236,0.477,-2.002,-1.0,-211.0,163.0,0.14
524.0,-0.02,0.298,-0.948,-0.025,0.377,-1.2,1.0,211.0,163.0,0.14
526.0,-0.122,0.66,-0.737,-0.21,1.137,-1.269,-1.0,-211.0,163.0,0.14
529.0,-0.21,0.587,-0.771,-0.23,0.642,-0.842,1.0,211.0,163.0,0.14
563.0,0.64,0.48,-0.585,0.682,0.511,-0.623,1.0,211.0,163.0,0.14
564.0,0.846,0.392,-0.349,1.261,0.584,-0.521,-1.0,-211.0,163.0,0.14
669.0,-0.376,0.03,0.912,-1.13,0.091,2.742,-1.0,-321.0,163.0,0.494
671.0,-0.844,0.411,0.253,-0.504,0.245,0.151,-1.0,-211.0,163.0,0.14
674.0,-0.903,-0.41,0.117,-2.161,-0.983,0.279,-1.0,-211.0,163.0,0.14
680.0,0.079,0.807,-0.581,0.168,1.728,-1.244,-1.0,-211.0,163.0,0.14
768.0,-0.232,-0.537,-0.479,-0.049,-0.114,-0.102,1.0,211.0,163.0,0.14
771.0,-0.258,0.658,0.544,-0.28,0.716,0.592,-1.0,-321.0,163.0,0.494
772.0,-0.455,-0.346,0.733,-0.172,-0.131,0.278,1.0,211.0,163.0,0.14
776.0,0.813,0.378,-0.222,0.296,0.138,-0.081,1.0,211.0,163.0,0.14
778.0,0.221,-0.917,-0.124,0.1,-0.414,-0.056,-1.0,-211.0,163.0,0.14
779.0,-0.241,0.06,-0.956,-0.216,0.054,-0.858,1.0,211.0,163.0,0.14
850.0,-0.813,-0.243,-0.488,-0.553,-0.165,-0.332,-1.0,-211.0,163.0,0.14
853.0,-0.369,-0.83,0.181,-0.137,-0.308,0.067,-1.0,-211.0,163.0,0.14
872.0,-0.092,-0.145,0.982,-0.159,-0.249,1.687,1.0,211.0,163.0,0.14
1004.0,-0.303,-0.273,0.909,-0.534,-0.481,1.602,1.0,211.0,163.0,0.14
1007.0,-0.107,-0.164,0.977,-0.644,-0.982,5.857,1.0,321.0,163.0,0.494
1009.0,-0.466,-0.299,0.83,-1.043,-0.67,1.86,1.0,211.0,163.0,0.14
1016.0,-0.67,-0.258,0.143,-0.137,-0.053,0.029,1.0,211.0,163.0,0.14
1023.0,0.676,0.728,-0.113,2.532,2.727,-0.422,1.0,211.0,163.0,0.14
1026.0,0.426,0.825,-0.369,1.191,2.303,-1.03,-1.0,-211.0,163.0,0.14
1027.0,0.697,0.676,-0.237,3.203,3.105,-1.088,1.0,211.0,163.0,0.14
1028.0,0.662,0.48,-0.52,0.372,0.27,-0.292,-1.0,-211.0,163.0,0.14
1060.0,-0.182,-0.254,-0.948,-0.435,-0.607,-2.269,-1.0,-211.0,163.0,0.14
1061.0,-0.079,0.253,-0.955,-0.083,0.268,-1.008,1.0,211.0,163.0,0.14
1068.0,0.053,0.164,0.964,0.036,0.113,0.66,1.0,211.0,163.0,0.14
1069.0,-0.442,0.543,0.659,-0.225,0.277,0.335,-1.0,-211.0,163.0,0.14
1078.0,0.798,0.008,-0.307,0.214,0.002,-0.082,1.0,211.0,163.0,0.14
1123.0,-0.338,-0.491,-0.688,-0.403,-0.586,-0.821,1.0,321.0,163.0,0.494
1124.0,-0.823,-0.017,-0.535,-0.602,-0.012,-0.391,-1.0,-211.0,163.0,0.14
1126.0,-0.643,-0.499,0.372,-0.201,-0.156,0.117,1.0,211.0,163.0,0.14
1128.0,0.263,-0.61,0.699,0.138,-0.321,0.368,1.0,211.0,163.0,0.14
