PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,522.855,9.275,-99.866,115.406,500.0,1.0,1.0,876.0,953.0
15.0,1012.494,-131.605,174.942,852.771,500.0,-1.0,1.0,876.0,954.0
