"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,0.4161290322580645,-3.2,1,149
2,5.05,0.39702970297029705,-5.2,2,149
3,8.85,0.35988700564971754,-9.16,3,149
4,12.25,0.32693877551020406,-12.68,4,149
5,29.9,0.15112374581939797,-31.32,5,149
6,37.1,0.07725606469002694,-39.160000000000004,6,149
7,44.3,0.0009209932279909706,-47.24,7,149
8,51.4,-0.07739299610894941,-55.56,8,149
9,3.1,-0.07741935483870968,-6.68,1,151
10,5.05,-0.06732673267326733,-10.92,2,151
11,8.85,-0.04858757062146893,-19.12,3,151
12,12.25,-0.03183673469387755,-26.48,4,151
13,29.9,0.05549163879598662,-64.84,5,151
14,37.1,0.0914609164420485,-80.60000000000001,6,151
15,44.3,0.12740406320541758,-96.48,7,151
16,51.4,0.16358365758754864,-112.28,8,151
17,3.1,0.7403225806451613,3.64,1,187
18,5.05,0.7217821782178218,5.92,2,187
19,8.85,0.6870056497175141,10.36,3,187
20,12.25,0.6555102040816326,14.36,4,187
21,29.9,0.49021404682274244,35.4,5,187
22,37.1,0.42073854447439346,44.28,6,187
23,44.3,0.34951693002257334,53.32,7,187
24,51.4,0.2769610894941634,62.6,8,187
25,3.1,0.7580645161290323,-14.48,1,192
26,5.05,0.7910891089108911,-23.64,2,192
27,8.85,0.8548022598870056,-41.52,3,192
28,12.25,0.9122448979591836,-57.64,4,192
29,29.9,1.227638795986622,-146.28,5,192
30,37.1,1.3725552560646899,-186.96,6,192
31,44.3,1.536216704288939,-232.92000000000002,7,192
32,51.4,1.7332062256809337,-288.28000000000003,8,192
33,3.1,0.9451612903225807,-3.,1,262
34,5.05,1.003960396039604,-4.88,2,262
35,8.85,1.1175141242937854,-8.6,3,262
36,12.25,1.2228571428571426,-12.040000000000001,4,262
37,29.9,1.926628762541806,-35.04,5,262
38,3.1,0.9032258064516129,-6.24,1,264
39,5.05,0.9168316831683169,-10.200000000000001,2,264
40,8.85,0.9451977401129944,-17.88,3,264
41,12.25,0.970612244897959,-24.76,4,264
42,29.9,1.1031237458193979,-60.84,5,264
43,37.1,1.1581078167115901,-75.84,6,264
44,44.3,1.2140225733634311,-91.08,7,264
45,51.4,1.2702373540856031,-106.4,8,264
46,3.1,-0.20806451612903226,-5.76,1,265
47,5.05,-0.25346534653465347,-9.4,2,265
48,8.85,-0.3446327683615819,-16.56,3,265
49,12.25,-0.42734693877551017,-23.080000000000002,4,265
50,29.9,-0.9165217391304347,-61.6,5,265
51,37.1,-1.1989811320754715,-83.84,6,265
52,3.1,-2.5951612903225807,-9.72,1,266
53,5.05,-2.589108910891089,-15.84,2,266
54,8.85,-2.5757062146892657,-27.76,3,266
55,12.25,-2.564081632653061,-38.44,4,266
56,29.9,-2.502923076923077,-93.96000000000001,5,266
57,37.1,-2.477876010781671,-116.68,6,266
58,44.3,-2.4528352144469525,-139.48,7,266
59,51.4,-2.4279571984435795,-162.08,8,266
60,3.1,2.111290322580645,0.24,1,267
61,5.05,2.101980198019802,0.36,2,267
62,8.85,2.082485875706215,0.64,3,267
63,12.25,2.0657142857142854,0.88,4,267
64,29.9,1.977117056856187,2.2,5,267
65,37.1,1.9406576819407004,2.72,6,267
66,44.3,1.903923250564334,3.2800000000000002,7,267
67,51.4,1.867420233463035,3.8000000000000003,8,267
68,3.1,0.21129032258064517,-0.92,1,294
69,5.05,0.23663366336633665,-1.48,2,294
70,8.85,0.28700564971751413,-2.6,3,294
71,12.25,0.33183673469387753,-3.6,4,294
72,29.9,0.572200668896321,-8.96,5,294
73,37.1,0.6770673854447439,-11.32,6,294
74,44.3,0.7879097065462753,-13.8,7,294
75,51.4,0.9076147859922179,-16.48,8,294
76,3.1,2.3403225806451613,-9.48,1,300
77,5.05,2.3217821782178216,-15.44,2,300
78,8.85,2.2864406779661017,-27.080000000000002,3,300
79,12.25,2.2546938775510204,-37.52,4,300
80,29.9,2.086735785953177,-92.60000000000001,5,300
81,37.1,2.0157142857142856,-115.76,6,300
82,44.3,1.943295711060948,-139.56,7,300
83,51.4,1.8688093385214006,-163.8,8,300
84,3.1,-3.096774193548387,15.52,1,393
85,5.05,-3.126732673267327,25.28,2,393
86,8.85,3.0977401129943503,44.4,3,393
87,12.25,3.044897959183673,61.6,4,393
88,29.9,2.7585484949832773,155.28,5,393
89,37.1,2.6298221024258757,197.24,6,393
90,44.3,2.489060948081264,243.36,7,393
91,51.4,2.327941634241245,295.76,8,393
92,3.1,1.835483870967742,8.52,1,566
93,5.05,1.8415841584158417,13.92,2,566
94,8.85,1.8531073446327684,24.36,3,566
95,12.25,1.8640816326530611,33.72,4,566
96,29.9,1.9196923076923076,82.44,5,566
97,37.1,1.9423989218328839,102.36,6,566
98,44.3,1.9652460496613993,122.36,7,566
99,51.4,1.9878754863813228,142.12,8,566
100,3.1,1.929032258064516,12.64,1,569
101,5.05,1.9178217821782177,20.6,2,569
102,8.85,1.8954802259887007,36.08,3,569
103,12.25,1.8759183673469386,49.96,4,569
104,29.9,1.7728896321070233,122.48,5,569
105,37.1,1.7304258760107813,152.4,6,569
106,44.3,1.68741309255079,182.6,7,569
107,51.4,1.6445019455252918,212.72,8,569
108,3.1,0.23225806451612904,1.16,1,570
109,5.05,0.2881188118811881,1.8800000000000001,2,570
110,8.85,0.39887005649717516,3.3200000000000003,3,570
111,12.25,0.5004081632653061,4.64,4,570
112,29.9,1.164983277591973,13.280000000000001,5,570
113,3.1,-2.509677419354839,1.96,1,571
114,5.05,-2.512871287128713,3.2,2,571
115,8.85,-2.5203389830508476,5.64,3,571
116,12.25,-2.5261224489795917,7.8,4,571
117,29.9,-2.557732441471572,19.080000000000002,5,571
118,37.1,-2.570619946091644,23.68,6,571
119,44.3,-2.583539503386004,28.28,7,571
120,51.4,-2.596303501945525,32.8,8,571
121,3.1,-2.22741935483871,1.6400000000000001,1,573
122,5.05,-2.226732673267327,2.68,2,573
123,8.85,-2.2242937853107345,4.68,3,573
124,12.25,-2.2220408163265306,6.48,4,573
125,29.9,-2.2111371237458193,15.8,5,573
126,37.1,-2.206517520215633,19.6,6,573
127,44.3,-2.2020180586907445,23.400000000000002,7,573
128,51.4,-2.1974980544747083,27.12,8,573
129,3.1,2.85,2.04,1,574
130,5.05,2.8118811881188117,3.3200000000000003,2,574
131,8.85,2.736723163841808,5.8,3,574
132,12.25,2.668571428571428,8.08,4,574
133,29.9,2.285277591973244,20.88,5,574
134,37.1,2.0974609164420484,27.12,6,574
135,44.3,1.8603295711060945,35.04,7,574
136,3.1,-2.240322580645161,1.44,1,576
137,5.05,-2.23960396039604,2.32,2,576
138,8.85,-2.236723163841808,4.08,3,576
139,12.25,-2.234285714285714,5.64,4,576
140,29.9,-2.221484949832776,13.72,5,576
141,37.1,-2.216231805929919,17.04,6,576
142,44.3,-2.2109977426636567,20.36,7,576
