particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
77.0,0.516,0.294,0.785,0.409,0.233,0.622,-1.0,-211.0,124.0,0.14
78.0,0.358,-0.484,0.734,0.16,-0.216,0.327,1.0,211.0,124.0,0.14
224.0,0.178,0.31,-0.93,0.283,0.493,-1.476,-1.0,-211.0,124.0,0.14
233.0,0.343,0.028,-0.939,2.519,0.204,-6.891,-1.0,-211.0,124.0,0.14
263.0,-0.182,-0.14,-0.968,-0.244,-0.188,-1.298,-1.0,-211.0,124.0,0.14
272.0,-0.697,-0.602,0.232,-0.312,-0.269,0.104,-1.0,-211.0,124.0,0.14
276.0,-0.358,0.04,0.932,-1.015,0.114,2.646,1.0,211.0,124.0,0.14
333.0,0.177,0.387,-0.901,0.284,0.619,-1.442,-1.0,-211.0,124.0,0.14
335.0,0.301,0.092,-0.949,1.906,0.58,-6.017,-1.0,-211.0,124.0,0.14
337.0,0.291,0.314,-0.901,0.526,0.568,-1.63,1.0,211.0,124.0,0.14
338.0,-0.001,0.171,-0.971,-0.001,0.146,-0.826,-1.0,-211.0,124.0,0.14
550.0,-0.104,-0.132,0.985,-0.499,-0.628,4.706,1.0,211.0,124.0,0.14
551.0,0.013,0.165,0.966,0.009,0.117,0.684,-1.0,-211.0,124.0,0.14
552.0,-0.242,0.008,0.97,-1.008,0.032,4.043,1.0,211.0,124.0,0.14
662.0,-0.527,0.846,-0.037,-0.929,1.491,-0.065,-1.0,-211.0,124.0,0.14
668.0,-0.934,0.268,-0.049,-0.565,0.162,-0.03,1.0,211.0,124.0,0.14
673.0,-0.158,-0.077,-0.982,-0.339,-0.165,-2.103,-1.0,-211.0,124.0,0.14
683.0,-0.599,-0.095,-0.792,-1.197,-0.19,-1.583,-1.0,-211.0,124.0,0.14
684.0,-0.218,-0.108,-0.97,-2.401,-1.193,-10.676,1.0,211.0,124.0,0.14
837.0,-0.033,-0.36,0.927,-0.045,-0.492,1.266,-1.0,-211.0,124.0,0.14
839.0,-0.056,-0.401,0.914,-0.262,-1.863,4.25,-1.0,-211.0,124.0,0.14
841.0,0.192,-0.392,0.893,0.24,-0.489,1.113,-1.0,-211.0,124.0,0.14
844.0,-0.186,-0.131,0.967,-0.236,-0.166,1.226,-1.0,-211.0,124.0,0.14
849.0,-0.54,-0.546,0.639,-1.622,-1.64,1.918,-1.0,-211.0,124.0,0.14
858.0,-0.409,-0.734,0.536,-0.688,-1.233,0.901,-1.0,-211.0,124.0,0.14
859.0,-0.27,-0.59,0.759,-0.677,-1.479,1.901,1.0,211.0,124.0,0.14
