val_loss,auc,eff,pur,current_lr,epoch,step,train_loss
0.7764897346496582,0.7717487876030742,0.7926458716392517,0.6184970140457153,0.0001999999803956598,0,79,
,,,,,0,79,0.8235990405082703
0.7423866391181946,0.8000860758718199,0.848081111907959,0.6210811734199524,0.0003999999607913196,1,159,
,,,,,1,159,0.7832226753234863
0.7496443390846252,0.7923784627730033,0.8357855081558228,0.6154864430427551,0.0005999999702908099,2,239,
,,,,,2,239,0.8059968948364258
0.6895976662635803,0.8316542215616801,0.9139683842658997,0.6124690771102905,0.0007999999215826392,3,319,
,,,,,3,319,0.7276908755302429
0.6241856813430786,0.8684648238773551,0.9125807881355286,0.6614090800285339,0.0010000000474974513,4,399,
,,,,,4,399,0.6620664596557617
0.5741924047470093,0.8938932045814267,0.9295881986618042,0.6804534792900085,0.0011999999405816197,5,479,
,,,,,5,479,0.6096838712692261
0.42987561225891113,0.9416734497271,0.9452217221260071,0.7601645588874817,0.0013999998336657882,6,559,
,,,,,6,559,0.5403729677200317
0.4318842887878418,0.9390434728330368,0.9367381930351257,0.76240473985672,0.001120000029914081,7,639,
,,,,,7,639,0.4685238003730774
0.3460316061973572,0.9625222079334081,0.9663177728652954,0.7886358499526978,0.0017999999690800905,8,719,
,,,,,8,719,0.4122313857078552
0.2843344509601593,0.9745508879218276,0.9604461789131165,0.8426925539970398,0.0020000000949949026,9,799,
,,,,,9,799,0.33072105050086975
0.21653452515602112,0.9848496371442522,0.9613766670227051,0.8946760296821594,0.0020000000949949026,10,879,
,,,,,10,879,0.2603113055229187
0.1865435689687729,0.9887544742378893,0.9665056467056274,0.9095485806465149,0.0020000000949949026,11,959,
,,,,,11,959,0.21716263890266418
0.17350488901138306,0.9903133736338667,0.9672139883041382,0.9168258905410767,0.0020000000949949026,12,1039,
,,,,,12,1039,0.2166917324066162
0.16748374700546265,0.9912231136513381,0.9605351686477661,0.9341567754745483,0.0020000000949949026,13,1119,
,,,,,13,1119,0.15592250227928162
0.17484457790851593,0.990098386773585,0.965499997138977,0.9194183349609375,0.0020000000949949026,14,1199,
,,,,,14,1199,0.15110550820827484
0.17090637981891632,0.9903969560032577,0.9728838205337524,0.911828339099884,0.0013999998336657882,15,1279,
,,,,,15,1279,0.1301058530807495
0.09742502123117447,0.9968695255129878,0.9819955825805664,0.9526770710945129,0.0013999998336657882,16,1359,
,,,,,16,1359,0.11283546686172485
0.09258896112442017,0.9971440347412891,0.9843984842300415,0.9533674120903015,0.0013999998336657882,17,1439,
,,,,,17,1439,0.09834042191505432
0.09277154505252838,0.9971386981551775,0.9821377992630005,0.9567991495132446,0.0013999998336657882,18,1519,
,,,,,18,1519,0.09311850368976593
0.09225190430879593,0.9972168403040713,0.981429398059845,0.9577042460441589,0.0013999998336657882,19,1599,
,,,,,19,1599,0.09039116650819778
0.0859416127204895,0.997541142473277,0.9858874082565308,0.9551490545272827,0.0013999998336657882,20,1679,
,,,,,20,1679,0.0904688760638237
0.08162397891283035,0.9978285098603521,0.9857407808303833,0.9593979120254517,0.0013999998336657882,21,1759,
,,,,,21,1759,0.08323189616203308
0.07806088030338287,0.9979552715828305,0.9862433671951294,0.961145281791687,0.0013999998336657882,22,1839,
,,,,,22,1839,0.08029460906982422
0.07959454506635666,0.9978991091269119,0.984954833984375,0.9622516632080078,0.0009800000116229057,23,1919,
,,,,,23,1919,0.07943697273731232
0.06719838082790375,0.9984778060101303,0.9881804585456848,0.9660568237304688,0.0009800000116229057,24,1999,
,,,,,24,1999,0.07084385305643082
0.06611092388629913,0.998524552172643,0.9886878132820129,0.9665459394454956,0.0009800000116229057,25,2079,
,,,,,25,2079,0.06642763316631317
0.06770171225070953,0.9984535853935241,0.9890606999397278,0.9637097120285034,0.0009800000116229057,26,2159,
,,,,,26,2159,0.06468824297189713
0.06591754406690598,0.9985416505945327,0.9878042936325073,0.9679239392280579,0.0009800000116229057,27,2239,
,,,,,27,2239,0.06458865851163864
0.06389995664358139,0.9986264946505858,0.9888232946395874,0.9677944183349609,0.0009800000116229057,28,2319,
,,,,,28,2319,0.06280480325222015
0.06467375159263611,0.9986026863017112,0.9876207113265991,0.9690172076225281,0.0009800000116229057,29,2399,
,,,,,29,2399,0.060716502368450165
