particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
93.0,0.021,-0.202,-0.965,0.018,-0.169,-0.807,1.0,211.0,929.0,0.14
457.0,-0.352,0.116,-0.921,-1.428,0.472,-3.729,1.0,321.0,929.0,0.494
459.0,-0.768,-0.22,-0.6,-2.403,-0.688,-1.876,-1.0,-211.0,929.0,0.14
467.0,-0.402,0.904,-0.125,-0.756,1.701,-0.235,-1.0,-211.0,929.0,0.14
472.0,0.888,-0.029,0.338,0.398,-0.013,0.151,1.0,211.0,929.0,0.14
477.0,0.186,0.202,0.961,0.969,1.056,5.02,-1.0,-211.0,929.0,0.14
478.0,-0.006,0.479,0.876,-0.014,1.083,1.979,1.0,211.0,929.0,0.14
479.0,0.002,0.19,0.98,0.005,0.489,2.524,-1.0,-211.0,929.0,0.14
480.0,-0.41,-0.049,0.884,-0.264,-0.032,0.57,1.0,211.0,929.0,0.14
485.0,0.469,-0.717,-0.495,0.464,-0.71,-0.49,-1.0,-211.0,929.0,0.14
486.0,-0.64,-0.7,0.16,-0.327,-0.358,0.082,1.0,211.0,929.0,0.14
506.0,-0.251,-0.022,-0.965,-0.457,-0.04,-1.76,1.0,211.0,929.0,0.14
507.0,0.121,0.23,-0.964,0.256,0.486,-2.039,-1.0,-211.0,929.0,0.14
508.0,-0.008,0.249,-0.962,-0.01,0.309,-1.195,1.0,211.0,929.0,0.14
511.0,-0.001,-0.283,-0.956,-0.001,-0.492,-1.658,1.0,211.0,929.0,0.14
512.0,0.489,0.466,-0.696,0.279,0.266,-0.397,-1.0,-211.0,929.0,0.14
513.0,-0.305,-0.282,0.881,-0.188,-0.174,0.542,1.0,211.0,929.0,0.14
516.0,0.137,0.087,0.979,0.153,0.097,1.094,-1.0,-211.0,929.0,0.14
576.0,-0.471,-0.239,-0.836,-0.451,-0.229,-0.8,-1.0,-211.0,929.0,0.14
583.0,-0.221,-0.695,-0.566,-0.08,-0.252,-0.206,1.0,211.0,929.0,0.14
613.0,-0.193,0.114,-0.973,-0.521,0.309,-2.631,-1.0,-211.0,929.0,0.14
622.0,-0.601,0.01,-0.785,-0.569,0.01,-0.743,1.0,211.0,929.0,0.14
623.0,-0.707,0.15,-0.644,-0.393,0.083,-0.358,-1.0,-211.0,929.0,0.14
