particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
224.0,0.178,0.011,-0.984,0.801,0.05,-4.431,-1.0,-211.0,83.0,0.14,224.0
235.0,-0.178,-0.33,-0.922,-0.251,-0.465,-1.298,-1.0,-211.0,83.0,0.14,235.0
236.0,-0.137,0.427,-0.893,-0.84,2.619,-5.476,1.0,211.0,83.0,0.14,236.0
237.0,0.254,0.901,-0.286,0.173,0.615,-0.195,-1.0,-211.0,83.0,0.14,237.0
238.0,-0.732,0.296,-0.573,-0.46,0.186,-0.36,1.0,211.0,83.0,0.14,238.0
242.0,0.689,-0.377,-0.596,0.58,-0.318,-0.502,1.0,211.0,83.0,0.14,242.0
243.0,0.178,0.605,0.76,0.157,0.534,0.671,-1.0,-211.0,83.0,0.14,243.0
244.0,-0.131,-0.659,0.669,-0.057,-0.289,0.294,1.0,211.0,83.0,0.14,244.0
248.0,0.121,0.325,0.925,0.108,0.29,0.826,1.0,211.0,83.0,0.14,248.0
294.0,-0.177,0.201,0.582,-0.114,0.129,0.375,-1.0,-321.0,83.0,0.494,294.0
300.0,-0.451,0.124,0.884,-5.647,1.554,11.066,1.0,211.0,83.0,0.14,300.0
414.0,-0.037,0.264,-0.962,-0.081,0.579,-2.11,-1.0,-211.0,83.0,0.14,414.0
477.0,0.222,0.423,0.12,0.126,0.24,0.068,1.0,321.0,83.0,0.494,477.0
525.0,0.024,-0.223,-0.971,0.043,-0.397,-1.728,1.0,211.0,83.0,0.14,525.0
540.0,0.36,0.301,-0.878,0.542,0.453,-1.324,-1.0,-211.0,83.0,0.14,540.0
544.0,0.444,0.715,-0.367,0.156,0.251,-0.129,1.0,211.0,83.0,0.14,544.0
545.0,-0.62,0.775,-0.055,-0.8,1.0,-0.071,-1.0,-211.0,83.0,0.14,545.0
546.0,0.306,0.589,0.734,0.298,0.573,0.713,1.0,211.0,83.0,0.14,546.0
551.0,0.192,0.237,0.944,0.212,0.262,1.044,-1.0,-211.0,83.0,0.14,551.0
583.0,-0.341,-0.182,0.814,-0.11,-0.059,0.262,1.0,211.0,83.0,0.14,583.0
585.0,-0.427,0.058,0.903,-5.375,0.733,11.374,-1.0,-211.0,83.0,0.14,585.0
683.0,-0.075,0.792,0.522,-0.034,0.36,0.237,1.0,211.0,83.0,0.14,683.0
703.0,-0.254,-0.055,-0.961,-0.372,-0.081,-1.409,-1.0,-211.0,83.0,0.14,703.0
712.0,-0.018,0.402,-0.915,-0.074,1.632,-3.71,1.0,211.0,83.0,0.14,712.0
713.0,0.155,0.124,-0.976,0.244,0.196,-1.537,-1.0,-211.0,83.0,0.14,713.0
714.0,-0.808,0.048,-0.575,-0.95,0.057,-0.676,1.0,211.0,83.0,0.14,714.0
715.0,0.084,0.314,-0.917,0.051,0.19,-0.553,-1.0,-211.0,83.0,0.14,715.0
719.0,-0.121,0.68,-0.485,-0.031,0.177,-0.126,1.0,211.0,83.0,0.14,719.0
720.0,0.001,-0.22,-0.948,0.001,-0.133,-0.574,-1.0,-211.0,83.0,0.14,720.0
722.0,0.445,0.366,-0.772,0.231,0.19,-0.4,1.0,211.0,83.0,0.14,722.0
723.0,0.652,-0.018,-0.744,0.624,-0.017,-0.713,-1.0,-211.0,83.0,0.14,723.0
768.0,-0.366,-0.195,-0.744,-0.098,-0.052,-0.198,1.0,211.0,83.0,0.14,768.0
769.0,-0.257,-0.302,-0.916,-0.607,-0.714,-2.167,-1.0,-211.0,83.0,0.14,769.0
846.0,0.046,-0.224,0.969,0.069,-0.342,1.477,1.0,211.0,83.0,0.14,846.0
853.0,-0.182,-0.206,0.952,-0.185,-0.21,0.969,-1.0,-211.0,83.0,0.14,853.0
856.0,-0.174,0.195,0.96,-0.248,0.279,1.372,1.0,211.0,83.0,0.14,856.0
857.0,-0.397,0.803,0.427,-0.461,0.933,0.496,-1.0,-211.0,83.0,0.14,857.0
859.0,0.212,0.834,-0.026,0.058,0.229,-0.007,-1.0,-211.0,83.0,0.14,859.0
877.0,-0.478,0.653,-0.379,-0.149,0.203,-0.118,1.0,211.0,83.0,0.14,877.0
927.0,-0.045,0.571,0.808,-0.045,0.577,0.817,1.0,211.0,83.0,0.14,927.0
929.0,0.606,0.05,0.782,0.62,0.051,0.801,-1.0,-211.0,83.0,0.14,929.0
930.0,-0.139,-0.102,0.984,-0.58,-0.425,4.106,1.0,211.0,83.0,0.14,930.0
988.0,0.083,-0.282,0.907,0.136,-0.462,1.483,-1.0,-321.0,83.0,0.494,988.0
992.0,0.15,0.092,0.984,0.6,0.366,3.927,-1.0,-211.0,83.0,0.14,992.0
999.0,0.27,-0.295,0.913,1.636,-1.786,5.534,1.0,321.0,83.0,0.494,999.0
1006.0,-0.161,-0.073,0.935,-0.258,-0.116,1.498,1.0,321.0,83.0,0.494,1006.0
1018.0,0.25,0.96,0.008,0.273,1.049,0.008,1.0,211.0,83.0,0.14,1018.0
1019.0,0.759,0.528,0.329,0.55,0.382,0.239,-1.0,-211.0,83.0,0.14,1019.0
1020.0,-0.389,-0.372,0.831,-0.383,-0.366,0.818,1.0,211.0,83.0,0.14,1020.0
1021.0,-0.592,0.07,0.751,-0.29,0.034,0.368,-1.0,-211.0,83.0,0.14,1021.0
1040.0,0.155,-0.319,0.934,0.672,-1.385,4.055,-1.0,-211.0,83.0,0.14,1040.0
1069.0,-0.227,0.196,0.95,-0.369,0.318,1.54,1.0,211.0,83.0,0.14,1069.0
1070.0,0.851,-0.437,-0.207,0.578,-0.297,-0.141,-1.0,-211.0,83.0,0.14,1070.0
1072.0,0.601,0.651,-0.403,0.365,0.396,-0.245,1.0,211.0,83.0,0.14,1072.0
1075.0,-0.656,0.311,-0.66,-0.477,0.226,-0.479,1.0,211.0,83.0,0.14,1075.0
1083.0,0.256,-0.536,-0.765,0.504,-1.056,-1.508,-1.0,-321.0,83.0,0.494,1083.0
1093.0,0.838,-0.453,-0.091,0.406,-0.219,-0.044,1.0,211.0,83.0,0.14,1093.0
1094.0,0.484,0.634,0.165,0.116,0.152,0.04,-1.0,-211.0,83.0,0.14,1094.0
1102.0,-0.684,-0.682,-0.229,-0.768,-0.766,-0.258,1.0,211.0,83.0,0.14,1102.0
1104.0,0.839,0.199,0.389,0.362,0.086,0.168,1.0,211.0,83.0,0.14,1104.0
1124.0,0.123,0.159,0.974,0.169,0.22,1.342,1.0,211.0,83.0,0.14,1124.0
1127.0,-0.909,0.138,-0.205,-0.38,0.058,-0.086,1.0,211.0,83.0,0.14,1127.0
1128.0,0.459,0.221,-0.535,0.095,0.046,-0.111,-1.0,-211.0,83.0,0.14,1128.0
1131.0,-0.058,-0.24,-0.967,-0.149,-0.617,-2.484,-1.0,-211.0,83.0,0.14,1131.0
1146.0,0.192,0.012,-0.981,23.537,1.513,-120.504,1.0,211.0,83.0,0.14,1146.0
1149.0,-0.18,-0.086,-0.98,-9.232,-4.436,-50.384,-1.0,-211.0,83.0,0.14,1149.0
1150.0,-0.173,-0.086,-0.981,-10.614,-5.293,-60.133,-1.0,-211.0,83.0,0.14,1150.0
1151.0,-0.179,-0.083,-0.98,-7.89,-3.65,-43.158,1.0,211.0,83.0,0.14,1151.0
1152.0,-0.159,-0.591,-0.025,-0.099,-0.369,-0.016,-1.0,-321.0,83.0,0.494,1152.0
1154.0,0.41,-0.68,-0.604,0.834,-1.384,-1.228,-1.0,-211.0,83.0,0.14,1154.0
1164.0,0.089,0.159,-0.962,0.061,0.108,-0.654,1.0,211.0,83.0,0.14,1164.0
1165.0,-0.075,0.181,-0.98,-0.324,0.783,-4.235,-1.0,-211.0,83.0,0.14,1165.0
1190.0,-0.347,-0.066,-0.934,-0.799,-0.151,-2.149,1.0,211.0,83.0,0.14,1190.0
1194.0,-0.342,0.464,-0.792,-0.239,0.325,-0.555,-1.0,-211.0,83.0,0.14,1194.0
1216.0,0.354,-0.331,0.854,0.265,-0.248,0.638,1.0,211.0,83.0,0.14,1216.0
1217.0,-0.208,-0.104,0.944,-0.125,-0.063,0.567,-1.0,-211.0,83.0,0.14,1217.0
1218.0,-0.224,0.486,0.687,-0.064,0.138,0.195,1.0,211.0,83.0,0.14,1218.0
1219.0,0.002,-0.445,0.863,0.001,-0.262,0.509,-1.0,-211.0,83.0,0.14,1219.0
1220.0,0.48,-0.531,-0.616,0.204,-0.225,-0.261,1.0,211.0,83.0,0.14,1220.0
1222.0,0.131,-0.55,0.274,0.083,-0.349,0.174,1.0,321.0,83.0,0.494,1222.0
1225.0,-0.454,-0.428,-0.719,-0.208,-0.196,-0.329,-1.0,-211.0,83.0,0.14,1225.0
1246.0,-0.751,-0.291,-0.331,-0.213,-0.083,-0.094,1.0,211.0,83.0,0.14,1246.0
1247.0,-0.377,0.469,0.685,-0.129,0.16,0.233,-1.0,-211.0,83.0,0.14,1247.0
