"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-2.8338709677419356,5.16,1,407
2,5.05,-2.8069306930693068,8.4,2,407
3,8.85,-2.7553672316384183,14.76,3,407
4,12.25,-2.708571428571428,20.48,4,407
5,29.9,-2.457665551839465,51.2,5,407
6,37.1,-2.3478328840970346,64.64,6,407
7,44.3,-2.230338600451467,79.04,7,407
8,51.4,-2.103237354085603,94.60000000000001,8,407
9,3.1,-1.0790322580645162,5.32,1,410
10,5.05,-1.0663366336633664,8.68,2,410
11,8.85,-1.040677966101695,15.24,3,410
12,12.25,-1.0175510204081633,21.080000000000002,4,410
13,29.9,-0.8975317725752507,51.76,5,410
14,37.1,-0.8479838274932613,64.48,6,410
15,44.3,-0.7975033860045145,77.36,7,410
16,51.4,-0.746941634241245,90.24,8,410
17,3.1,-0.9741935483870968,6.4,1,414
18,5.05,-0.9633663366336633,10.44,2,414
19,8.85,-0.9418079096045198,18.32,3,414
20,12.25,-0.9224489795918367,25.36,4,414
21,29.9,-0.8222541806020066,62.160000000000004,5,414
22,37.1,-0.7809919137466306,77.32000000000001,6,414
23,44.3,-0.7392505643340856,92.64,7,414
24,51.4,-0.6976614785992218,107.88,8,414
25,3.1,2.9612903225806453,-3.72,1,417
26,5.05,2.9485148514851485,-6.04,2,417
27,8.85,2.924858757062147,-10.6,3,417
28,12.25,2.903673469387755,-14.68,4,417
29,29.9,2.7920936454849494,-35.96,5,417
30,37.1,2.746026954177897,-44.76,6,417
31,44.3,2.6994311512415345,-53.68,7,417
32,51.4,2.6529260700389106,-62.56,8,417
33,3.1,-2.3193548387096774,-1.08,1,424
34,5.05,-2.2693069306930695,-1.76,2,424
35,8.85,-2.1717514124293786,-3.08,3,424
36,12.25,-2.0820408163265305,-4.32,4,424
37,29.9,-1.5377324414715718,-11.76,5,424
38,37.1,-1.172495956873315,-16.76,6,424
39,3.1,2.329032258064516,0.36,1,428
40,5.05,2.3544554455445543,0.6,2,428
41,8.85,2.4033898305084747,1.04,3,428
42,12.25,2.44734693877551,1.44,4,428
43,29.9,2.683043478260869,3.56,5,428
44,37.1,2.785250673854447,4.48,6,428
