particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
335.0,-0.153,0.075,-0.969,-0.117,0.057,-0.745,-1.0,-211.0,121.0,0.14,335.0
337.0,-0.211,0.008,-0.977,-1.043,0.038,-4.84,1.0,211.0,121.0,0.14,337.0
357.0,-0.054,0.149,-0.946,-0.095,0.26,-1.648,1.0,321.0,121.0,0.494,357.0
439.0,0.205,0.252,-0.945,0.8,0.986,-3.696,-1.0,-211.0,121.0,0.14,439.0
440.0,-0.251,-0.21,-0.942,-0.476,-0.398,-1.783,1.0,211.0,121.0,0.14,440.0
443.0,-0.315,0.407,-0.824,-0.655,0.847,-1.714,-1.0,-321.0,121.0,0.494,443.0
609.0,-0.367,-0.895,-0.015,-0.202,-0.493,-0.008,1.0,211.0,121.0,0.14,609.0
615.0,0.286,-0.385,-0.733,0.083,-0.111,-0.212,1.0,211.0,121.0,0.14,615.0
617.0,-0.152,0.279,0.936,-0.14,0.257,0.863,-1.0,-211.0,121.0,0.14,617.0
618.0,-0.346,-0.425,0.808,-0.793,-0.975,1.852,1.0,321.0,121.0,0.494,618.0
620.0,-0.669,-0.293,0.625,-1.202,-0.527,1.121,-1.0,-321.0,121.0,0.494,620.0
621.0,-0.487,-0.093,0.863,-0.704,-0.134,1.247,1.0,211.0,121.0,0.14,621.0
623.0,-0.184,-0.904,0.345,-0.146,-0.717,0.274,-1.0,-211.0,121.0,0.14,623.0
691.0,0.064,0.294,0.939,0.054,0.246,0.788,-1.0,-211.0,121.0,0.14,691.0
710.0,-0.334,0.168,-0.927,-0.276,0.139,-0.765,1.0,-11.0,121.0,0.001,710.0
731.0,0.231,-0.112,-0.947,0.166,-0.08,-0.68,1.0,211.0,121.0,0.14,731.0
732.0,-0.226,0.294,-0.922,-0.277,0.359,-1.128,-1.0,-211.0,121.0,0.14,732.0
734.0,0.551,0.31,-0.467,0.44,0.248,-0.373,1.0,321.0,121.0,0.494,734.0
735.0,0.026,0.476,-0.867,0.026,0.462,-0.842,-1.0,-211.0,121.0,0.14,735.0
738.0,0.746,0.536,-0.38,0.969,0.696,-0.494,1.0,211.0,121.0,0.14,738.0
769.0,0.049,0.245,-0.967,0.14,0.695,-2.749,1.0,211.0,121.0,0.14,769.0
775.0,-0.02,0.299,-0.95,-0.032,0.483,-1.534,-1.0,-211.0,121.0,0.14,775.0
778.0,0.079,0.415,-0.899,0.095,0.502,-1.086,1.0,211.0,121.0,0.14,778.0
780.0,0.218,0.451,-0.856,0.238,0.492,-0.935,-1.0,-211.0,121.0,0.14,780.0
781.0,0.432,-0.617,0.653,0.694,-0.991,1.049,1.0,211.0,121.0,0.14,781.0
783.0,-0.222,-0.316,0.089,-0.119,-0.17,0.048,1.0,321.0,121.0,0.494,783.0
784.0,0.621,-0.29,-0.68,0.331,-0.155,-0.363,-1.0,-211.0,121.0,0.14,784.0
787.0,-0.322,-0.537,0.769,-0.353,-0.589,0.843,-1.0,-211.0,121.0,0.14,787.0
791.0,-0.653,-0.602,0.46,-0.592,-0.545,0.417,1.0,-11.0,121.0,0.001,791.0
797.0,-0.78,0.526,0.225,-0.428,0.289,0.123,1.0,211.0,121.0,0.14,797.0
957.0,0.474,0.114,-0.835,0.259,0.062,-0.456,1.0,211.0,121.0,0.14,957.0
960.0,-0.435,0.058,-0.89,-0.482,0.065,-0.986,1.0,211.0,121.0,0.14,960.0
969.0,0.413,-0.843,0.337,0.737,-1.505,0.601,1.0,211.0,121.0,0.14,969.0
970.0,-0.192,-0.623,0.755,-0.374,-1.213,1.472,-1.0,-211.0,121.0,0.14,970.0
973.0,-0.707,-0.182,0.659,-0.543,-0.139,0.506,1.0,211.0,121.0,0.14,973.0
975.0,0.453,0.57,0.072,0.093,0.117,0.015,-1.0,-211.0,121.0,0.14,975.0
976.0,-0.096,-0.329,0.933,-0.124,-0.426,1.209,1.0,211.0,121.0,0.14,976.0
980.0,-0.251,-0.036,0.964,-0.461,-0.067,1.771,-1.0,-211.0,121.0,0.14,980.0
1006.0,-0.078,0.446,0.888,-0.142,0.811,1.613,1.0,211.0,121.0,0.14,1006.0
1012.0,0.787,-0.571,0.136,0.579,-0.421,0.1,-1.0,-211.0,121.0,0.14,1012.0
1024.0,0.135,-0.424,-0.795,0.046,-0.144,-0.269,-1.0,-211.0,121.0,0.14,1024.0
1025.0,-0.316,-0.366,-0.866,-0.353,-0.408,-0.965,1.0,211.0,121.0,0.14,1025.0
1026.0,0.434,0.505,0.74,0.644,0.749,1.098,-1.0,-211.0,121.0,0.14,1026.0
1049.0,-0.211,-0.051,-0.976,-1.459,-0.35,-6.75,-1.0,-211.0,121.0,0.14,1049.0
1050.0,-0.392,0.317,-0.862,-1.142,0.922,-2.511,1.0,211.0,121.0,0.14,1050.0
1075.0,0.22,0.13,-0.965,0.577,0.339,-2.526,-1.0,-211.0,121.0,0.14,1075.0
1105.0,-0.127,-0.68,-0.558,-0.039,-0.207,-0.17,-1.0,-211.0,121.0,0.14,1105.0
1109.0,-0.701,0.145,-0.638,-0.346,0.071,-0.315,-1.0,-211.0,121.0,0.14,1109.0
1111.0,-0.31,0.11,-0.861,-0.111,0.04,-0.309,1.0,211.0,121.0,0.14,1111.0
1121.0,0.016,-0.254,-0.966,0.042,-0.654,-2.485,-1.0,-211.0,121.0,0.14,1121.0
1122.0,0.092,-0.135,-0.986,0.411,-0.607,-4.421,1.0,211.0,121.0,0.14,1122.0
1123.0,0.083,0.323,-0.924,0.062,0.242,-0.691,-1.0,-211.0,121.0,0.14,1123.0
1127.0,-0.121,-0.79,0.586,-0.13,-0.846,0.628,-1.0,-211.0,121.0,0.14,1127.0
1133.0,-0.14,0.485,0.859,-0.229,0.791,1.402,1.0,211.0,121.0,0.14,1133.0
1137.0,0.259,0.6,0.691,0.117,0.272,0.313,1.0,211.0,121.0,0.14,1137.0
1138.0,0.652,0.298,0.608,0.945,0.432,0.881,-1.0,-321.0,121.0,0.494,1138.0
1139.0,0.434,0.843,0.036,0.192,0.374,0.016,1.0,211.0,121.0,0.14,1139.0
1140.0,0.44,-0.453,0.654,0.148,-0.152,0.219,1.0,211.0,121.0,0.14,1140.0
1142.0,0.59,-0.422,-0.615,0.266,-0.19,-0.277,1.0,211.0,121.0,0.14,1142.0
1143.0,0.063,-0.364,-0.885,0.031,-0.18,-0.437,-1.0,-211.0,121.0,0.14,1143.0
1172.0,0.606,-0.037,0.723,0.909,-0.055,1.085,-1.0,-321.0,121.0,0.494,1172.0
1173.0,0.894,0.024,0.445,2.503,0.068,1.246,1.0,211.0,121.0,0.14,1173.0
1174.0,-0.05,0.305,0.946,-0.071,0.435,1.349,-1.0,-211.0,121.0,0.14,1174.0
1177.0,0.147,0.215,0.964,0.352,0.516,2.312,1.0,211.0,121.0,0.14,1177.0
1179.0,-0.49,0.146,0.84,-0.376,0.112,0.644,-1.0,-211.0,121.0,0.14,1179.0
1252.0,0.204,-0.936,0.288,5.313,-24.343,7.482,-1.0,-211.0,121.0,0.14,1252.0
1257.0,0.537,-0.428,0.685,0.306,-0.244,0.39,-1.0,-211.0,121.0,0.14,1257.0
1259.0,0.451,-0.223,0.863,1.301,-0.644,2.489,1.0,211.0,121.0,0.14,1259.0
