particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
116.0,-0.139,-0.26,0.954,-0.392,-0.733,2.692,-1.0,-211.0,242.0,0.14
117.0,0.067,-0.808,0.555,0.051,-0.61,0.419,1.0,211.0,242.0,0.14
135.0,0.633,-0.648,-0.368,0.421,-0.431,-0.245,1.0,211.0,242.0,0.14
156.0,0.254,0.089,-0.961,0.605,0.213,-2.286,1.0,211.0,242.0,0.14
230.0,-0.2,0.835,0.162,-0.057,0.239,0.046,-1.0,-211.0,242.0,0.14
271.0,-0.769,0.357,0.52,-1.023,0.475,0.693,1.0,211.0,242.0,0.14
272.0,0.431,-0.217,-0.819,0.194,-0.097,-0.368,-1.0,-211.0,242.0,0.14
338.0,0.244,-0.807,-0.225,0.07,-0.231,-0.064,1.0,211.0,242.0,0.14
339.0,-0.626,-0.063,0.753,-0.453,-0.045,0.545,-1.0,-211.0,242.0,0.14
358.0,0.224,0.085,-0.961,0.229,0.087,-0.979,-1.0,-211.0,242.0,0.14
362.0,-0.638,-0.132,0.727,-0.41,-0.085,0.467,-1.0,-211.0,242.0,0.14
367.0,0.124,-0.251,0.947,0.11,-0.223,0.842,1.0,211.0,242.0,0.14
402.0,0.181,0.706,0.648,0.115,0.448,0.411,-1.0,-211.0,242.0,0.14
901.0,-0.185,0.004,0.983,-5.24,0.104,27.851,-1.0,-321.0,242.0,0.494
909.0,0.048,-0.183,0.979,0.094,-0.354,1.896,1.0,211.0,242.0,0.14
920.0,-0.342,-0.43,0.828,-0.41,-0.516,0.994,-1.0,-211.0,242.0,0.14
921.0,-0.84,0.176,0.509,-1.703,0.356,1.032,1.0,211.0,242.0,0.14
922.0,-0.518,0.456,0.715,-0.632,0.557,0.873,-1.0,-211.0,242.0,0.14
923.0,-0.468,-0.231,0.85,-0.892,-0.441,1.619,1.0,211.0,242.0,0.14
925.0,0.61,0.018,-0.603,0.166,0.005,-0.164,-1.0,-211.0,242.0,0.14
