"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,2.732258064516129,2.64,1,209
2,5.05,2.721782178217822,4.32,2,209
3,8.85,2.7005649717514126,7.5600000000000005,3,209
4,12.25,2.6820408163265306,10.48,4,209
5,29.9,2.583772575250836,25.72,5,209
6,37.1,2.54321832884097,32.,6,209
7,44.3,2.502415349887133,38.32,7,209
8,51.4,2.4615603112840465,44.6,8,209
9,3.1,2.5338709677419353,0.24,1,211
10,5.05,2.5415841584158416,0.44,2,211
11,8.85,2.556497175141243,0.72,3,211
12,12.25,2.5697959183673467,1.,4,211
13,29.9,2.6400602006688962,2.48,5,211
14,37.1,2.6687708894878703,3.08,6,211
15,44.3,2.6976659142212185,3.72,7,211
16,51.4,2.726284046692607,4.32,8,211
17,3.1,-2.196774193548387,2.44,1,225
18,5.05,-2.1712871287128714,3.96,2,225
19,8.85,-2.122598870056497,6.96,3,225
20,12.25,-2.0787755102040815,9.64,4,225
21,29.9,-1.8446421404682274,24.,5,225
22,37.1,-1.742706199460916,30.240000000000002,6,225
23,44.3,-1.6355304740406318,36.84,7,225
24,51.4,-1.520805447470817,43.88,8,225
25,3.1,1.4096774193548387,-5.16,1,226
26,5.05,1.3821782178217823,-8.44,2,226
27,8.85,1.328813559322034,-14.8,3,226
28,12.25,1.280408163265306,-20.52,4,226
29,29.9,1.0203411371237459,-51.480000000000004,5,226
30,37.1,0.9053530997304581,-65.08,6,226
31,44.3,0.782767494356659,-79.72,7,226
32,51.4,0.6469922178988327,-95.76,8,226
33,3.1,2.7983870967741935,0.24,1,228
34,5.05,2.802970297029703,0.4,2,228
35,8.85,2.812994350282486,0.68,3,228
36,12.25,2.8216326530612243,0.96,4,228
37,29.9,2.8677123745819397,2.36,5,228
38,37.1,2.886517520215633,2.92,6,228
39,44.3,2.9053498871331827,3.52,7,228
40,51.4,2.924,4.08,8,228
41,3.1,0.3532258064516129,5.08,1,233
42,5.05,0.32475247524752476,8.24,2,233
43,8.85,0.2711864406779661,14.48,3,233
44,12.25,0.2224489795918367,20.12,4,233
45,29.9,-0.03900334448160535,50.4,5,233
46,37.1,-0.1546954177897574,63.76,6,233
47,44.3,-0.27844695259593677,78.16,7,233
48,51.4,-0.4151439688715953,93.92,8,233
49,3.1,0.9241935483870968,2.,1,234
50,5.05,0.9623762376237623,3.24,2,234
51,8.85,1.036723163841808,5.72,3,234
52,12.25,1.1044897959183673,7.96,4,234
53,29.9,1.4847424749163878,20.52,5,234
54,37.1,1.6707654986522908,26.68,6,234
55,44.3,1.9045372460496612,34.36,7,234
56,3.1,1.5370967741935484,-1.44,1,235
57,5.05,1.5316831683168317,-2.36,2,235
58,8.85,1.5214689265536723,-4.12,3,235
59,12.25,1.5122448979591836,-5.68,4,235
60,29.9,1.4645016722408026,-13.92,5,235
61,37.1,1.4449541778975739,-17.28,6,235
62,44.3,1.4253905191873588,-20.64,7,235
63,51.4,1.4059727626459144,-24.,8,235
64,3.1,1.2161290322580645,4.88,1,241
65,5.05,1.203960396039604,7.96,2,241
66,8.85,1.180225988700565,13.92,3,241
67,12.25,1.1591836734693877,19.28,4,241
68,29.9,1.0486555183946487,47.32,5,241
69,37.1,1.0030458221024257,58.92,6,241
70,44.3,0.9568352144469525,70.64,7,241
71,51.4,0.9105914396887159,82.32000000000001,8,241
72,3.1,2.5403225806451615,9.64,1,242
73,5.05,2.5613861386138614,15.72,2,242
74,8.85,2.60225988700565,27.560000000000002,3,242
75,12.25,2.6391836734693874,38.2,4,242
76,29.9,2.834735785953177,94.64,5,242
77,37.1,2.917951482479784,118.68,6,242
78,44.3,3.004356659142212,143.6,7,242
79,51.4,3.093669260700389,169.36,8,242
80,3.1,-2.888709677419355,4.96,1,283
81,5.05,-2.8594059405940593,8.120000000000001,2,283
82,8.85,-2.8045197740112995,14.24,3,283
83,12.25,-2.7551020408163263,19.76,4,283
84,29.9,-2.4862073578595316,49.6,5,283
85,37.1,-2.367169811320754,62.84,6,283
86,44.3,-2.238320541760722,77.16,7,283
87,51.4,-2.095894941634241,92.96000000000001,8,283
88,3.1,-0.24838709677419354,11.44,1,332
89,5.05,-0.26534653465346536,18.64,2,332
90,8.85,-0.2983050847457627,32.68,3,332
91,12.25,-0.3285714285714285,45.28,4,332
92,29.9,-0.48577926421404677,111.64,5,332
93,37.1,-0.5514231805929919,139.4,6,332
94,44.3,-0.6192144469525959,167.84,7,332
95,51.4,-0.6875408560311284,196.72,8,332
96,3.1,2.541935483870968,3.68,1,334
97,5.05,2.518811881188119,6.,2,334
98,8.85,2.472316384180791,10.52,3,334
99,12.25,2.431428571428571,14.6,4,334
100,29.9,2.2119331103678928,36.28,5,334
101,37.1,2.1169811320754715,45.64,6,334
102,44.3,2.0180496613995484,55.44,7,334
103,51.4,1.913326848249027,65.76,8,334
104,3.1,-0.17258064516129032,0.8,1,335
105,5.05,-0.16237623762376238,1.32,2,335
106,8.85,-0.13954802259887006,2.32,3,335
107,12.25,-0.11959183673469387,3.2,4,335
108,29.9,-0.014782608695652172,7.84,5,335
109,37.1,0.02831805929919137,9.76,6,335
110,44.3,0.07191422121896161,11.72,7,335
111,51.4,0.11562645914396887,13.64,8,335
112,3.1,-1.6709677419354838,-13.68,1,342
113,5.05,-1.684158415841584,-22.240000000000002,2,342
114,8.85,-1.7101694915254237,-39.04,3,342
115,12.25,-1.733469387755102,-54.04,4,342
116,29.9,-1.854421404682274,-132.68,5,342
117,37.1,-1.9049164420485172,-165.28,6,342
118,44.3,-1.9554988713318282,-198.28,7,342
119,51.4,-2.006727626459144,-231.36,8,342
120,3.1,2.956451612903226,-8.16,1,346
121,5.05,2.9653465346534653,-13.32,2,346
122,8.85,2.9836158192090396,-23.36,3,346
123,12.25,3.000408163265306,-32.32,4,346
124,29.9,3.0866086956521737,-79.16,5,346
125,37.1,3.121951482479784,-98.4,6,346
126,44.3,-3.125313769751693,-117.8,7,346
127,51.4,-3.089964980544747,-137.04,8,346
128,3.1,2.791935483870968,-4.96,1,348
129,5.05,2.7762376237623765,-8.08,2,348
130,8.85,2.745762711864407,-14.200000000000001,3,348
131,12.25,2.7183673469387752,-19.68,4,348
132,29.9,2.5755852842809364,-48.36,5,348
133,37.1,2.5159999999999996,-60.36,6,348
134,44.3,2.4553679458239275,-72.56,7,348
135,51.4,2.3938249027237353,-84.88,8,348
136,3.1,2.858064516129032,-5.36,1,349
137,5.05,2.874257425742574,-8.76,2,349
138,8.85,2.9056497175141245,-15.36,3,349
139,12.25,2.933469387755102,-21.28,4,349
140,29.9,3.0806956521739126,-52.36,5,349
141,37.1,-3.1412884097035034,-65.32000000000001,6,349
142,44.3,-3.078266365688487,-78.56,7,349
143,51.4,-3.0151517509727626,-91.96000000000001,8,349
144,3.1,0.8516129032258064,5.36,1,355
145,5.05,0.8168316831683169,8.76,2,355
146,8.85,0.7497175141242938,15.4,3,355
147,12.25,0.6885714285714285,21.400000000000002,4,355
148,29.9,0.35159866220735786,54.56,5,355
149,37.1,0.19465229110512128,70.08,6,355
150,44.3,0.011742663656884875,88.04,7,355
151,3.1,1.706451612903226,1.2,1,356
152,5.05,1.7178217821782178,1.92,2,356
153,8.85,1.7412429378531074,3.4,3,356
154,12.25,1.7624489795918366,4.72,4,356
155,29.9,1.8710234113712374,11.52,5,356
156,37.1,1.916097035040431,14.36,6,356
157,44.3,1.9613318284424377,17.2,7,356
158,51.4,2.0069922178988326,20.04,8,356
159,3.1,1.3048387096774194,-0.8,1,358
160,5.05,1.308910891089109,-1.32,2,358
161,8.85,1.3163841807909604,-2.32,3,358
162,12.25,1.3228571428571427,-3.2,4,358
163,29.9,1.356020066889632,-7.84,5,358
164,37.1,1.369530997304582,-9.72,6,358
165,44.3,1.38310158013544,-11.6,7,358
166,51.4,1.3965136186770428,-13.44,8,358
167,3.1,2.2419354838709675,-12.84,1,372
168,5.05,2.2584158415841586,-20.92,2,372
169,8.85,2.2926553672316383,-36.68,3,372
170,12.25,2.3224489795918366,-50.84,4,372
171,29.9,2.4809765886287622,-125.32000000000001,5,372
172,37.1,2.547250673854447,-156.52,6,372
173,44.3,2.6153905191873585,-188.48,7,372
174,51.4,2.684544747081712,-220.92000000000002,8,372
175,3.1,2.206451612903226,-9.,1,378
176,5.05,2.1524752475247526,-14.72,2,378
177,8.85,2.045762711864407,-25.96,3,378
178,12.25,1.9481632653061223,-36.28,4,378
179,29.9,1.3279331103678929,-101.92,5,378
180,3.1,-2.0919354838709676,0.52,1,496
181,5.05,-2.101980198019802,0.84,2,496
182,8.85,-2.1203389830508477,1.48,3,496
183,12.25,-2.137142857142857,2.04,4,496
184,29.9,-2.222849498327759,5.04,5,496
185,37.1,-2.257929919137466,6.24,6,496
186,44.3,-2.2935801354401804,7.48,7,496
187,51.4,-2.3288677042801553,8.72,8,496
188,3.1,3.0048387096774194,1.36,1,497
189,5.05,3.020792079207921,2.24,2,497
