PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,716.827,-246.196,-386.541,231.98,500.0,1.0,1.0,68.0,1613.0
15.0,627.749,90.94,300.242,-213.665,500.0,-1.0,1.0,68.0,1614.0
