particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
70.0,-0.143,-0.435,-0.882,-0.176,-0.534,-1.082,-1.0,-211.0,56.0,0.14,70.0
72.0,-0.215,0.003,-0.938,-0.111,0.001,-0.484,1.0,211.0,56.0,0.14,72.0
85.0,0.06,0.3,-0.938,0.051,0.255,-0.796,-1.0,-211.0,56.0,0.14,85.0
91.0,-0.301,-0.584,0.742,-0.312,-0.606,0.769,1.0,211.0,56.0,0.14,91.0
142.0,-0.611,0.23,0.751,-0.917,0.346,1.128,1.0,211.0,56.0,0.14,142.0
144.0,0.583,0.681,0.394,0.404,0.472,0.273,1.0,211.0,56.0,0.14,144.0
183.0,-0.296,-0.01,-0.931,-0.194,-0.006,-0.609,1.0,211.0,56.0,0.14,183.0
191.0,-0.893,-0.033,-0.296,-0.369,-0.014,-0.122,1.0,211.0,56.0,0.14,191.0
192.0,0.612,-0.229,-0.494,0.149,-0.056,-0.12,-1.0,-211.0,56.0,0.14,192.0
198.0,0.463,0.237,0.801,0.217,0.111,0.376,1.0,211.0,56.0,0.14,198.0
199.0,-0.253,-0.052,0.943,-0.169,-0.035,0.628,-1.0,-211.0,56.0,0.14,199.0
225.0,-0.097,0.243,0.963,-0.213,0.532,2.111,1.0,211.0,56.0,0.14,225.0
228.0,-0.183,0.109,0.956,-0.127,0.076,0.661,-1.0,-211.0,56.0,0.14,228.0
232.0,-0.403,0.173,0.896,-0.772,0.331,1.716,1.0,211.0,56.0,0.14,232.0
234.0,-0.288,0.375,0.88,-0.895,1.164,2.733,1.0,211.0,56.0,0.14,234.0
235.0,-0.382,0.648,0.632,-0.289,0.489,0.477,1.0,211.0,56.0,0.14,235.0
236.0,-0.304,0.353,0.884,-1.559,1.807,4.528,-1.0,-211.0,56.0,0.14,236.0
237.0,-0.346,0.148,0.925,-1.035,0.443,2.77,-1.0,-211.0,56.0,0.14,237.0
241.0,0.71,0.138,0.533,0.225,0.044,0.169,-1.0,-211.0,56.0,0.14,241.0
249.0,-0.165,0.066,-0.977,-0.192,0.077,-1.135,1.0,211.0,56.0,0.14,249.0
422.0,0.575,-0.101,-0.763,0.29,-0.051,-0.385,-1.0,-211.0,56.0,0.14,422.0
425.0,-0.387,0.042,0.916,-0.566,0.062,1.342,-1.0,-211.0,56.0,0.14,425.0
426.0,0.588,0.39,0.664,0.328,0.218,0.371,1.0,211.0,56.0,0.14,426.0
427.0,-0.645,-0.075,0.755,-0.98,-0.114,1.147,-1.0,-211.0,56.0,0.14,427.0
428.0,-0.6,0.192,0.632,-0.186,0.059,0.196,1.0,211.0,56.0,0.14,428.0
430.0,-0.595,-0.119,0.791,-1.053,-0.211,1.4,-1.0,-211.0,56.0,0.14,430.0
432.0,-0.25,0.647,0.7,-0.204,0.528,0.57,1.0,211.0,56.0,0.14,432.0
543.0,-0.974,0.083,0.047,-0.66,0.057,0.032,-1.0,-211.0,56.0,0.14,543.0
618.0,0.217,0.562,-0.795,0.402,1.042,-1.475,1.0,211.0,56.0,0.14,618.0
620.0,0.234,0.68,-0.693,0.695,2.02,-2.058,-1.0,-211.0,56.0,0.14,620.0
623.0,0.034,0.962,-0.208,0.027,0.762,-0.165,-1.0,-211.0,56.0,0.14,623.0
627.0,-0.666,-0.242,-0.528,-0.198,-0.072,-0.157,1.0,211.0,56.0,0.14,627.0
668.0,0.141,-0.47,-0.551,0.103,-0.344,-0.403,1.0,321.0,56.0,0.494,668.0
672.0,0.337,0.735,0.419,0.114,0.249,0.142,-1.0,-211.0,56.0,0.14,672.0
674.0,-0.346,0.172,0.914,-0.4,0.199,1.057,1.0,211.0,56.0,0.14,674.0
675.0,0.17,-0.19,0.957,0.174,-0.195,0.982,-1.0,-211.0,56.0,0.14,675.0
678.0,0.104,0.153,0.979,0.162,0.237,1.518,1.0,211.0,56.0,0.14,678.0
705.0,-0.278,-0.878,0.346,-0.22,-0.695,0.274,1.0,211.0,56.0,0.14,705.0
709.0,-0.244,-0.298,-0.917,-0.34,-0.416,-1.28,1.0,211.0,56.0,0.14,709.0
710.0,0.141,-0.152,-0.977,0.362,-0.389,-2.506,-1.0,-211.0,56.0,0.14,710.0
711.0,0.162,-0.223,-0.896,0.065,-0.089,-0.358,1.0,211.0,56.0,0.14,711.0
712.0,-0.135,-0.705,-0.668,-0.097,-0.504,-0.477,-1.0,-211.0,56.0,0.14,712.0
716.0,-0.333,-0.188,-0.911,-0.303,-0.171,-0.827,1.0,211.0,56.0,0.14,716.0
720.0,-0.174,0.003,-0.985,-1.684,0.029,-9.55,1.0,211.0,56.0,0.14,720.0
