particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
51.0,0.012,0.208,0.964,0.01,0.178,0.824,1.0,211.0,788.0,0.14
56.0,0.381,-0.524,-0.741,0.298,-0.41,-0.579,-1.0,-211.0,788.0,0.14
57.0,-0.106,-0.431,-0.883,-0.097,-0.394,-0.806,1.0,211.0,788.0,0.14
115.0,-0.004,0.232,0.962,-0.004,0.229,0.948,1.0,211.0,788.0,0.14
118.0,-0.327,-0.108,0.862,-0.122,-0.04,0.322,1.0,211.0,788.0,0.14
121.0,0.675,-0.342,-0.499,0.223,-0.113,-0.165,1.0,211.0,788.0,0.14
160.0,0.262,0.065,0.951,0.248,0.062,0.901,1.0,211.0,788.0,0.14
255.0,0.571,-0.771,-0.229,0.492,-0.664,-0.197,1.0,211.0,788.0,0.14
256.0,0.308,-0.92,-0.225,0.49,-1.464,-0.358,-1.0,-211.0,788.0,0.14
257.0,0.204,-0.936,-0.247,0.194,-0.893,-0.235,1.0,211.0,788.0,0.14
260.0,0.554,-0.805,-0.208,1.452,-2.11,-0.545,1.0,211.0,788.0,0.14
262.0,-0.14,-0.924,-0.323,-0.13,-0.853,-0.298,1.0,211.0,788.0,0.14
265.0,0.553,-0.226,0.752,0.975,-0.399,1.325,1.0,321.0,788.0,0.494
266.0,-0.289,-0.039,0.885,-0.393,-0.053,1.2,-1.0,-321.0,788.0,0.494
338.0,0.12,-0.956,-0.266,0.613,-4.906,-1.365,1.0,211.0,788.0,0.14
339.0,-0.337,-0.789,-0.429,-0.165,-0.387,-0.211,-1.0,-211.0,788.0,0.14
341.0,0.298,-0.944,-0.134,1.074,-3.4,-0.483,-1.0,-211.0,788.0,0.14
343.0,0.429,-0.785,-0.406,0.317,-0.579,-0.299,-1.0,-211.0,788.0,0.14
344.0,0.823,-0.444,0.146,0.357,-0.193,0.063,-1.0,-211.0,788.0,0.14
346.0,0.586,-0.117,0.786,0.519,-0.103,0.696,1.0,211.0,788.0,0.14
347.0,0.753,0.124,-0.474,0.239,0.039,-0.151,-1.0,-211.0,788.0,0.14
557.0,-0.161,-0.167,-0.969,-0.28,-0.291,-1.686,1.0,211.0,788.0,0.14
563.0,0.024,-0.188,-0.982,0.125,-0.97,-5.075,1.0,211.0,788.0,0.14
582.0,0.172,0.082,-0.982,2.136,1.021,-12.165,1.0,211.0,788.0,0.14
728.0,0.061,0.18,0.979,0.44,1.307,7.101,-1.0,-321.0,788.0,0.494
734.0,0.204,-0.071,0.976,1.314,-0.455,6.289,-1.0,-211.0,788.0,0.14
741.0,0.088,-0.146,0.985,0.32,-0.534,3.596,1.0,211.0,788.0,0.14
749.0,-0.269,0.185,0.945,-1.295,0.891,4.542,-1.0,-211.0,788.0,0.14
769.0,0.01,-0.183,-0.981,0.023,-0.415,-2.228,-1.0,-211.0,788.0,0.14
791.0,0.179,0.12,-0.976,1.347,0.897,-7.328,-1.0,-211.0,788.0,0.14
794.0,0.64,0.137,-0.71,0.345,0.074,-0.382,-1.0,-211.0,788.0,0.14
795.0,0.123,0.112,-0.986,3.662,3.332,-29.386,1.0,211.0,788.0,0.14
796.0,0.193,0.103,-0.975,0.679,0.363,-3.432,-1.0,-211.0,788.0,0.14
865.0,-0.215,0.322,0.914,-0.24,0.359,1.018,1.0,211.0,788.0,0.14
867.0,0.002,0.285,0.943,0.001,0.229,0.756,1.0,211.0,788.0,0.14
874.0,0.094,0.15,0.984,0.602,0.964,6.33,1.0,211.0,788.0,0.14
880.0,-0.162,-0.002,0.978,-0.173,-0.002,1.044,-1.0,-211.0,788.0,0.14
883.0,-0.257,-0.193,0.914,-0.512,-0.383,1.821,1.0,321.0,788.0,0.494
887.0,-0.111,0.733,0.623,-0.061,0.407,0.346,1.0,211.0,788.0,0.14
889.0,-0.097,0.221,0.944,-0.212,0.482,2.058,1.0,321.0,788.0,0.494
890.0,-0.052,0.198,0.978,-0.194,0.736,3.641,-1.0,-211.0,788.0,0.14
892.0,0.07,0.423,0.894,0.075,0.456,0.963,1.0,211.0,788.0,0.14
893.0,-0.199,0.386,0.9,-1.007,1.952,4.551,-1.0,-211.0,788.0,0.14
932.0,0.105,0.129,-0.985,0.367,0.45,-3.433,1.0,211.0,788.0,0.14
1004.0,-0.81,0.377,0.174,-0.968,0.45,0.208,-1.0,-321.0,788.0,0.494
1005.0,0.826,0.484,-0.141,0.454,0.266,-0.078,1.0,211.0,788.0,0.14
1006.0,-0.127,0.485,0.725,-0.038,0.144,0.215,-1.0,-211.0,788.0,0.14
1012.0,0.913,0.344,-0.217,5.887,2.219,-1.398,1.0,211.0,788.0,0.14
1013.0,0.941,0.276,0.155,1.094,0.32,0.18,-1.0,-211.0,788.0,0.14
1014.0,0.929,0.317,-0.127,0.894,0.305,-0.122,1.0,211.0,788.0,0.14
