val_loss,eff,pur,current_lr,epoch,step,train_loss
0.008095583878457546,0.9905407428741455,0.012669228948652744,0.0001250000059371814,0,69,
,,,,0,69,0.01043170876801014
0.005623523611575365,0.9607934951782227,0.04776695370674133,0.0002500000118743628,1,139,
,,,,1,139,0.009418410249054432
0.00488694291561842,0.965671181678772,0.06682605296373367,0.00037500003236345947,2,209,
,,,,2,209,0.009218310005962849
0.004841609857976437,0.9780051708221436,0.061506759375333786,0.0003499999875202775,3,279,
,,,,3,279,0.009122787974774837
0.004792231135070324,0.9501602649688721,0.09919726103544235,0.0006249999278225005,4,349,
,,,,4,349,0.009067387320101261
0.005016062408685684,0.9712482690811157,0.05687520653009415,0.0007500000647269189,5,419,
,,,,5,419,0.008953360840678215
0.004800673574209213,0.9617732167243958,0.06203724443912506,0.0008749999688006938,6,489,
,,,,6,489,0.008884967304766178
0.004673639312386513,0.9725104570388794,0.0833442211151123,0.000699999975040555,7,559,
,,,,7,559,0.008749685250222683
0.004799142014235258,0.9544894099235535,0.09422282874584198,0.000699999975040555,8,629,
,,,,8,629,0.008702333085238934
0.004482601769268513,0.9758564829826355,0.09883059561252594,0.000699999975040555,9,699,
,,,,9,699,0.008590495213866234
