PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,947.619,-499.75,228.63,588.183,500.0,1.0,1.0,624.0,734.0
15.0,1201.685,542.579,-227.629,920.782,500.0,-1.0,1.0,624.0,735.0
