val_loss,eff,pur,current_lr,auc,epoch,step,train_loss
0.031481076031923294,1.0,1.0,0.00019999995129182935,0.0,0,70,
,,,,,0,70,0.1080852672457695
0.014214546419680119,1.0,1.0,0.0003999999025836587,0.0,1,141,
,,,,,1,141,0.02099640481173992
0.006233192514628172,1.0,1.0,0.0005999999702908099,0.0,2,212,
,,,,,2,212,0.009517813101410866
0.002852490870282054,1.0,1.0,0.0007999998051673174,0.0,3,283,
,,,,,3,283,0.004245928023010492
0.0014395301695913076,1.0,1.0,0.0010000000474974513,0.0,4,354,
,,,,,4,354,0.0020339374896138906
0.0008011345635168254,1.0,1.0,0.0011999999405816197,0.0,5,425,
,,,,,5,425,0.0010763095924630761
0.000483514042571187,1.0,1.0,0.0013999997172504663,0.0,6,496,
,,,,,6,496,0.0006234290776774287
0.00031135042081587017,1.0,1.0,0.0011199999134987593,0.0,7,567,
,,,,,7,567,0.00038851331919431686
0.0002111383219016716,1.0,1.0,0.0018000002019107342,0.0,8,638,
,,,,,8,638,0.0002566694747656584
0.0001494530588388443,1.0,1.0,0.0020000000949949026,0.0,9,709,
,,,,,9,709,0.00017779183690436184
0.00011250061652390286,1.0,1.0,0.0020000000949949026,0.0,10,780,
,,,,,10,780,0.00012977098231203854
8.848113066051155e-05,1.0,1.0,0.0020000000949949026,0.0,11,851,
,,,,,11,851,9.985122596845031e-05
7.188191375462338e-05,1.0,1.0,0.0020000000949949026,0.0,12,922,
,,,,,12,922,7.978803478181362e-05
5.9901773056481034e-05,1.0,1.0,0.0020000000949949026,0.0,13,993,
,,,,,13,993,6.562112685060129e-05
5.087192039354704e-05,1.0,1.0,0.0020000000949949026,0.0,14,1064,
,,,,,14,1064,5.5194817832671106e-05
4.3957952584605664e-05,1.0,1.0,0.0013999997172504663,0.0,15,1135,
,,,,,15,1135,4.7307075874414295e-05
4.005391747341491e-05,1.0,1.0,0.0013999997172504663,0.0,16,1206,
,,,,,16,1206,4.1957846406148747e-05
3.662671588244848e-05,1.0,1.0,0.0013999997172504663,0.0,17,1277,
,,,,,17,1277,3.830444620689377e-05
3.370613922015764e-05,1.0,1.0,0.0013999997172504663,0.0,18,1348,
,,,,,18,1348,3.5149634641129524e-05
3.114319042651914e-05,1.0,1.0,0.0013999997172504663,0.0,19,1419,
,,,,,19,1419,3.241291778977029e-05
2.8908047170261852e-05,1.0,1.0,0.0013999997172504663,0.0,20,1490,
,,,,,20,1490,3.000021206389647e-05
2.694112299650442e-05,1.0,1.0,0.0013999997172504663,0.0,21,1561,
,,,,,21,1561,2.7908195988857187e-05
2.5212601030943915e-05,1.0,1.0,0.0013999997172504663,0.0,22,1632,
,,,,,22,1632,2.6052959583466873e-05
2.3603295630891807e-05,1.0,1.0,0.0009800000116229057,0.0,23,1703,
,,,,,23,1703,2.440418211335782e-05
2.2649639504379593e-05,1.0,1.0,0.0009800000116229057,0.0,24,1774,
,,,,,24,1774,2.3128157408791594e-05
2.1695972463930957e-05,1.0,1.0,0.0009800000116229057,0.0,25,1845,
,,,,,25,1845,2.2177844584803097e-05
2.0876417693216354e-05,1.0,1.0,0.0009800000116229057,0.0,26,1916,
,,,,,26,1916,2.1296371414791793e-05
2.002706241910346e-05,1.0,1.0,0.0009800000116229057,0.0,27,1987,
,,,,,27,1987,2.0465266061364673e-05
1.9311813957756385e-05,1.0,1.0,0.0009800000116229057,0.0,28,2058,
,,,,,28,2058,1.9697967218235135e-05
1.8596561858430505e-05,1.0,1.0,0.0009800000116229057,0.0,29,2129,
,,,,,29,2129,1.8974318663822487e-05
