QID,E,px,py,pz
1,692.06,-2.36,210.11,-429.88
2,751.33,-418.1,-149.97,-342.33
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
2,572.66,-169.7,-130.03,-179.56
1,556.85,215.45,107.49,-45.96
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
1,946.05,-338.49,415.7,-598.03
2,1482.61,368.22,-433.89,1274.48
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,1434.63,299.27,12.05,-1310.9
1,829.31,-271.43,22.72,-602.97
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,910.49,-23.04,121.95,-750.72
1,603.75,-121.55,-123.54,-290.65
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,2706.15,-118.33,-215.23,-2648.19
1,1212.25,151.59,199.98,-1075.45
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
2,649.19,-71.84,-406.59,31.16
1,676.13,-20.8,449.8,66.33
