EventID,layer,QID,r,phi,z
8,4,1,12.25,-1.42,13.44
8,5,2,29.9,1.6483745819397992,18.96
8,5,1,29.9,-1.420267558528428,32.76
8,6,2,37.1,1.6484043126684633,23.52
8,6,1,37.1,-1.4203018867924526,40.68
8,7,2,44.3,1.6484243792325055,28.080000000000002
8,7,1,44.3,-1.4203250564334085,48.56
8,8,2,51.4,1.6484708171206224,32.6
8,8,1,51.4,-1.4203929961089494,56.36
9,1,1,3.1,1.582258064516129,-6.36
9,1,2,3.1,-2.796774193548387,-2.4
9,2,1,5.05,1.5821782178217823,-10.32
9,2,2,5.05,-2.797029702970297,-3.88
9,3,1,8.85,1.5824858757062148,-18.12
9,3,2,8.85,-2.797175141242938,-6.84
9,4,1,12.25,1.5828571428571427,-25.080000000000002
9,4,2,12.25,-2.7971428571428567,-9.44
9,5,1,29.9,1.5838996655518394,-61.28
9,5,2,29.9,-2.797210702341137,-23.080000000000002
9,6,1,37.1,1.5843450134770887,-76.08
9,6,2,37.1,-2.7972560646900266,-28.6
9,7,1,44.3,1.5847990970654626,-90.84
9,7,2,44.3,-2.7972866817155753,-34.2
9,8,1,51.4,1.5852334630350193,-105.48
9,8,2,51.4,-2.797260700389105,-39.68
10,1,2,3.1,-2.4870967741935486,-2.6
10,1,1,3.1,0.4629032258064516,-0.6
10,2,2,5.05,-2.488118811881188,-4.24
10,2,1,5.05,0.4623762376237624,-0.96
10,3,2,8.85,-2.487570621468927,-7.44
10,3,1,8.85,0.4627118644067797,-1.68
10,4,2,12.25,-2.48734693877551,-10.28
10,4,1,12.25,0.4624489795918367,-2.36
10,5,2,29.9,-2.4871170568561873,-25.16
10,5,1,29.9,0.46224080267558526,-5.76
10,6,2,37.1,-2.4868571428571427,-31.240000000000002
10,6,1,37.1,0.46207008086253365,-7.12
10,7,2,44.3,-2.4867584650112864,-37.32
10,7,1,44.3,0.46187810383747174,-8.52
10,8,2,51.4,-2.4865642023346304,-43.32
10,8,1,51.4,0.4617782101167315,-9.92
11,1,1,3.1,2.2548387096774194,-3.44
11,1,2,3.1,-0.867741935483871,6.96
11,2,1,5.05,2.2544554455445547,-5.64
11,2,2,5.05,-0.8673267326732673,11.32
11,3,1,8.85,2.2542372881355934,-9.88
11,3,2,8.85,-0.8672316384180792,19.84
11,4,1,12.25,2.254285714285714,-13.68
11,4,2,12.25,-0.866938775510204,27.44
11,5,1,29.9,2.2540066889632104,-33.36
11,5,2,29.9,-0.866943143812709,66.96000000000001
11,6,1,37.1,2.2539892183288406,-41.4
11,6,2,37.1,-0.8668625336927223,83.08
11,7,1,44.3,2.2539006772009027,-49.4
11,7,2,44.3,-0.866884875846501,99.2
11,8,1,51.4,2.2538560311284046,-57.32
11,8,2,51.4,-0.8668015564202334,115.12
12,1,2,3.1,0.04032258064516129,-13.56
12,1,1,3.1,3.0580645161290323,-6.88
12,2,2,5.05,0.040594059405940595,-22.12
12,2,1,5.05,3.0584158415841585,-11.200000000000001
12,3,2,8.85,0.04011299435028249,-38.76
12,3,1,8.85,3.0581920903954805,-19.6
12,4,2,12.25,0.04040816326530612,-53.64
12,4,1,12.25,3.057959183673469,-27.16
12,5,2,29.9,0.040595317725752506,-130.96
12,5,1,29.9,3.057612040133779,-66.32000000000001
12,6,2,37.1,0.040690026954177894,-162.56
12,6,1,37.1,3.057525606469002,-82.36
12,7,2,44.3,0.04075395033860045,-194.12
12,7,1,44.3,3.0574672686230246,-98.4
12,8,2,51.4,0.04087937743190661,-225.28
12,8,1,51.4,3.0573540856031127,-114.24000000000001
13,1,2,3.1,1.7580645161290323,-18.76
13,1,1,3.1,-2.3483870967741933,-5.2
13,2,2,5.05,1.7584158415841584,-30.560000000000002
13,2,1,5.05,-2.3485148514851484,-8.48
13,3,2,8.85,1.7587570621468926,-53.6
13,3,1,8.85,-2.348587570621469,-14.88
13,4,2,12.25,1.7591836734693875,-74.2
13,4,1,12.25,-2.3485714285714283,-20.6
13,5,2,29.9,1.7612909698996655,-181.44
13,5,1,29.9,-2.349638795986622,-50.44
13,6,2,37.1,1.7621347708894877,-225.28
13,6,1,37.1,-2.3501239892183285,-62.64
13,7,2,44.3,1.7630880361173813,-269.2
13,7,1,44.3,-2.350451467268623,-74.92
13,8,2,51.4,1.763964980544747,-312.56
13,8,1,51.4,-2.350894941634241,-87.04
14,1,2,3.1,-2.074193548387097,-33.44
14,1,1,3.1,0.9225806451612903,-13.280000000000001
14,2,2,5.05,-2.0732673267326733,-54.44
14,2,1,5.05,0.9217821782178218,-21.64
14,3,2,8.85,-2.073446327683616,-95.44
14,3,1,8.85,0.9220338983050848,-37.96
14,4,2,12.25,-2.073469387755102,-132.12
14,4,1,12.25,0.9220408163265306,-52.56
14,5,2,29.9,-2.0729765886287623,-322.72
14,5,1,29.9,0.9217525083612039,-128.44
14,6,2,37.1,-2.072900269541779,-400.52
14,6,1,37.1,0.9215741239892182,-159.48
14,7,2,44.3,-2.0727720090293453,-478.36
14,7,1,44.3,0.9215304740406319,-190.56
14,8,2,51.4,-2.072677042801556,-555.16
14,8,1,51.4,0.9213735408560311,-221.20000000000002
15,1,2,3.1,-1.7451612903225806,0.24
15,1,1,3.1,1.617741935483871,0.44
15,2,2,5.05,-1.7455445544554455,0.4
15,2,1,5.05,1.616831683168317,0.76
15,3,2,8.85,-1.7457627118644068,0.68
15,3,1,8.85,1.616949152542373,1.32
15,4,2,12.25,-1.7457142857142856,0.92
15,4,1,12.25,1.617142857142857,1.8
15,5,2,29.9,-1.7454849498327758,2.24
15,5,1,29.9,1.6168762541806019,4.4
15,6,2,37.1,-1.7455471698113205,2.8000000000000003
15,6,1,37.1,1.6168787061994607,5.48
15,7,2,44.3,-1.745435665914221,3.36
15,7,1,44.3,1.6168036117381488,6.5200000000000005
15,8,2,51.4,-1.7454435797665369,3.88
15,8,1,51.4,1.6167859922178986,7.5600000000000005
