val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009872416965663433,0.7466518878936768,0.009106011129915714,0.0001250000059371814,0,79,
,,,,0,79,0.014963708817958832
0.009858505800366402,0.8245007395744324,0.010055435821413994,0.0002500000118743628,1,159,
,,,,1,159,0.009984955191612244
0.009821507148444653,0.8850661516189575,0.010794052854180336,0.00037500003236345947,2,239,
,,,,2,239,0.009947040118277073
0.009757104329764843,0.9337447881698608,0.011387696489691734,0.00034999995841644704,3,319,
,,,,3,319,0.009892375208437443
0.009686139412224293,0.9527333378791809,0.01161927543580532,0.0006249999278225005,4,399,
,,,,4,399,0.00983829703181982
0.00957630854099989,0.9681934118270874,0.011807821691036224,0.0007500000647269189,5,479,
,,,,5,479,0.009786701761186123
0.009339539334177971,0.9780521392822266,0.011928055435419083,0.0008750000270083547,6,559,
,,,,6,559,0.009724969044327736
0.00874852854758501,0.9712227582931519,0.011844766326248646,0.0006999999168328941,7,639,
,,,,7,639,0.009673267602920532
0.00776019087061286,0.9838272333145142,0.012067638337612152,0.0006999999168328941,8,719,
,,,,8,719,0.009611970745027065
0.00928200501948595,0.9887717962265015,0.012058782391250134,0.0006999999168328941,9,799,
,,,,9,799,0.009711073711514473
0.00878442544490099,0.9757471084594727,0.011901871301233768,0.0006999999168328941,10,879,
,,,,10,879,0.009608758613467216
0.004834446124732494,0.992043673992157,0.01819678768515587,0.0004900000058114529,11,959,
,,,,11,959,0.00940167810767889
0.004019815940409899,0.9349159002304077,0.07439269125461578,0.0004900000058114529,12,1039,
,,,,12,1039,0.009066050872206688
0.003926560282707214,0.9641150236129761,0.10458314418792725,0.0004900000058114529,13,1119,
,,,,13,1119,0.008783692494034767
0.003958672750741243,0.9573127627372742,0.10374853760004044,0.0004900000058114529,14,1199,
,,,,14,1199,0.00857058260589838
0.003917067311704159,0.9703558683395386,0.12428490072488785,0.0003430000215303153,15,1279,
,,,,15,1279,0.008370728231966496
0.0038835126906633377,0.9885354042053223,0.14680683612823486,0.0003430000215303153,16,1359,
,,,,16,1359,0.00787249393761158
0.003886585356667638,0.9881355166435242,0.15225166082382202,0.0003430000215303153,17,1439,
,,,,17,1439,0.007815089076757431
0.003878860268741846,0.9891582727432251,0.1589786559343338,0.0003430000215303153,18,1519,
,,,,18,1519,0.007741210050880909
0.003874845802783966,0.9855412244796753,0.15896496176719666,0.00024009999469853938,19,1599,
,,,,19,1599,0.007670061197131872
0.0038469950668513775,0.9934467077255249,0.16756877303123474,0.00024009999469853938,20,1679,
,,,,20,1679,0.00739956134930253
