track_id,particle_id,n_shared,n_reco_hits,n_true_hits,pt,event_id,purity_reco,eff_true,hit_id,hit_x,hit_y,hit_z,e,z0,eta,phi,dev,cos_val,theta,mapping_pT,event_file
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,905,0.177,0.31543252,0.9104,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,906,0.245,0.18046221,1.1572,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,908,0.742,0.16753052,3.4404,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,910,1.028,0.15543184,4.676,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
3,1513.0,3,5,8,68.74059217085637,2014,0.6,0.375,738,0.598,-0.81234175,0.8732,0.8125386436105333,0.2233260330882989,,-2.4720204727261796,5.822846392089112,1.9041823325266192,,0.4347059487899572,2014
3,1513.0,3,5,8,68.74059217085637,2014,0.6,0.375,740,0.886,-0.81073743,1.3128,0.8125386436105333,0.2233260330882989,,-2.4720204727261796,5.822846392089112,1.9041823325266192,,0.4347059487899572,2014
3,1513.0,3,5,8,68.74059217085637,2014,0.6,0.375,741,1.028,-0.80808973,1.5596,0.8125386436105333,0.2233260330882989,,-2.4720204727261796,5.822846392089112,1.9041823325266192,,0.4347059487899572,2014
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1344,0.062,0.15042709,-0.1112,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1345,0.101,0.15033051,-0.1824,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1346,0.177,0.1499833,-0.324,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1347,0.245,0.14928085,-0.4604,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1348,0.598,0.14666528,-1.2248,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1349,0.742,0.14743152,-1.486,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1350,0.886,0.14733796,-1.78,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1351,1.028,0.14604107,-2.1408,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,730,0.062,0.55293506,0.0836,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,731,0.101,0.5622424,0.1316,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,732,0.177,0.5488598,0.2412,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,735,0.742,0.54623175,1.02,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,736,0.886,0.5459884,1.2188,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,738,0.062,0.5221309,0.0916,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,739,0.101,0.5360843,0.1432,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
