track_id,particle_id,n_shared,n_reco_hits,n_true_hits,pt,event_id,purity_reco,eff_true,hit_id,e,z0,eta,phi,dev,cos_val,theta,pT,event_file
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,905,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,906,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,908,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,1649.0,4,7,8,334.13301345571944,2001,0.5714285714285714,0.5,910,-0.02159985889938694,0.4265521690456946,,0.44386496925013547,-0.5249959958615091,1.0580935622124408,,0.26772264800112533,2001
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1344,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1345,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1346,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1347,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1348,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1349,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1350,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
2,2172.0,8,14,8,338.7642911007593,2021,0.5714285714285714,1.0,1351,-0.003810194237156174,0.2063522302907161,-1.8158065577106492,-0.14956043977573164,-0.6013315197191973,-0.948418645709777,2.8190062428945653,0.3424691775192239,2021
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,730,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,731,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,732,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,735,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
0,1083.0,5,8,8,56.685967055348016,2051,0.625,0.625,736,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,738,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,739,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,740,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,743,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
1,1084.0,5,8,8,170.5469231677898,2051,0.625,0.625,744,1.7961101097346557,1.6069379713150083,,1.8062780032790757,14.145445453659821,1.1749891491319215,,0.16114091396507876,2051
3,1591.0,5,9,10,44.268766743608296,2098,0.5555555555555556,0.5,702,-0.0060268363929405246,0.5311067844877995,,-0.11032514593729494,-1.2468280140175174,-1.042623658141443,,0.4784954537923713,2098
3,1591.0,5,9,10,44.268766743608296,2098,0.5555555555555556,0.5,705,-0.0060268363929405246,0.5311067844877995,,-0.11032514593729494,-1.2468280140175174,-1.042623658141443,,0.4784954537923713,2098
3,1591.0,5,9,10,44.268766743608296,2098,0.5555555555555556,0.5,706,-0.0060268363929405246,0.5311067844877995,,-0.11032514593729494,-1.2468280140175174,-1.042623658141443,,0.4784954537923713,2098
3,1591.0,5,9,10,44.268766743608296,2098,0.5555555555555556,0.5,707,-0.0060268363929405246,0.5311067844877995,,-0.11032514593729494,-1.2468280140175174,-1.042623658141443,,0.4784954537923713,2098
3,1591.0,5,9,10,44.268766743608296,2098,0.5555555555555556,0.5,708,-0.0060268363929405246,0.5311067844877995,,-0.11032514593729494,-1.2468280140175174,-1.042623658141443,,0.4784954537923713,2098
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,849,-0.01675130901940172,0.7874525587862565,,0.8631530992968001,-0.09486783377544857,1.0967991142853248,,0.3669464616363161,2041
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,850,-0.01675130901940172,0.7874525587862565,,0.8631530992968001,-0.09486783377544857,1.0967991142853248,,0.3669464616363161,2041
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,853,-0.01675130901940172,0.7874525587862565,,0.8631530992968001,-0.09486783377544857,1.0967991142853248,,0.3669464616363161,2041
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,858,-0.01675130901940172,0.7874525587862565,,0.8631530992968001,-0.09486783377544857,1.0967991142853248,,0.3669464616363161,2041
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,766,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,768,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,769,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,770,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,771,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
0,1600.0,6,8,8,63.76007757209835,2110,0.75,0.75,773,1.4838498429540574,1.5587159629397322,,2.098739764364775,11.584531273667382,1.2328630463477053,,0.20597816343675987,2110
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,419,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,420,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,422,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,423,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,424,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,425,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
1,842.0,7,12,8,85.46113526042114,2122,0.5833333333333334,0.875,426,-0.02024130450066776,0.03718914757561827,2.2285672231280476,0.514867090318482,-0.3759598466039521,0.9770747440442097,0.21453852798544717,0.2664454874101832,2122
2,1575.0,8,8,8,1041.5662202303797,2146,1.0,1.0,1071,-0.1787769559221812,0.09906802104659396,-0.19796725645628221,0.3183937025593398,-0.6847268523437017,-0.1954209848923059,1.7674830199008924,3.1972151887242437,2146
2,1575.0,8,8,8,1041.5662202303797,2146,1.0,1.0,1072,-0.1787769559221812,0.09906802104659396,-0.19796725645628221,0.3183937025593398,-0.6847268523437017,-0.1954209848923059,1.7674830199008924,3.1972151887242437,2146
