val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009871276095509529,0.7401857972145081,0.009027175605297089,0.0001250000059371814,0,79,
,,,,0,79,0.01492395531386137
0.009861534461379051,0.8165704011917114,0.009958714246749878,0.0002500000118743628,1,159,
,,,,1,159,0.009990887716412544
0.009825344197452068,0.8852161169052124,0.010795879177749157,0.00037500003236345947,2,239,
,,,,2,239,0.009952840395271778
0.009759943932294846,0.9329515695571899,0.011378024704754353,0.00034999995841644704,3,319,
,,,,3,319,0.009894860908389091
0.00968976505100727,0.9524151682853699,0.011615393683314323,0.0006249999278225005,4,399,
,,,,4,399,0.00984104909002781
0.009590951725840569,0.9688965678215027,0.011816401965916157,0.0007500000647269189,5,479,
,,,,5,479,0.009792471304535866
0.009422654286026955,0.9798467755317688,0.011949941515922546,0.0008750000270083547,6,559,
,,,,6,559,0.009733577258884907
0.008953245356678963,0.9745071530342102,0.011884823441505432,0.0006999999168328941,7,639,
,,,,7,639,0.009674656204879284
0.007137445267289877,0.9869600534439087,0.012502163648605347,0.0006999999168328941,8,719,
,,,,8,719,0.00959860347211361
0.0051160408183932304,0.9947934150695801,0.016613993793725967,0.0006999999168328941,9,799,
,,,,9,799,0.009521602652966976
0.004641478881239891,0.9869314432144165,0.026758089661598206,0.0006999999168328941,10,879,
,,,,10,879,0.00942852720618248
0.004009838216006756,0.9619590044021606,0.06594154983758926,0.0004900000058114529,11,959,
,,,,11,959,0.009113175794482231
0.0039476314559578896,0.988050103187561,0.10733406245708466,0.0004900000058114529,12,1039,
,,,,12,1039,0.008478895761072636
0.003921214025467634,0.9765795469284058,0.11833006143569946,0.0004900000058114529,13,1119,
,,,,13,1119,0.008441402576863766
0.00390973873436451,0.9770581126213074,0.12950116395950317,0.0004900000058114529,14,1199,
,,,,14,1199,0.008223110809922218
0.003872827161103487,0.984179675579071,0.14720775187015533,0.0003430000215303153,15,1279,
,,,,15,1279,0.008044644258916378
0.0038626459427177906,0.9794682264328003,0.15550169348716736,0.0003430000215303153,16,1359,
,,,,16,1359,0.0076097892597317696
0.00387425534427166,0.9829277992248535,0.15986374020576477,0.0003430000215303153,17,1439,
,,,,17,1439,0.0076292878948152065
0.0038445089012384415,0.9926905632019043,0.16424700617790222,0.0003430000215303153,18,1519,
,,,,18,1519,0.007607745472341776
0.003856624709442258,0.9908183217048645,0.16684165596961975,0.00024009999469853938,19,1599,
,,,,19,1599,0.007519949227571487
0.0038362324703484774,0.9926725625991821,0.17143264412879944,0.00024009999469853938,20,1679,
,,,,20,1679,0.007328915409743786
0.003835256677120924,0.9924713373184204,0.1724841296672821,0.00024009999469853938,21,1759,
,,,,21,1759,0.007346863858401775
0.0038373060524463654,0.9923674464225769,0.17573900520801544,0.00024009999469853938,22,1839,
,,,,22,1839,0.007339159958064556
0.0038262750022113323,0.9926294088363647,0.1770322024822235,0.0001680699788266793,23,1919,
,,,,23,1919,0.007341496646404266
0.003824389073997736,0.9933468103408813,0.18147382140159607,0.0001680699788266793,24,1999,
,,,,24,1999,0.007234548684209585
0.003824778599664569,0.9931000471115112,0.1811748892068863,0.0001680699788266793,25,2079,
,,,,25,2079,0.007239178754389286
0.003821104299277067,0.9933071136474609,0.18073144555091858,0.0001680699788266793,26,2159,
,,,,26,2159,0.007277477532625198
0.003823149250820279,0.9932759404182434,0.1839529424905777,0.00011764898954425007,27,2239,
,,,,27,2239,0.007258005440235138
0.003805610816925764,0.9931953549385071,0.18891805410385132,0.00011764898954425007,28,2319,
,,,,28,2319,0.007182278670370579
0.0038027134723961353,0.9931893348693848,0.18903085589408875,0.00011764898954425007,29,2399,
,,,,29,2399,0.0071883550845086575
