PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,593.856,-161.524,-276.459,12.064,500.0,1.0,1.0,269.0,1970.0
15.0,613.312,148.337,263.842,-185.838,500.0,-1.0,1.0,269.0,1971.0
