particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
58.0,-0.356,0.143,-0.908,-0.291,0.117,-0.742,-1.0,-211.0,844.0,0.14,58.0
61.0,0.227,0.058,-0.967,0.309,0.079,-1.317,-1.0,-211.0,844.0,0.14,61.0
62.0,-0.403,0.043,-0.82,-0.493,0.053,-1.005,1.0,321.0,844.0,0.494,62.0
235.0,0.076,-0.295,0.946,0.093,-0.363,1.162,1.0,211.0,844.0,0.14,235.0
237.0,0.339,0.2,0.779,0.097,0.057,0.223,-1.0,-211.0,844.0,0.14,237.0
259.0,-0.125,-0.625,0.719,-0.063,-0.315,0.362,1.0,211.0,844.0,0.14,259.0
262.0,0.122,0.16,-0.885,0.144,0.187,-1.039,-1.0,-321.0,844.0,0.494,262.0
263.0,-0.794,0.125,-0.569,-0.64,0.1,-0.459,1.0,211.0,844.0,0.14,263.0
342.0,0.655,-0.328,0.545,0.224,-0.112,0.186,1.0,211.0,844.0,0.14,342.0
343.0,0.329,-0.088,0.926,0.288,-0.077,0.81,-1.0,-211.0,844.0,0.14,343.0
346.0,-0.071,0.312,0.944,-0.12,0.529,1.6,-1.0,-211.0,844.0,0.14,346.0
348.0,-0.332,-0.185,0.763,-0.089,-0.049,0.204,-1.0,-211.0,844.0,0.14,348.0
350.0,0.008,0.201,0.979,0.046,1.133,5.524,1.0,211.0,844.0,0.14,350.0
352.0,-0.205,-0.079,0.937,-0.105,-0.041,0.483,1.0,211.0,844.0,0.14,352.0
381.0,0.275,0.036,0.937,0.179,0.023,0.612,1.0,211.0,844.0,0.14,381.0
383.0,-0.409,0.138,0.763,-0.118,0.04,0.221,1.0,211.0,844.0,0.14,383.0
384.0,0.782,0.55,-0.16,0.444,0.312,-0.091,-1.0,-211.0,844.0,0.14,384.0
414.0,-0.216,-0.05,-0.968,-0.25,-0.058,-1.12,1.0,211.0,844.0,0.14,414.0
511.0,0.888,0.256,-0.074,0.331,0.095,-0.027,1.0,211.0,844.0,0.14,511.0
514.0,0.53,0.792,0.298,1.376,2.057,0.773,1.0,211.0,844.0,0.14,514.0
515.0,0.955,0.244,0.063,0.841,0.215,0.055,-1.0,-211.0,844.0,0.14,515.0
516.0,0.338,0.872,-0.139,0.514,1.325,-0.211,1.0,321.0,844.0,0.494,516.0
519.0,0.423,0.889,0.137,0.547,1.152,0.177,-1.0,-211.0,844.0,0.14,519.0
520.0,0.638,0.43,-0.638,2.386,1.608,-2.387,1.0,211.0,844.0,0.14,520.0
527.0,0.288,-0.281,-0.906,0.308,-0.301,-0.97,1.0,211.0,844.0,0.14,527.0
528.0,0.693,0.338,-0.311,0.174,0.085,-0.078,-1.0,-211.0,844.0,0.14,528.0
529.0,0.663,0.012,-0.74,0.791,0.014,-0.883,1.0,211.0,844.0,0.14,529.0
533.0,0.473,-0.251,-0.844,4.868,-2.582,-8.687,1.0,211.0,844.0,0.14,533.0
534.0,0.638,0.063,-0.763,1.053,0.103,-1.259,-1.0,-211.0,844.0,0.14,534.0
535.0,0.28,-0.215,-0.933,1.9,-1.455,-6.316,1.0,321.0,844.0,0.494,535.0
587.0,0.974,-0.17,0.027,0.908,-0.159,0.025,-1.0,-211.0,844.0,0.14,587.0
590.0,0.686,0.691,0.223,2.059,2.073,0.67,1.0,211.0,844.0,0.14,590.0
591.0,0.065,0.96,-0.104,0.036,0.534,-0.058,-1.0,-211.0,844.0,0.14,591.0
593.0,0.872,0.085,-0.462,0.896,0.088,-0.474,-1.0,-211.0,844.0,0.14,593.0
596.0,0.504,0.333,-0.792,0.756,0.5,-1.189,-1.0,-211.0,844.0,0.14,596.0
598.0,0.734,0.031,-0.676,1.653,0.07,-1.524,1.0,211.0,844.0,0.14,598.0
599.0,0.634,-0.001,-0.771,1.411,-0.002,-1.714,-1.0,-211.0,844.0,0.14,599.0
607.0,0.611,-0.187,-0.769,3.047,-0.932,-3.834,-1.0,-211.0,844.0,0.14,607.0
612.0,-0.127,-0.713,-0.628,-0.062,-0.349,-0.307,-1.0,-211.0,844.0,0.14,612.0
648.0,-0.932,0.01,0.113,-0.377,0.004,0.046,1.0,211.0,844.0,0.14,648.0
650.0,0.194,-0.474,0.856,0.349,-0.854,1.542,-1.0,-211.0,844.0,0.14,650.0
655.0,0.026,-0.716,0.686,0.028,-0.795,0.762,-1.0,-211.0,844.0,0.14,655.0
659.0,0.069,-0.445,0.893,0.551,-3.554,7.131,1.0,211.0,844.0,0.14,659.0
660.0,0.002,-0.562,0.826,0.01,-2.901,4.263,-1.0,-211.0,844.0,0.14,660.0
688.0,-0.363,0.079,-0.922,-0.457,0.1,-1.16,1.0,211.0,844.0,0.14,688.0
695.0,0.495,-0.673,0.51,0.338,-0.459,0.349,1.0,211.0,844.0,0.14,695.0
697.0,0.398,0.239,0.728,0.11,0.066,0.201,-1.0,-211.0,844.0,0.14,697.0
699.0,-0.208,-0.623,0.752,-0.491,-1.467,1.771,1.0,211.0,844.0,0.14,699.0
700.0,0.03,-0.459,0.886,0.077,-1.175,2.267,-1.0,-211.0,844.0,0.14,700.0
701.0,-0.044,-0.593,0.803,-0.353,-4.715,6.383,1.0,211.0,844.0,0.14,701.0
703.0,-0.053,-0.501,0.863,-0.339,-3.233,5.566,1.0,211.0,844.0,0.14,703.0
