PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,566.506,71.376,152.849,-206.087,500.0,1.0,1.0,449.0,2284.0
15.0,539.624,201.048,-25.33,11.469,500.0,-1.0,1.0,449.0,2285.0
