particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
134.0,-0.691,-0.037,-0.688,-1.569,-0.084,-1.563,1.0,321.0,559.0,0.494,134.0
135.0,-0.409,-0.024,-0.82,-0.506,-0.03,-1.014,-1.0,-321.0,559.0,0.494,135.0
137.0,0.22,0.122,0.967,0.716,0.397,3.141,1.0,211.0,559.0,0.14,137.0
363.0,0.101,0.402,-0.906,0.159,0.629,-1.417,1.0,211.0,559.0,0.14,363.0
406.0,-0.331,0.138,-0.932,-2.812,1.173,-7.918,-1.0,-321.0,559.0,0.494,406.0
408.0,-0.334,-0.08,0.9,-0.173,-0.042,0.466,1.0,211.0,559.0,0.14,408.0
409.0,-0.018,-0.557,0.77,-0.008,-0.251,0.347,-1.0,-211.0,559.0,0.14,409.0
492.0,-0.345,-0.244,0.899,-0.42,-0.297,1.095,1.0,211.0,559.0,0.14,492.0
493.0,-0.261,0.056,0.962,-0.655,0.14,2.415,-1.0,-211.0,559.0,0.14,493.0
508.0,0.868,-0.273,0.399,1.053,-0.331,0.485,1.0,211.0,559.0,0.14,508.0
510.0,-0.653,0.679,-0.194,-0.335,0.349,-0.1,-1.0,-211.0,559.0,0.14,510.0
514.0,0.711,0.135,-0.624,0.337,0.064,-0.296,1.0,211.0,559.0,0.14,514.0
515.0,-0.356,-0.187,-0.87,-0.174,-0.091,-0.424,-1.0,-211.0,559.0,0.14,515.0
517.0,0.16,-0.057,-0.983,0.311,-0.112,-1.915,-1.0,-211.0,559.0,0.14,517.0
929.0,0.492,-0.586,-0.63,0.517,-0.615,-0.662,-1.0,-211.0,559.0,0.14,929.0
930.0,0.162,-0.497,-0.847,0.229,-0.705,-1.201,1.0,211.0,559.0,0.14,930.0
931.0,0.655,-0.355,0.644,0.529,-0.287,0.52,-1.0,-211.0,559.0,0.14,931.0
933.0,0.744,-0.487,0.099,0.823,-0.539,0.11,1.0,321.0,559.0,0.494,933.0
936.0,0.951,0.127,0.239,3.134,0.418,0.788,-1.0,-321.0,559.0,0.494,936.0
942.0,0.021,0.255,0.966,0.065,0.805,3.047,1.0,211.0,559.0,0.14,942.0
944.0,0.209,0.33,0.915,0.278,0.439,1.219,-1.0,-211.0,559.0,0.14,944.0
946.0,0.095,0.231,0.967,0.221,0.541,2.264,1.0,211.0,559.0,0.14,946.0
947.0,0.084,-0.149,0.985,0.462,-0.82,5.426,-1.0,-211.0,559.0,0.14,947.0
1074.0,0.055,0.647,0.756,0.096,1.129,1.32,-1.0,-211.0,559.0,0.14,1074.0
1080.0,0.418,0.4,0.807,0.488,0.467,0.94,1.0,211.0,559.0,0.14,1080.0
1082.0,-0.537,-0.497,-0.26,-0.119,-0.11,-0.058,1.0,211.0,559.0,0.14,1082.0
1084.0,0.17,-0.277,0.945,0.604,-0.986,3.364,-1.0,-211.0,559.0,0.14,1084.0
1091.0,-0.98,0.118,-0.06,-0.917,0.11,-0.056,1.0,211.0,559.0,0.14,1091.0
1099.0,-0.221,0.014,0.958,-0.595,0.038,2.581,1.0,321.0,559.0,0.494,1099.0
1101.0,-0.55,0.205,0.777,-0.335,0.125,0.474,-1.0,-211.0,559.0,0.14,1101.0
1102.0,-0.169,0.067,0.983,-2.293,0.907,13.335,1.0,211.0,559.0,0.14,1102.0
1103.0,-0.258,-0.487,0.764,-0.107,-0.203,0.318,-1.0,-211.0,559.0,0.14,1103.0
1109.0,-0.059,-0.312,0.947,-0.202,-1.066,3.237,1.0,211.0,559.0,0.14,1109.0
1112.0,-0.261,-0.625,0.731,-0.469,-1.124,1.315,-1.0,-211.0,559.0,0.14,1112.0
1115.0,0.137,-0.556,-0.803,0.118,-0.477,-0.689,1.0,211.0,559.0,0.14,1115.0
1133.0,0.015,-0.852,-0.166,0.004,-0.239,-0.047,1.0,211.0,559.0,0.14,1133.0
1238.0,0.525,0.546,-0.635,0.487,0.506,-0.589,1.0,211.0,559.0,0.14,1238.0
1240.0,0.255,0.485,-0.836,1.576,3.0,-5.167,1.0,211.0,559.0,0.14,1240.0
1243.0,0.253,0.632,-0.601,0.085,0.211,-0.201,-1.0,-211.0,559.0,0.14,1243.0
1424.0,-0.73,0.03,-0.601,-0.314,0.013,-0.258,-1.0,-211.0,559.0,0.14,1424.0
1429.0,-0.334,-0.135,-0.893,-0.608,-0.246,-1.625,-1.0,-321.0,559.0,0.494,1429.0
1431.0,-0.199,-0.067,-0.978,-1.327,-0.445,-6.526,-1.0,-211.0,559.0,0.14,1431.0
1433.0,-0.316,0.154,-0.935,-0.957,0.467,-2.832,-1.0,-211.0,559.0,0.14,1433.0
1437.0,-0.311,0.125,-0.937,-0.428,0.172,-1.29,-1.0,-211.0,559.0,0.14,1437.0
1477.0,0.217,-0.709,0.423,0.058,-0.19,0.113,1.0,211.0,559.0,0.14,1477.0
1478.0,-0.014,0.546,-0.837,-0.053,2.007,-3.073,-1.0,-211.0,559.0,0.14,1478.0
1479.0,-0.346,0.191,-0.917,-0.779,0.43,-2.066,1.0,211.0,559.0,0.14,1479.0
1482.0,-0.488,0.519,-0.7,-1.306,1.39,-1.872,1.0,211.0,559.0,0.14,1482.0
1483.0,-0.29,0.944,0.134,-0.493,1.608,0.228,-1.0,-211.0,559.0,0.14,1483.0
1484.0,-0.153,0.803,-0.425,-0.193,1.016,-0.538,1.0,321.0,559.0,0.494,1484.0
1518.0,-0.398,-0.5,-0.637,-0.455,-0.571,-0.729,-1.0,-321.0,559.0,0.494,1518.0
1519.0,0.197,-0.653,-0.713,0.168,-0.556,-0.608,1.0,211.0,559.0,0.14,1519.0
1529.0,0.264,0.077,0.958,0.444,0.13,1.611,1.0,211.0,559.0,0.14,1529.0
1530.0,0.381,0.184,0.902,0.654,0.317,1.549,-1.0,-211.0,559.0,0.14,1530.0
1533.0,0.248,0.071,0.965,0.78,0.224,3.032,-1.0,-211.0,559.0,0.14,1533.0
1535.0,0.491,0.012,0.86,0.503,0.013,0.88,1.0,211.0,559.0,0.14,1535.0
1543.0,-0.338,0.006,0.939,-0.824,0.014,2.29,1.0,211.0,559.0,0.14,1543.0
1544.0,-0.068,0.2,0.975,-0.126,0.373,1.819,-1.0,-211.0,559.0,0.14,1544.0
1548.0,0.046,0.383,0.913,0.048,0.398,0.949,1.0,211.0,559.0,0.14,1548.0
1549.0,-0.114,0.597,0.793,-0.413,2.153,2.864,-1.0,-211.0,559.0,0.14,1549.0
1554.0,0.572,-0.438,0.66,0.376,-0.288,0.434,-1.0,-211.0,559.0,0.14,1554.0
1559.0,0.196,-0.413,0.848,0.102,-0.216,0.444,1.0,211.0,559.0,0.14,1559.0
1561.0,-0.898,-0.301,-0.073,-0.403,-0.135,-0.033,1.0,211.0,559.0,0.14,1561.0
1563.0,-0.622,-0.014,0.134,-0.113,-0.002,0.024,-1.0,-211.0,559.0,0.14,1563.0
1564.0,-0.035,0.31,0.87,-0.013,0.113,0.317,1.0,211.0,559.0,0.14,1564.0
1567.0,-0.894,-0.272,-0.09,-0.363,-0.11,-0.036,-1.0,-211.0,559.0,0.14,1567.0
1570.0,-0.231,-0.22,0.936,-0.211,-0.2,0.854,-1.0,-211.0,559.0,0.14,1570.0
1572.0,-0.871,0.446,0.167,-1.02,0.522,0.195,1.0,211.0,559.0,0.14,1572.0
1573.0,-0.061,0.347,0.854,-0.022,0.127,0.312,-1.0,-211.0,559.0,0.14,1573.0
1576.0,-0.147,-0.368,0.918,-0.739,-1.842,4.599,1.0,211.0,559.0,0.14,1576.0
1578.0,-0.212,-0.517,0.772,-0.344,-0.838,1.251,1.0,321.0,559.0,0.494,1578.0
1579.0,-0.246,-0.595,0.763,-0.652,-1.574,2.018,-1.0,-211.0,559.0,0.14,1579.0
1581.0,0.081,-0.224,0.969,0.155,-0.426,1.845,-1.0,-211.0,559.0,0.14,1581.0
1584.0,-0.216,-0.368,0.889,-0.639,-1.09,2.635,-1.0,-321.0,559.0,0.494,1584.0
1585.0,-0.619,0.045,0.771,-0.589,0.043,0.733,1.0,211.0,559.0,0.14,1585.0
1586.0,-0.253,0.143,0.954,-0.481,0.272,1.814,1.0,211.0,559.0,0.14,1586.0
