PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,1088.675,352.237,754.38,491.99,500.0,1.0,1.0,854.0,903.0
15.0,2293.369,-267.61,-770.914,2084.135,500.0,-1.0,1.0,854.0,904.0
