particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
157.0,-0.22,-0.11,0.969,-1.612,-0.805,7.097,1.0,211.0,767.0,0.14
160.0,-0.199,-0.006,0.977,-1.415,-0.04,6.942,-1.0,-321.0,767.0,0.494
161.0,-0.221,-0.109,0.968,-0.803,-0.398,3.524,1.0,211.0,767.0,0.14
351.0,-0.758,-0.297,-0.566,-0.845,-0.331,-0.631,1.0,211.0,767.0,0.14
354.0,0.314,-0.019,0.947,0.67,-0.04,2.024,-1.0,-211.0,767.0,0.14
363.0,-0.28,-0.025,0.951,-0.312,-0.028,1.06,1.0,211.0,767.0,0.14
382.0,0.202,-0.046,-0.971,0.244,-0.056,-1.173,1.0,211.0,767.0,0.14
385.0,-0.029,0.196,-0.979,-0.083,0.562,-2.805,1.0,211.0,767.0,0.14
386.0,-0.218,-0.292,-0.909,-0.151,-0.203,-0.63,-1.0,-211.0,767.0,0.14
389.0,0.243,0.611,-0.711,0.135,0.34,-0.395,1.0,211.0,767.0,0.14
390.0,0.462,-0.663,-0.551,0.308,-0.442,-0.367,-1.0,-211.0,767.0,0.14
393.0,0.194,-0.419,0.883,0.314,-0.676,1.425,1.0,211.0,767.0,0.14
394.0,-0.084,-0.372,0.916,-0.094,-0.418,1.031,-1.0,-211.0,767.0,0.14
402.0,-0.141,-0.094,0.985,-1.871,-1.248,13.052,-1.0,-211.0,767.0,0.14
404.0,-0.125,-0.122,0.985,-0.915,-0.894,7.232,1.0,211.0,767.0,0.14
405.0,-0.171,-0.177,0.969,-0.886,-0.919,5.032,-1.0,-211.0,767.0,0.14
406.0,-0.149,-0.097,0.984,-3.005,-1.956,19.888,-1.0,-211.0,767.0,0.14
410.0,-0.009,-0.232,0.183,-4.568,-121.527,96.0,1.0,-15.0,767.0,500.0
411.0,-0.018,0.273,0.181,-9.477,144.577,95.813,-1.0,15.0,767.0,500.0
426.0,-0.213,-0.096,0.972,-0.89,-0.403,4.059,1.0,211.0,767.0,0.14
427.0,-0.312,-0.162,0.935,-0.793,-0.413,2.377,-1.0,-211.0,767.0,0.14
