particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
109.0,-0.831,0.475,-0.123,-0.444,0.254,-0.066,-1.0,-211.0,375.0,0.14,109.0
231.0,-0.606,-0.275,-0.729,-0.53,-0.24,-0.637,1.0,211.0,375.0,0.14,231.0
232.0,-0.921,0.26,0.143,-0.513,0.145,0.08,-1.0,-211.0,375.0,0.14,232.0
235.0,-0.559,0.398,-0.71,-0.493,0.351,-0.626,-1.0,-211.0,375.0,0.14,235.0
257.0,0.371,-0.435,-0.784,0.215,-0.252,-0.455,-1.0,-211.0,375.0,0.14,257.0
298.0,-0.114,-0.124,-0.979,-0.497,-0.542,-4.286,1.0,321.0,375.0,0.494,298.0
326.0,0.085,0.154,0.984,0.304,0.553,3.528,1.0,211.0,375.0,0.14,326.0
327.0,0.068,-0.172,0.977,0.091,-0.231,1.315,-1.0,-211.0,375.0,0.14,327.0
522.0,0.026,0.547,-0.836,0.212,4.422,-6.761,1.0,211.0,375.0,0.14,522.0
523.0,-0.328,0.434,-0.835,-0.559,0.739,-1.421,-1.0,-211.0,375.0,0.14,523.0
531.0,0.158,-0.651,-0.676,0.253,-1.041,-1.082,-1.0,-321.0,375.0,0.494,531.0
532.0,-0.458,-0.592,-0.609,-0.857,-1.108,-1.141,1.0,321.0,375.0,0.494,532.0
571.0,0.764,0.63,0.075,0.926,0.763,0.091,1.0,211.0,375.0,0.14,571.0
573.0,0.746,0.445,0.486,1.087,0.648,0.709,1.0,211.0,375.0,0.14,573.0
574.0,0.382,0.864,0.3,0.411,0.929,0.322,-1.0,-211.0,375.0,0.14,574.0
575.0,0.85,0.308,-0.248,0.34,0.123,-0.099,1.0,211.0,375.0,0.14,575.0
576.0,-0.041,0.788,-0.528,-0.018,0.352,-0.236,-1.0,-211.0,375.0,0.14,576.0
580.0,0.413,0.759,-0.333,0.152,0.28,-0.123,1.0,211.0,375.0,0.14,580.0
581.0,0.838,0.164,-0.287,0.27,0.053,-0.093,-1.0,-211.0,375.0,0.14,581.0
583.0,0.249,0.664,-0.697,0.315,0.84,-0.881,-1.0,-211.0,375.0,0.14,583.0
585.0,0.017,0.507,-0.861,0.06,1.79,-3.042,1.0,211.0,375.0,0.14,585.0
589.0,-0.09,0.617,-0.781,-0.379,2.595,-3.288,1.0,211.0,375.0,0.14,589.0
590.0,-0.059,0.508,-0.82,-0.032,0.276,-0.446,-1.0,-211.0,375.0,0.14,590.0
632.0,0.253,-0.169,-0.951,0.538,-0.359,-2.027,1.0,211.0,375.0,0.14,632.0
720.0,0.215,0.092,0.972,0.789,0.34,3.57,1.0,211.0,375.0,0.14,720.0
781.0,0.378,0.391,-0.794,0.686,0.71,-1.439,1.0,321.0,375.0,0.494,781.0
782.0,-0.382,0.635,-0.142,-0.287,0.477,-0.107,-1.0,-321.0,375.0,0.494,782.0
783.0,-0.332,-0.574,0.744,-0.568,-0.981,1.271,1.0,211.0,375.0,0.14,783.0
787.0,-0.436,-0.36,0.821,-0.828,-0.685,1.561,1.0,211.0,375.0,0.14,787.0
813.0,-0.126,0.271,-0.949,-0.172,0.368,-1.292,-1.0,-211.0,375.0,0.14,813.0
846.0,0.537,-0.053,0.787,0.89,-0.088,1.303,1.0,321.0,375.0,0.494,846.0
847.0,0.606,0.266,-0.196,0.117,0.051,-0.038,-1.0,-211.0,375.0,0.14,847.0
848.0,0.379,0.443,0.536,0.307,0.359,0.433,-1.0,-321.0,375.0,0.494,848.0
849.0,0.463,-0.629,0.525,0.191,-0.259,0.217,1.0,211.0,375.0,0.14,849.0
850.0,0.877,0.353,0.318,1.752,0.705,0.634,-1.0,-211.0,375.0,0.14,850.0
852.0,0.791,0.277,-0.53,0.851,0.298,-0.57,1.0,211.0,375.0,0.14,852.0
853.0,-0.844,0.25,-0.154,-0.263,0.078,-0.048,-1.0,-211.0,375.0,0.14,853.0
856.0,-0.569,0.158,0.712,-0.21,0.058,0.263,1.0,211.0,375.0,0.14,856.0
857.0,-0.343,-0.235,0.909,-2.054,-1.406,5.452,-1.0,-211.0,375.0,0.14,857.0
858.0,-0.003,-0.311,0.94,-0.003,-0.312,0.942,-1.0,-211.0,375.0,0.14,858.0
860.0,-0.484,-0.223,0.842,-0.845,-0.389,1.471,1.0,211.0,375.0,0.14,860.0
916.0,0.057,-0.408,-0.911,2.533,-18.066,-40.294,1.0,211.0,375.0,0.14,916.0
918.0,-0.577,0.817,0.015,-1.326,1.878,0.034,-1.0,11.0,375.0,0.001,918.0
