PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,1581.969,444.239,190.777,1420.873,500.0,1.0,1.0,253.0,1323.0
15.0,777.289,-382.358,-285.194,-355.871,500.0,-1.0,1.0,253.0,1324.0
