"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,2.161290322580645,3.92,1,218
2,5.05,2.1534653465346536,6.4,2,218
3,8.85,2.137853107344633,11.200000000000001,3,218
4,12.25,2.123673469387755,15.52,4,218
5,29.9,2.0498929765886285,38.,5,218
6,37.1,2.019654986522911,47.2,6,218
7,44.3,1.9892686230248304,56.480000000000004,7,218
8,51.4,1.959101167315175,65.64,8,218
9,3.1,-1.7129032258064516,-4.4,1,224
10,5.05,-1.7188118811881188,-7.16,2,224
11,8.85,-1.7305084745762713,-12.6,3,224
12,12.25,-1.740816326530612,-17.400000000000002,4,224
13,29.9,-1.794153846153846,-42.56,5,224
14,37.1,-1.815929919137466,-52.84,6,224
15,44.3,-1.837765237020316,-63.160000000000004,7,224
16,51.4,-1.8594163424124512,-73.36,8,224
17,3.1,-1.5774193548387097,-2.12,1,225
18,5.05,-1.5752475247524753,-3.44,2,225
19,8.85,-1.569491525423729,-6.04,3,225
20,12.25,-1.5644897959183672,-8.36,4,225
21,29.9,-1.539096989966555,-20.400000000000002,5,225
22,37.1,-1.5287169811320753,-25.36,6,225
23,44.3,-1.5182573363431149,-30.28,7,225
24,51.4,-1.5079727626459143,-35.12,8,225
25,3.1,2.05,-5.2,1,226
26,5.05,2.021782178217822,-8.48,2,226
27,8.85,1.9672316384180792,-14.88,3,226
28,12.25,1.9183673469387754,-20.64,4,226
29,29.9,1.6536053511705684,-51.76,5,226
30,37.1,1.5363234501347707,-65.48,6,226
31,44.3,1.4102708803611737,-80.32000000000001,7,226
32,51.4,1.2708988326848247,-96.68,8,226
33,3.1,-1.8758064516129032,-2.6,1,227
34,5.05,-1.8742574257425744,-4.24,2,227
35,8.85,-1.8711864406779661,-7.44,3,227
36,12.25,-1.8689795918367345,-10.32,4,227
37,29.9,-1.856354515050167,-25.2,5,227
38,37.1,-1.8513045822102423,-31.28,6,227
39,44.3,-1.8461309255079004,-37.36,7,227
40,51.4,-1.8410933852140077,-43.32,8,227
41,3.1,-2.053225806451613,-3.84,1,228
42,5.05,-2.0564356435643565,-6.28,2,228
43,8.85,-2.0627118644067797,-11.,3,228
44,12.25,-2.068163265306122,-15.24,4,228
45,29.9,-2.0957190635451504,-37.2,5,228
46,37.1,-2.107083557951482,-46.2,6,228
47,44.3,-2.118437923250564,-55.160000000000004,7,228
48,51.4,-2.1296303501945526,-64.,8,228
49,3.1,-1.896774193548387,-2.96,1,230
50,5.05,-1.8970297029702972,-4.8,2,230
51,8.85,-1.8966101694915254,-8.44,3,230
52,12.25,-1.8959183673469386,-11.68,4,230
53,29.9,-1.894561872909699,-28.48,5,230
54,37.1,-1.893919137466307,-35.36,6,230
55,44.3,-1.8933318284424376,-42.24,7,230
56,51.4,-1.8927548638132294,-49.,8,230
57,3.1,-1.882258064516129,-3.12,1,233
58,5.05,-1.8821782178217823,-5.08,2,233
59,8.85,-1.883050847457627,-8.92,3,233
60,12.25,-1.8832653061224487,-12.36,4,233
61,29.9,-1.8856923076923076,-30.12,5,233
62,37.1,-1.8865876010781668,-37.4,6,233
63,44.3,-1.887575620767494,-44.64,7,233
64,51.4,-1.88852140077821,-51.800000000000004,8,233
65,3.1,-1.8774193548387097,-3.16,1,237
