PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,826.216,-471.966,-195.091,414.513,500.0,1.0,1.0,617.0,2499.0
15.0,744.013,367.509,245.969,328.621,500.0,-1.0,1.0,617.0,2500.0
