particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
84.0,-0.014,0.709,0.69,-0.013,0.67,0.652,-1.0,-211.0,696.0,0.14
124.0,-0.241,-0.375,0.893,-0.478,-0.745,1.774,1.0,211.0,696.0,0.14
126.0,-0.313,-0.634,0.666,-0.184,-0.372,0.391,1.0,211.0,696.0,0.14
127.0,0.39,-0.518,0.677,0.156,-0.207,0.271,-1.0,-211.0,696.0,0.14
282.0,-0.184,-0.012,0.982,-0.626,-0.041,3.34,1.0,211.0,696.0,0.14
284.0,-0.294,0.047,0.944,-0.28,0.045,0.9,1.0,211.0,696.0,0.14
292.0,-0.244,-0.169,0.955,-1.566,-1.083,6.125,-1.0,-211.0,696.0,0.14
299.0,-0.299,-0.299,0.906,-1.357,-1.355,4.107,1.0,211.0,696.0,0.14
302.0,-0.388,-0.349,0.851,-1.075,-0.968,2.36,-1.0,-211.0,696.0,0.14
303.0,-0.349,-0.305,0.886,-8.516,-7.438,21.65,1.0,211.0,696.0,0.14
523.0,0.223,0.482,-0.825,0.162,0.35,-0.599,-1.0,-211.0,696.0,0.14
527.0,-0.288,0.76,0.443,-0.106,0.28,0.163,1.0,211.0,696.0,0.14
598.0,-0.337,-0.69,0.594,-0.198,-0.406,0.349,-1.0,-211.0,696.0,0.14
603.0,-0.26,-0.856,-0.239,-0.096,-0.316,-0.088,-1.0,-211.0,696.0,0.14
604.0,-0.074,0.366,-0.922,-0.105,0.519,-1.307,1.0,211.0,696.0,0.14
606.0,0.189,0.287,-0.9,0.099,0.15,-0.471,-1.0,-211.0,696.0,0.14
639.0,-0.214,-0.16,0.96,-1.353,-1.008,6.066,1.0,321.0,696.0,0.494
640.0,-0.099,-0.139,0.984,-0.299,-0.42,2.981,-1.0,-211.0,696.0,0.14
643.0,-0.188,-0.085,0.978,-2.043,-0.923,10.636,1.0,211.0,696.0,0.14
645.0,-0.13,-0.154,0.979,-0.853,-1.016,6.448,1.0,211.0,696.0,0.14
646.0,-0.21,-0.178,0.961,-2.93,-2.495,13.441,-1.0,-211.0,696.0,0.14
647.0,-0.225,-0.19,0.954,-0.628,-0.53,2.664,1.0,211.0,696.0,0.14
648.0,-0.291,-0.152,0.945,-5.339,-2.784,17.328,-1.0,-211.0,696.0,0.14
649.0,-0.333,-0.153,0.93,-1.544,-0.709,4.311,1.0,211.0,696.0,0.14
650.0,-0.325,-0.171,0.93,-6.461,-3.389,18.489,-1.0,-211.0,696.0,0.14
657.0,-0.293,-0.303,0.906,-3.012,-3.115,9.315,1.0,321.0,696.0,0.494
658.0,-0.407,-0.272,0.87,-1.026,-0.687,2.196,-1.0,-211.0,696.0,0.14
659.0,-0.411,-0.198,0.889,-2.259,-1.087,4.885,1.0,211.0,696.0,0.14
660.0,-0.497,-0.46,0.719,-0.439,-0.406,0.634,-1.0,-211.0,696.0,0.14
661.0,-0.246,-0.263,0.927,-0.344,-0.368,1.295,1.0,211.0,696.0,0.14
662.0,-0.33,-0.347,0.878,-2.119,-2.234,5.642,-1.0,-211.0,696.0,0.14
666.0,-0.338,-0.286,0.896,-2.066,-1.745,5.476,-1.0,-211.0,696.0,0.14
