hit_id,r,phi,z,layer_id,particle_id
1,3.1,1.4387096774193548,0.4,1,173
2,5.05,1.4316831683168316,0.68,2,173
3,8.85,1.4186440677966101,1.2,3,173
4,12.25,1.4065306122448977,1.6400000000000001,4,173
5,29.9,1.3458996655518394,4.04,5,173
6,37.1,1.3208679245283017,5.04,6,173
7,44.3,1.2959909706546273,6.04,7,173
8,51.4,1.2710972762645913,7.,8,173
9,3.1,1.05,8.08,1,178
10,5.05,1.0415841584158416,13.200000000000001,2,178
11,8.85,1.024858757062147,23.12,3,178
12,12.25,1.0093877551020407,32.,4,178
13,29.9,0.9293712374581939,78.32000000000001,5,178
14,37.1,0.8964636118598381,97.36,6,178
15,44.3,0.8635079006772008,116.48,7,178
16,51.4,0.8306186770428016,135.48,8,178
17,3.1,-2.4629032258064516,7.16,1,179
18,5.05,-2.4584158415841584,11.68,2,179
19,8.85,-2.447457627118644,20.44,3,179
20,12.25,-2.437959183673469,28.32,4,179
21,29.9,-2.388755852842809,69.16,5,179
22,37.1,-2.368636118598382,85.84,6,179
23,44.3,-2.348455981941309,102.60000000000001,7,179
24,51.4,-2.3284046692607,119.12,8,179
25,3.1,-0.7,-1.08,1,206
26,5.05,-0.7069306930693069,-1.76,2,206
27,8.85,-0.7214689265536723,-3.04,3,206
28,12.25,-0.7342857142857142,-4.24,4,206
29,29.9,-0.8001939799331104,-10.32,5,206
30,37.1,-0.8272722371967653,-12.84,6,206
31,44.3,-0.854451467268623,-15.36,7,206
32,51.4,-0.8814863813229572,-17.84,8,206
33,3.1,2.359677419354839,1.6400000000000001,1,241
34,5.05,2.375247524752475,2.68,2,241
35,8.85,2.403954802259887,4.68,3,241
36,12.25,2.430204081632653,6.48,4,241
37,29.9,2.566829431438127,15.92,5,241
38,37.1,2.6236819407008083,19.84,6,241
39,44.3,2.6814717832957107,23.84,7,241
40,51.4,2.7397120622568094,27.84,8,241
41,3.1,1.7870967741935484,8.6,1,243
42,5.05,1.7683168316831683,14.,2,243
43,8.85,1.7333333333333334,24.560000000000002,3,243
44,12.25,1.7012244897959181,34.04,4,243
45,29.9,1.5334113712374582,84.04,5,243
46,37.1,1.463008086253369,105.08,6,243
47,44.3,1.3900857787810381,126.68,7,243
48,51.4,1.3164747081712063,148.68,8,243
49,3.1,2.475806451612903,12.68,1,245
50,5.05,2.494059405940594,20.68,2,245
51,8.85,2.528813559322034,36.28,3,245
52,12.25,2.5599999999999996,50.24,4,245
53,29.9,2.725117056856187,124.,5,245
54,37.1,2.794506738544474,154.96,6,245
55,44.3,2.865747178329571,186.76,7,245
56,51.4,2.938486381322957,219.12,8,245
57,3.1,1.053225806451613,17.52,1,248
58,5.05,1.0336633663366337,28.560000000000002,2,248
59,8.85,0.9966101694915255,50.120000000000005,3,248
60,12.25,0.9632653061224489,69.44,4,248
61,29.9,0.7884816053511705,171.56,5,248
62,37.1,0.7146415094339622,214.6,6,248
63,44.3,0.638785553047404,258.92,7,248
64,51.4,0.560669260700389,304.28000000000003,8,248
65,3.1,-2.7564516129032257,11.4,1,279
66,5.05,-2.7495049504950497,18.6,2,279
67,8.85,-2.7361581920903957,32.6,3,279
68,12.25,-2.724081632653061,45.12,4,279
69,29.9,-2.663257525083612,110.28,5,279
70,37.1,-2.6384366576819405,136.96,6,279
71,44.3,-2.6133182844243787,163.72,7,279
72,51.4,-2.5885642023346302,190.24,8,279
73,3.1,-2.57741935483871,4.92,1,281
74,5.05,-2.518811881188119,8.040000000000001,2,281
75,8.85,-2.4033898305084747,14.16,3,281
76,12.25,-2.2971428571428567,19.84,4,281
77,29.9,-1.5786688963210702,58.2,5,281
78,3.1,2.235483870967742,6.16,1,334
79,5.05,2.227722772277228,10.,2,334
80,8.85,2.2124293785310734,17.56,3,334
81,12.25,2.1987755102040816,24.32,4,334
82,29.9,2.1271036789297657,59.44,5,334
83,37.1,2.0977358490566034,73.84,6,334
84,44.3,2.068320541760722,88.32000000000001,7,334
85,51.4,2.0390739299610896,102.68,8,334
86,3.1,1.782258064516129,2.56,1,551
87,5.05,1.7871287128712872,4.16,2,551
88,8.85,1.797175141242938,7.32,3,551
89,12.25,1.8053061224489795,10.120000000000001,4,551
90,29.9,1.8499866220735786,24.72,5,551
91,37.1,1.8681671159029647,30.72,6,551
92,44.3,1.8864243792325055,36.68,7,551
93,51.4,1.904396887159533,42.6,8,551
94,3.1,0.12096774193548387,12.64,1,552
95,5.05,0.09108910891089109,20.64,2,552
96,8.85,0.03333333333333333,36.24,3,552
97,12.25,-0.019183673469387753,50.28,4,552
98,29.9,-0.3044080267558528,126.68,5,552
99,37.1,-0.4321024258760107,160.88,6,552
100,44.3,-0.5721670428893905,198.44,7,552
101,51.4,-0.7310661478599222,240.96,8,552
102,3.1,2.5983870967741933,-0.2,1,553
103,5.05,2.611881188118812,-0.36,2,553
104,8.85,2.637853107344633,-0.6,3,553
105,12.25,2.660816326530612,-0.84,4,553
106,29.9,2.781404682274247,-2.04,5,553
107,37.1,2.831164420485175,-2.52,6,553
108,44.3,2.8819413092550787,-3.04,7,553
109,51.4,2.9326653696498055,-3.56,8,553
110,3.1,0.3741935483870968,5.4,1,554
111,5.05,0.3603960396039604,8.8,2,554
112,8.85,0.3327683615819209,15.4,3,554
113,12.25,0.3077551020408163,21.32,4,554
114,29.9,0.17852842809364547,52.4,5,554
115,37.1,0.12491105121293798,65.28,6,554
116,44.3,0.07030248306997743,78.4,7,554
117,51.4,0.015412451361867703,91.56,8,554
118,3.1,1.9370967741935483,-1.2,1,555
119,5.05,1.9554455445544554,-1.96,2,555
120,8.85,1.9915254237288136,-3.4,3,555
121,12.25,2.024489795918367,-4.72,4,555
122,29.9,2.1974916387959866,-11.64,5,555
