particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
111.0,-0.022,0.215,0.933,-0.039,0.37,1.603,-1.0,-321.0,65.0,0.494
194.0,0.582,0.546,0.512,0.256,0.239,0.225,-1.0,-211.0,65.0,0.14
195.0,0.047,-0.735,0.589,0.02,-0.308,0.247,1.0,211.0,65.0,0.14
200.0,0.209,0.019,0.978,2.738,0.251,12.809,1.0,211.0,65.0,0.14
203.0,0.143,-0.079,0.979,0.571,-0.314,3.905,-1.0,-321.0,65.0,0.494
280.0,0.175,0.347,-0.906,0.144,0.286,-0.749,-1.0,-211.0,65.0,0.14
281.0,-0.557,-0.694,-0.32,-0.24,-0.3,-0.138,1.0,211.0,65.0,0.14
366.0,-0.231,0.061,0.836,-0.23,0.061,0.833,-1.0,-321.0,65.0,0.494
369.0,0.024,0.228,-0.961,0.022,0.209,-0.881,-1.0,-211.0,65.0,0.14
400.0,0.282,-0.515,-0.788,0.215,-0.392,-0.6,-1.0,-211.0,65.0,0.14
402.0,-0.141,0.545,-0.763,-0.061,0.238,-0.333,1.0,211.0,65.0,0.14
405.0,-0.341,0.688,0.552,-0.147,0.296,0.237,1.0,211.0,65.0,0.14
409.0,-0.031,-0.299,0.951,-0.058,-0.569,1.813,1.0,211.0,65.0,0.14
412.0,-0.157,-0.091,0.963,-0.109,-0.063,0.668,-1.0,-211.0,65.0,0.14
433.0,0.28,-0.162,0.917,0.593,-0.344,1.943,-1.0,-321.0,65.0,0.494
434.0,-0.035,-0.189,0.976,-0.047,-0.253,1.306,1.0,211.0,65.0,0.14
436.0,0.215,-0.068,0.974,1.011,-0.321,4.586,-1.0,-211.0,65.0,0.14
438.0,0.269,0.097,0.954,0.411,0.148,1.457,-1.0,-211.0,65.0,0.14
440.0,0.258,-0.165,0.949,0.508,-0.324,1.866,-1.0,-211.0,65.0,0.14
494.0,0.185,0.04,0.96,0.126,0.027,0.652,-1.0,-211.0,65.0,0.14
498.0,-0.222,0.52,-0.733,-0.082,0.192,-0.27,1.0,211.0,65.0,0.14
499.0,0.358,-0.705,-0.412,0.11,-0.217,-0.127,-1.0,-211.0,65.0,0.14
546.0,0.338,-0.892,-0.217,0.225,-0.593,-0.144,1.0,211.0,65.0,0.14
