hit_id,r,phi,z,layer_id,particle_id
1,3.1,-1.95,0.96,1,154
2,5.05,-1.9415841584158415,1.56,2,154
3,8.85,-1.9265536723163843,2.7600000000000002,3,154
4,12.25,-1.9130612244897958,3.84,4,154
5,29.9,-1.8428227424749162,9.36,5,154
6,37.1,-1.8140053908355793,11.64,6,154
7,44.3,-1.7851151241534986,13.92,7,154
8,51.4,-1.7563579766536963,16.16,8,154
9,3.1,1.3725806451612903,-10.36,1,277
10,5.05,1.3633663366336635,-16.84,2,277
11,8.85,1.3463276836158193,-29.52,3,277
12,12.25,1.3310204081632653,-40.88,4,277
13,29.9,1.2517458193979931,-100.04,5,277
14,37.1,1.2190512129380051,-124.32000000000001,6,277
15,44.3,1.1864695259593678,-148.76,7,277
16,51.4,1.1537509727626458,-173.,8,277
17,3.1,0.1629032258064516,-18.2,1,343
18,5.05,0.11485148514851486,-29.68,2,343
19,8.85,0.02090395480225989,-52.28,3,343
20,12.25,-0.06530612244897958,-72.92,4,343
21,29.9,-0.5819799331103679,-196.64000000000001,5,343
22,37.1,-0.8995795148247977,-272.72,6,343
23,3.1,0.48870967741935484,0.84,1,345
24,5.05,0.46930693069306934,1.4000000000000001,2,345
25,8.85,0.43333333333333335,2.44,3,345
26,12.25,0.4008163265306122,3.4,4,345
27,29.9,0.2294715719063545,8.36,5,345
28,37.1,0.1571698113207547,10.48,6,345
29,44.3,0.08304288939051918,12.6,7,345
30,51.4,0.006945525291828793,14.8,8,345
31,3.1,0.8596774193548387,-1.04,1,346
32,5.05,0.8782178217821782,-1.72,2,346
33,8.85,0.9129943502824859,-3.04,3,346
34,12.25,0.9444897959183672,-4.2,4,346
35,29.9,1.110515050167224,-10.36,5,346
36,37.1,1.1802857142857142,-12.92,6,346
37,44.3,1.2520135440180586,-15.6,7,346
38,51.4,1.3252062256809338,-18.28,8,346
39,3.1,0.8451612903225807,-2.12,1,374
40,5.05,0.8405940594059406,-3.44,2,374
41,8.85,0.8333333333333334,-6.,3,374
42,12.25,0.8265306122448979,-8.32,4,374
43,29.9,0.7916655518394649,-20.32,5,374
44,37.1,0.7773261455525605,-25.2,6,374
45,44.3,0.7629661399548532,-30.12,7,374
46,51.4,0.7487937743190661,-34.96,8,374
47,3.1,-0.02903225806451613,-0.52,1,457
48,5.05,0.016831683168316833,-0.84,2,457
49,8.85,0.10734463276836159,-1.48,3,457
50,12.25,0.1897959183673469,-2.04,4,457
51,29.9,0.6763612040133778,-5.44,5,457
52,37.1,0.9554824797843664,-7.4,6,457
53,3.1,-2.729032258064516,-1.84,1,642
54,5.05,-2.7613861386138616,-3.,2,642
55,8.85,-2.824858757062147,-5.24,3,642
56,12.25,-2.8820408163265303,-7.28,4,642
57,29.9,3.087859531772575,-18.48,5,642
58,37.1,2.944161725067385,-23.6,6,642
59,44.3,2.7827042889390516,-29.36,7,642
60,3.1,1.3,5.64,1,643
61,5.05,1.306930693069307,9.16,2,643
62,8.85,1.3203389830508474,16.04,3,643
63,12.25,1.3326530612244896,22.240000000000002,4,643
64,29.9,1.3967290969899664,54.32,5,643
65,37.1,1.4228679245283016,67.48,6,643
66,44.3,1.4491828442437922,80.68,7,643
67,51.4,1.4753618677042801,93.76,8,643
68,3.1,-0.7274193548387097,1.68,1,645
69,5.05,-0.7514851485148515,2.7600000000000002,2,645
70,8.85,-0.7988700564971751,4.84,3,645
71,12.25,-0.8416326530612244,6.68,4,645
72,29.9,-1.0693511705685619,16.68,5,645
73,37.1,-1.1683719676549864,20.96,6,645
74,44.3,-1.2719683972911962,25.52,7,645
75,51.4,-1.3824902723735408,30.32,8,645
76,3.1,1.403225806451613,-2.68,1,661
77,5.05,1.4089108910891088,-4.4,2,661
78,8.85,1.419774011299435,-7.68,3,661
79,12.25,1.4297959183673468,-10.64,4,661
80,29.9,1.4818996655518393,-26.,5,661
81,37.1,1.5033315363881399,-32.32,6,661
82,44.3,1.5247042889390519,-38.6,7,661
83,51.4,1.5458754863813229,-44.84,8,661
84,3.1,1.55,-2.44,1,663
85,5.05,1.5495049504950495,-3.96,2,663
86,8.85,1.548587570621469,-6.92,3,663
87,12.25,1.5485714285714285,-9.56,4,663
88,29.9,1.5464882943143812,-23.36,5,663
89,37.1,1.5457628032345012,-28.96,6,663
90,44.3,1.544966139954853,-34.6,7,663
91,51.4,1.5441556420233462,-40.12,8,663
92,3.1,1.5935483870967742,-2.68,1,665
93,5.05,1.5930693069306932,-4.4,2,665
94,8.85,1.5915254237288137,-7.68,3,665
95,12.25,1.590612244897959,-10.64,4,665
96,29.9,1.5841270903010032,-25.96,5,665
97,3.1,1.9403225806451614,-1.52,1,667
98,5.05,1.9435643564356435,-2.48,2,667
99,8.85,1.9468926553672317,-4.36,3,667
100,12.25,1.950204081632653,-6.04,4,667
101,29.9,1.9683612040133778,-14.72,5,667
102,37.1,1.9756657681940697,-18.240000000000002,6,667
103,44.3,1.9830519187358915,-21.8,7,667
104,51.4,1.9902568093385213,-25.28,8,667
105,3.1,1.767741935483871,-1.48,1,668
106,5.05,1.7663366336633664,-2.4,2,668
107,8.85,1.7621468926553674,-4.24,3,668
108,12.25,1.7587755102040814,-5.88,4,668
109,29.9,1.7419598662207356,-14.32,5,668
110,37.1,1.735008086253369,-17.76,6,668
111,44.3,1.7280135440180584,-21.240000000000002,7,668
112,51.4,1.7211673151750972,-24.64,8,668
113,3.1,-3.024193548387097,-0.4,1,676
114,5.05,-3.010891089108911,-0.64,2,676
115,8.85,-2.984180790960452,-1.16,3,676
116,12.25,-2.9599999999999995,-1.6,4,676
117,29.9,-2.8355317725752505,-3.92,5,676
118,37.1,-2.7836010781671154,-4.88,6,676
119,44.3,-2.731435665914221,-5.88,7,676
120,51.4,-2.6784591439688716,-6.88,8,676
121,3.1,-2.082258064516129,0.28,1,678
122,5.05,-2.0623762376237624,0.44,2,678
123,8.85,-2.02316384180791,0.8,3,678
124,12.25,-1.9885714285714284,1.08,4,678
125,29.9,-1.8040468227424749,2.68,5,678
126,37.1,-1.7259353099730457,3.36,6,678
127,44.3,-1.645354401805869,4.08,7,678
128,51.4,-1.5624785992217898,4.76,8,678
129,3.1,0.11451612903225807,3.2,1,682
130,5.05,0.12079207920792079,5.2,2,682
131,8.85,0.13163841807909604,9.16,3,682
132,12.25,0.14163265306122447,12.64,4,682
133,29.9,0.19365217391304346,30.92,5,682
134,37.1,0.21508894878706197,38.4,6,682
135,44.3,0.23631151241534987,45.88,7,682
136,51.4,0.25757976653696496,53.28,8,682
137,3.1,2.064516129032258,-0.4,1,683
138,5.05,2.0415841584158416,-0.64,2,683
139,8.85,1.9966101694915255,-1.16,3,683
140,12.25,1.9559183673469387,-1.6,4,683
141,29.9,1.739458193979933,-4.,5,683
142,37.1,1.646296495956873,-5.,6,683
143,44.3,1.5489571106094806,-6.08,7,683
144,51.4,1.4463229571984435,-7.2,8,683
145,3.1,0.6629032258064516,2.96,1,686
146,5.05,0.6663366336633664,4.84,2,686
147,8.85,0.6728813559322034,8.48,3,686
148,12.25,0.6787755102040816,11.72,4,686
149,29.9,0.7094515050167224,28.64,5,686
150,37.1,0.7218814016172506,35.56,6,686
151,44.3,0.7344153498871331,42.480000000000004,7,686
152,51.4,0.7467431906614785,49.28,8,686
153,3.1,-0.13548387096774195,5.44,1,687
154,5.05,-0.14752475247524752,8.84,2,687
155,8.85,-0.17062146892655367,15.52,3,687
156,12.25,-0.19142857142857142,21.52,4,687
157,29.9,-0.3002006688963211,52.72,5,687
158,37.1,-0.34531536388140155,65.64,6,687
159,44.3,-0.3905011286681715,78.68,7,687
160,51.4,-0.4361789883268482,91.72,8,687
161,3.1,1.7096774193548387,18.080000000000002,1,794
162,5.05,1.697029702970297,29.48,2,794
163,8.85,1.6700564971751413,51.68,3,794
164,12.25,1.6465306122448977,71.56,4,794
165,29.9,1.5219264214046822,175.72,5,794
166,37.1,1.4702479784366576,218.92000000000002,6,794
167,44.3,1.4177923250564333,262.76,7,794
168,51.4,1.365225680933852,306.72,8,794
169,3.1,-0.4241935483870968,6.6000000000000005,1,795
170,5.05,-0.4118811881188119,10.76,2,795
171,8.85,-0.3887005649717514,18.84,3,795
172,12.25,-0.3681632653061224,26.12,4,795
173,29.9,-0.26108361204013375,64.,5,795
174,37.1,-0.21683018867924525,79.68,6,795
175,44.3,-0.17207223476297967,95.48,7,795
176,51.4,-0.12740077821011672,111.28,8,795
177,3.1,-2.77258064516129,0.08,1,796
178,5.05,-2.7801980198019804,0.16,2,796
179,8.85,-2.7932203389830508,0.24,3,796
180,12.25,-2.8057142857142856,0.36,4,796
181,29.9,-2.8687357859531772,0.84,5,796
182,37.1,-2.894673854447439,1.08,6,796
183,44.3,-2.920699774266365,1.28,7,796
184,51.4,-2.946490272373541,1.48,8,796
185,3.1,1.8241935483870968,-0.56,1,797
186,5.05,1.8336633663366337,-0.88,2,797
187,8.85,1.8519774011299435,-1.56,3,797
188,12.25,1.8685714285714283,-2.2,4,797
189,29.9,1.953010033444816,-5.36,5,797
190,37.1,1.9877628032345012,-6.640000000000001,6,797
191,44.3,2.022731376975169,-7.96,7,797
192,51.4,2.057529182879377,-9.24,8,797
193,3.1,1.0806451612903225,0.76,1,799
194,5.05,1.0702970297029704,1.24,2,799
195,8.85,1.0497175141242938,2.16,3,799
196,12.25,1.0322448979591836,2.96,4,799
197,29.9,0.9392642140468227,7.28,5,799
198,37.1,0.9011374663072775,9.040000000000001,6,799
199,44.3,0.8625869074492098,10.84,7,799
200,51.4,0.824136186770428,12.6,8,799
201,3.1,0.9145161290322581,0.32,1,820
202,5.05,0.9089108910891089,0.52,2,820
203,8.85,0.9,0.92,3,820
204,12.25,0.8918367346938775,1.28,4,820
205,29.9,0.8494314381270902,3.12,5,820
206,37.1,0.8320377358490565,3.88,6,820
207,44.3,0.8146185101580135,4.64,7,820
208,51.4,0.7974785992217899,5.36,8,820
209,3.1,1.6435483870967742,0.52,1,821
210,5.05,1.6623762376237623,0.84,2,821
211,8.85,1.6988700564971753,1.48,3,821
212,12.25,1.7322448979591836,2.08,4,821
213,29.9,1.9078662207357857,5.12,5,821
214,37.1,1.981897574123989,6.4,6,821
215,44.3,2.05803611738149,7.72,7,821
216,51.4,2.1363112840466925,9.08,8,821
217,3.1,1.6419354838709677,15.08,1,827
218,5.05,1.6346534653465348,24.52,2,827
219,8.85,1.6192090395480228,43.,3,827
220,12.25,1.6053061224489795,59.52,4,827
221,29.9,1.5329565217391303,145.64000000000001,5,827
222,37.1,1.5031482479784364,180.96,6,827
223,44.3,1.4733589164785552,216.4,7,827
224,51.4,1.4438093385214008,251.56,8,827
225,3.1,-1.3419354838709678,5.04,1,842
226,5.05,-1.3316831683168318,8.2,2,842
227,8.85,-1.3112994350282485,14.4,3,842
228,12.25,-1.2930612244897959,19.92,4,842
229,29.9,-1.197163879598662,48.84,5,842
230,37.1,-1.1577412398921831,60.76,6,842
231,44.3,-1.1180090293453724,72.76,7,842
232,51.4,-1.0783424124513619,84.72,8,842
233,3.1,1.4709677419354839,-1.44,1,845
234,5.05,1.4495049504950495,-2.36,2,845
235,8.85,1.4067796610169492,-4.16,3,845
