hit_id,r,phi,z,layer_id,particle_id
1,3.1,-2.829032258064516,-5.36,1,108
2,5.05,-2.8257425742574256,-8.76,2,108
3,8.85,-2.819774011299435,-15.32,3,108
4,12.25,-2.81469387755102,-21.240000000000002,4,108
5,29.9,-2.7869765886287623,-51.84,5,108
6,37.1,-2.7758113207547166,-64.32000000000001,6,108
7,44.3,-2.764437923250564,-76.84,7,108
8,51.4,-2.7534046692607004,-89.16,8,108
9,3.1,0.7338709677419355,8.96,1,110
10,5.05,0.7257425742574257,14.6,2,110
11,8.85,0.7101694915254237,25.64,3,110
12,12.25,0.6963265306122448,35.480000000000004,4,110
13,29.9,0.6235986622073578,86.76,5,110
14,37.1,0.5937628032345013,107.8,6,110
15,44.3,0.5638013544018058,128.96,7,110
16,51.4,0.5340778210116731,149.92000000000002,8,110
17,3.1,-1.3709677419354838,-1.2,1,347
18,5.05,-1.3574257425742575,-1.92,2,347
19,8.85,-1.3305084745762712,-3.4,3,347
20,12.25,-1.3065306122448979,-4.72,4,347
21,29.9,-1.180448160535117,-11.56,5,347
22,37.1,-1.1281401617250673,-14.4,6,347
23,44.3,-1.0751828442437923,-17.28,7,347
24,51.4,-1.0220505836575875,-20.2,8,347
25,3.1,0.3161290322580645,11.96,1,369
26,5.05,0.3217821782178218,19.52,2,369
27,8.85,0.3327683615819209,34.160000000000004,3,369
28,12.25,0.3420408163265306,47.32,4,369
29,29.9,0.3917391304347826,115.60000000000001,5,369
30,37.1,0.412032345013477,143.52,6,369
31,44.3,0.43225282167042883,171.52,7,369
32,51.4,0.45245136186770424,199.16,8,369
33,3.1,0.29516129032258065,7.72,1,370
34,5.05,0.2851485148514852,12.6,2,370
35,8.85,0.2632768361581921,22.080000000000002,3,370
36,12.25,0.24367346938775508,30.6,4,370
37,29.9,0.14305016722408026,74.96000000000001,5,370
38,37.1,0.10163342318059297,93.24,6,370
39,44.3,0.059480812641083514,111.72,7,370
40,51.4,0.017793774319066147,130.12,8,370
41,3.1,0.29516129032258065,4.28,1,372
42,5.05,0.2851485148514852,6.96,2,372
43,8.85,0.2655367231638418,12.24,3,372
44,12.25,0.24816326530612243,16.92,4,372
45,29.9,0.1577190635451505,41.480000000000004,5,372
