PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,777.436,-25.223,-594.26,24.998,500.0,1.0,1.0,215.0,300.0
15.0,747.691,60.081,525.314,-171.688,500.0,-1.0,1.0,215.0,301.0
