"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-2.175806451612903,3.8000000000000003,1,77
2,5.05,-2.1554455445544556,6.2,2,77
3,8.85,-2.1163841807909605,10.88,3,77
4,12.25,-2.080816326530612,15.08,4,77
5,29.9,-1.894334448160535,37.28,5,77
6,37.1,-1.815196765498652,46.72,6,77
7,44.3,-1.7334627539503384,56.44,7,77
8,51.4,-1.649396887159533,66.44,8,77
9,3.1,-1.782258064516129,1.12,1,81
10,5.05,-1.795049504950495,1.8,2,81
11,8.85,-1.8192090395480227,3.16,3,81
12,12.25,-1.840408163265306,4.36,4,81
13,29.9,-1.9527826086956521,10.68,5,81
14,37.1,-1.9992183288409702,13.32,6,81
15,44.3,-2.046139954853273,15.96,7,81
16,51.4,-2.0929844357976655,18.6,8,81
17,3.1,-2.17258064516129,-16.2,1,178
18,5.05,-2.1752475247524754,-26.36,2,178
19,8.85,-2.1807909604519775,-46.24,3,178
20,12.25,-2.1853061224489796,-64.,4,178
21,29.9,-2.2105685618729094,-156.20000000000002,5,178
22,37.1,-2.2209056603773583,-193.84,6,178
23,44.3,-2.231182844243792,-231.52,7,178
24,51.4,-2.241354085603113,-268.68,8,178
25,3.1,3.096774193548387,-1.56,1,210
26,5.05,3.114851485148515,-2.56,2,210
27,8.85,-3.1338983050847458,-4.48,3,210
28,12.25,-3.1028571428571428,-6.2,4,210
29,29.9,-2.938782608695652,-15.280000000000001,5,210
30,37.1,-2.8696549865229106,-19.12,6,210
31,44.3,-2.799358916478555,-23.,7,210
32,51.4,-2.727011673151751,-27.,8,210
33,3.1,-2.1596774193548387,-13.72,1,241
34,5.05,-2.1435643564356437,-22.36,2,241
35,8.85,-2.112994350282486,-39.24,3,241
36,12.25,-2.0853061224489795,-54.36,4,241
37,29.9,-1.9406153846153844,-133.8,5,241
38,37.1,-1.8803557951482477,-166.92000000000002,6,241
39,44.3,-1.8188848758465008,-200.68,7,241
40,51.4,-1.7568871595330737,-234.8,8,241
41,3.1,-0.4112903225806452,2.7600000000000002,1,411
42,5.05,-0.4267326732673267,4.5200000000000005,2,411
43,8.85,-0.4570621468926554,7.92,3,411
44,12.25,-0.4840816326530612,10.96,4,411
45,29.9,-0.6265551839464882,27.,5,411
46,37.1,-0.6859568733153638,33.68,6,411
47,44.3,-0.7463882618510157,40.480000000000004,7,411
48,51.4,-0.8077315175097276,47.36,8,411
49,3.1,-1.5580645161290323,7.24,1,420
50,5.05,-1.5267326732673268,11.84,2,420
51,8.85,-1.4661016949152543,20.8,3,420
52,12.25,-1.410612244897959,28.84,4,420
53,29.9,-1.1088093645484949,73.,5,420
54,37.1,-0.97188679245283,93.,6,420
55,44.3,-0.8193002257336343,115.28,7,420
56,51.4,-0.6407743190661478,141.36,8,420
57,3.1,2.8548387096774195,12.72,1,422
58,5.05,2.8594059405940593,20.72,2,422
59,8.85,2.868361581920904,36.32,3,422
60,12.25,2.877142857142857,50.28,4,422
61,29.9,2.9209297658862874,122.84,5,422
62,37.1,2.938846361185983,152.52,6,422
63,44.3,2.9567720090293452,182.20000000000002,7,422
64,51.4,2.9745369649805444,211.56,8,422
65,3.1,0.22096774193548388,-3.36,1,426
66,5.05,0.21287128712871287,-5.48,2,426
67,8.85,0.19491525423728814,-9.6,3,426
68,12.25,0.17918367346938774,-13.280000000000001,4,426
69,29.9,0.09676923076923076,-32.480000000000004,5,426
70,37.1,0.06314285714285714,-40.36,6,426
71,44.3,0.02893453724604966,-48.28,7,426
72,51.4,-0.004762645914396887,-56.160000000000004,8,426
73,3.1,3.0080645161290325,-9.120000000000001,1,427
74,5.05,3.0287128712871287,-14.84,2,427
75,8.85,3.0672316384180793,-26.04,3,427
76,12.25,3.1024489795918364,-36.08,4,427
77,29.9,-2.9947290969899663,-89.32000000000001,5,427
78,37.1,-2.916026954177897,-111.84,6,427
79,44.3,-2.83458690744921,-135.16,7,427
80,51.4,-2.750758754863813,-159.12,8,427
81,3.1,-0.1967741935483871,0.4,1,428
82,5.05,-0.21683168316831683,0.64,2,428
83,8.85,-0.2576271186440678,1.08,3,428
84,12.25,-0.293469387755102,1.52,4,428
85,29.9,-0.48566555183946486,3.7600000000000002,5,428
