particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
186.0,0.44,-0.04,0.865,0.258,-0.023,0.507,-1.0,-211.0,265.0,0.14
187.0,-0.161,-0.033,0.986,-0.548,-0.113,3.365,1.0,211.0,265.0,0.14
189.0,-0.838,-0.327,0.36,-0.469,-0.183,0.202,1.0,211.0,265.0,0.14
191.0,-0.379,-0.271,-0.874,-0.39,-0.279,-0.898,1.0,211.0,265.0,0.14
192.0,-0.42,0.711,-0.509,-0.242,0.409,-0.293,-1.0,-211.0,265.0,0.14
205.0,-0.734,0.589,-0.049,-0.306,0.246,-0.021,1.0,211.0,265.0,0.14
222.0,-0.377,0.338,0.82,-0.198,0.177,0.43,1.0,211.0,265.0,0.14
271.0,0.082,0.367,0.917,0.085,0.38,0.949,-1.0,-211.0,265.0,0.14
272.0,-0.169,-0.397,0.884,-0.129,-0.302,0.673,1.0,211.0,265.0,0.14
273.0,-0.774,0.345,-0.249,-0.231,0.103,-0.074,-1.0,-211.0,265.0,0.14
276.0,-0.213,0.107,-0.817,-0.2,0.101,-0.768,-1.0,-321.0,265.0,0.494
325.0,0.114,-0.22,0.967,0.238,-0.46,2.023,-1.0,-211.0,265.0,0.14
388.0,0.353,0.167,0.912,0.379,0.179,0.978,-1.0,-211.0,265.0,0.14
389.0,0.496,-0.618,0.528,0.227,-0.283,0.242,-1.0,-211.0,265.0,0.14
391.0,0.206,-0.921,-0.089,0.091,-0.406,-0.039,-1.0,-211.0,265.0,0.14
395.0,-0.156,-0.046,-0.986,-0.611,-0.18,-3.855,1.0,211.0,265.0,0.14
406.0,-0.321,-0.125,-0.865,-0.435,-0.17,-1.171,-1.0,-321.0,265.0,0.494
407.0,0.17,0.464,-0.849,0.127,0.346,-0.633,1.0,211.0,265.0,0.14
429.0,0.332,-0.187,-0.878,0.161,-0.09,-0.425,-1.0,-211.0,265.0,0.14
495.0,-0.242,0.221,0.906,-0.126,0.115,0.472,1.0,211.0,265.0,0.14
496.0,0.374,0.518,0.639,0.122,0.169,0.209,-1.0,-211.0,265.0,0.14
499.0,0.039,-0.362,-0.92,0.039,-0.359,-0.913,1.0,211.0,265.0,0.14
523.0,0.899,0.194,-0.189,0.365,0.079,-0.077,1.0,211.0,265.0,0.14
524.0,-0.331,-0.677,0.587,-0.156,-0.32,0.277,-1.0,-211.0,265.0,0.14
525.0,-0.203,-0.287,0.925,-0.196,-0.278,0.895,1.0,211.0,265.0,0.14
540.0,0.262,-0.235,0.858,0.345,-0.31,1.131,1.0,321.0,265.0,0.494
541.0,0.316,-0.77,0.503,0.189,-0.459,0.299,-1.0,-211.0,265.0,0.14
545.0,0.239,0.476,-0.653,0.062,0.123,-0.169,-1.0,-211.0,265.0,0.14
546.0,-0.622,0.058,-0.773,-0.802,0.074,-0.997,1.0,211.0,265.0,0.14
547.0,-0.133,0.741,-0.513,-0.045,0.251,-0.174,-1.0,-211.0,265.0,0.14
1184.0,-0.239,0.068,-0.948,-0.167,0.048,-0.664,-1.0,-211.0,265.0,0.14
1185.0,0.154,-0.131,0.978,0.371,-0.315,2.36,1.0,211.0,265.0,0.14
1212.0,-0.412,0.189,-0.859,-0.242,0.111,-0.504,1.0,211.0,265.0,0.14
1213.0,0.405,-0.28,-0.74,0.123,-0.085,-0.225,-1.0,-211.0,265.0,0.14
1214.0,0.003,-0.886,0.037,0.001,-0.268,0.011,1.0,211.0,265.0,0.14
1215.0,0.305,-0.178,0.877,0.13,-0.076,0.374,-1.0,-211.0,265.0,0.14
1342.0,-0.307,-0.459,0.819,-0.955,-1.425,2.543,-1.0,-321.0,265.0,0.494
1412.0,-0.203,-0.189,0.954,-0.255,-0.237,1.197,-1.0,-211.0,265.0,0.14
1415.0,0.005,-0.185,0.98,0.01,-0.371,1.961,-1.0,-211.0,265.0,0.14
1416.0,-0.198,-0.142,0.965,-0.299,-0.214,1.453,1.0,211.0,265.0,0.14
