PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,601.322,99.909,38.305,-316.447,500.0,1.0,1.0,743.0,1644.0
15.0,803.376,-126.301,-121.517,-603.9,500.0,-1.0,1.0,743.0,1645.0
