particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
80.0,0.232,-0.191,0.953,3.379,-2.79,13.908,-1.0,-321.0,426.0,0.494,80.0
130.0,-0.766,0.581,0.274,-2.865,2.174,1.025,-1.0,-211.0,426.0,0.14,130.0
153.0,0.194,-0.085,0.977,0.764,-0.334,3.845,1.0,211.0,426.0,0.14,153.0
155.0,0.184,-0.057,0.962,0.133,-0.041,0.695,-1.0,-211.0,426.0,0.14,155.0
180.0,0.234,0.874,-0.35,0.135,0.504,-0.202,1.0,211.0,426.0,0.14,180.0
184.0,0.344,0.398,-0.845,0.515,0.596,-1.265,-1.0,-211.0,426.0,0.14,184.0
282.0,0.325,-0.262,0.906,0.696,-0.561,1.94,1.0,211.0,426.0,0.14,282.0
302.0,-0.603,-0.508,0.533,-0.275,-0.232,0.243,1.0,211.0,426.0,0.14,302.0
303.0,0.099,0.375,-0.318,0.056,0.214,-0.181,-1.0,-321.0,426.0,0.494,303.0
304.0,0.713,-0.31,0.538,0.304,-0.132,0.229,1.0,211.0,426.0,0.14,304.0
309.0,-0.046,-0.388,0.913,-0.054,-0.447,1.053,-1.0,-211.0,426.0,0.14,309.0
310.0,-0.174,-0.229,0.91,-0.081,-0.106,0.423,-1.0,-211.0,426.0,0.14,310.0
316.0,0.398,0.251,0.882,3.362,2.117,7.454,1.0,211.0,426.0,0.14,316.0
317.0,0.405,0.259,0.877,6.32,4.042,13.698,1.0,211.0,426.0,0.14,317.0
318.0,0.403,0.238,0.883,1.659,0.98,3.64,-1.0,-211.0,426.0,0.14,318.0
320.0,-0.37,-0.014,0.929,-19.386,-0.751,48.697,-1.0,11.0,426.0,0.001,320.0
327.0,-0.674,-0.549,-0.465,-0.552,-0.449,-0.381,1.0,211.0,426.0,0.14,327.0
328.0,-0.129,-0.803,0.107,-0.031,-0.196,0.026,-1.0,-211.0,426.0,0.14,328.0
329.0,0.17,-0.333,0.924,0.285,-0.557,1.548,1.0,211.0,426.0,0.14,329.0
330.0,0.03,-0.174,0.982,0.063,-0.362,2.049,-1.0,-211.0,426.0,0.14,330.0
