particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
233.0,0.158,-0.243,-0.938,0.412,-0.632,-2.444,-1.0,-321.0,911.0,0.494,233.0
234.0,0.496,-0.342,-0.795,0.969,-0.667,-1.552,1.0,211.0,911.0,0.14,234.0
235.0,0.286,0.283,-0.914,0.756,0.75,-2.419,-1.0,-211.0,911.0,0.14,235.0
238.0,-0.014,-0.62,-0.474,-0.003,-0.139,-0.106,-1.0,-211.0,911.0,0.14,238.0
240.0,-0.501,-0.319,-0.617,-0.479,-0.305,-0.59,1.0,321.0,911.0,0.494,240.0
241.0,-0.447,-0.096,-0.852,-0.866,-0.185,-1.65,-1.0,-321.0,911.0,0.494,241.0
243.0,-0.475,-0.419,-0.771,-0.974,-0.859,-1.582,1.0,211.0,911.0,0.14,243.0
244.0,-0.468,0.387,-0.699,-0.173,0.143,-0.258,-1.0,-211.0,911.0,0.14,244.0
246.0,-0.304,-0.878,0.28,-0.174,-0.504,0.161,1.0,211.0,911.0,0.14,246.0
385.0,0.325,0.216,-0.892,0.197,0.131,-0.541,1.0,211.0,911.0,0.14,385.0
387.0,-0.631,-0.368,-0.666,-0.589,-0.343,-0.621,-1.0,-211.0,911.0,0.14,387.0
388.0,-0.797,-0.007,-0.514,-1.236,-0.011,-0.797,1.0,321.0,911.0,0.494,388.0
389.0,-0.381,-0.739,-0.372,-0.456,-0.885,-0.445,-1.0,-321.0,911.0,0.494,389.0
393.0,-0.118,-0.405,0.144,-0.065,-0.224,0.079,-1.0,-321.0,911.0,0.494,393.0
394.0,-0.151,-0.559,0.746,-0.064,-0.238,0.317,1.0,211.0,911.0,0.14,394.0
446.0,0.309,0.358,-0.861,0.231,0.268,-0.644,-1.0,-211.0,911.0,0.14,446.0
448.0,0.256,-0.193,-0.946,0.698,-0.525,-2.576,1.0,211.0,911.0,0.14,448.0
454.0,-0.776,-0.088,-0.547,-0.358,-0.041,-0.252,1.0,211.0,911.0,0.14,454.0
455.0,0.224,-0.361,-0.839,0.092,-0.148,-0.345,-1.0,-211.0,911.0,0.14,455.0
459.0,-0.747,-0.616,0.007,-0.415,-0.342,0.004,1.0,211.0,911.0,0.14,459.0
460.0,-0.54,-0.746,-0.257,-0.255,-0.353,-0.121,-1.0,-211.0,911.0,0.14,460.0
462.0,0.351,-0.875,0.127,0.159,-0.395,0.057,1.0,211.0,911.0,0.14,462.0
463.0,-0.086,-0.75,0.595,-0.044,-0.38,0.302,-1.0,-211.0,911.0,0.14,463.0
469.0,0.326,0.271,0.836,0.131,0.109,0.336,-1.0,-211.0,911.0,0.14,469.0
521.0,0.098,-0.192,-0.972,0.14,-0.275,-1.392,-1.0,-211.0,911.0,0.14,521.0
523.0,0.227,0.085,-0.968,0.526,0.196,-2.248,1.0,211.0,911.0,0.14,523.0
524.0,0.34,0.042,-0.81,0.1,0.012,-0.237,-1.0,-211.0,911.0,0.14,524.0
526.0,-0.236,0.064,-0.959,-0.232,0.063,-0.94,1.0,211.0,911.0,0.14,526.0
