particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
95.0,-0.047,0.624,0.324,-0.033,0.434,0.225,1.0,321.0,980.0,0.494
114.0,-0.02,-0.188,0.93,-0.031,-0.296,1.461,1.0,321.0,980.0,0.494
116.0,-0.479,0.374,-0.778,-0.423,0.33,-0.686,-1.0,-211.0,980.0,0.14
213.0,0.018,0.437,0.817,0.007,0.162,0.303,1.0,211.0,980.0,0.14
353.0,-0.311,-0.039,-0.939,-0.31,-0.039,-0.939,1.0,211.0,980.0,0.14
354.0,0.787,0.431,-0.226,0.289,0.158,-0.083,-1.0,-211.0,980.0,0.14
355.0,0.141,-0.348,-0.858,0.056,-0.139,-0.343,-1.0,-211.0,980.0,0.14
358.0,0.235,-0.178,0.895,0.098,-0.074,0.373,-1.0,-211.0,980.0,0.14
382.0,-0.117,-0.168,-0.965,-0.353,-0.507,-2.919,-1.0,-321.0,980.0,0.494
399.0,0.456,0.579,0.603,0.209,0.266,0.277,-1.0,-211.0,980.0,0.14
485.0,0.271,0.304,-0.884,0.165,0.185,-0.538,1.0,211.0,980.0,0.14
493.0,0.272,0.837,0.397,0.145,0.447,0.212,1.0,211.0,980.0,0.14
494.0,0.878,0.289,0.323,0.6,0.198,0.221,-1.0,-211.0,980.0,0.14
496.0,0.32,0.705,0.621,1.275,2.807,2.471,1.0,321.0,980.0,0.494
497.0,0.149,0.821,0.512,0.101,0.559,0.349,-1.0,-211.0,980.0,0.14
524.0,0.314,-0.542,0.178,0.058,-0.1,0.033,-1.0,-211.0,980.0,0.14
583.0,0.397,-0.237,-0.887,0.1,-0.06,-0.224,-1.0,11.0,980.0,0.001
584.0,0.403,-0.242,-0.883,0.129,-0.078,-0.284,1.0,-11.0,980.0,0.001
642.0,0.128,-0.177,-0.97,0.164,-0.225,-1.239,-1.0,-211.0,980.0,0.14
681.0,-0.015,-0.609,0.573,-0.004,-0.155,0.146,1.0,211.0,980.0,0.14
682.0,-0.609,0.499,-0.347,-0.167,0.137,-0.095,-1.0,-211.0,980.0,0.14
841.0,-0.584,0.485,0.513,-0.204,0.169,0.179,-1.0,-211.0,980.0,0.14
842.0,0.183,0.469,0.862,0.505,1.299,2.387,1.0,211.0,980.0,0.14
845.0,0.29,0.639,0.696,0.265,0.584,0.637,-1.0,-211.0,980.0,0.14
847.0,-0.183,0.688,0.651,-0.096,0.362,0.342,-1.0,-211.0,980.0,0.14
851.0,0.008,0.305,-0.946,0.011,0.391,-1.213,1.0,211.0,980.0,0.14
908.0,-0.247,-0.122,0.961,-1.062,-0.523,4.13,1.0,211.0,980.0,0.14
982.0,-0.702,-0.263,-0.368,-0.629,-0.236,-0.33,1.0,321.0,980.0,0.494
985.0,-0.273,-0.386,-0.881,-1.159,-1.642,-3.745,-1.0,-211.0,980.0,0.14
989.0,0.422,-0.868,0.171,1.044,-2.145,0.423,1.0,321.0,980.0,0.494
994.0,-0.585,-0.461,0.655,-0.648,-0.511,0.726,-1.0,-211.0,980.0,0.14
1007.0,-0.141,0.105,-0.983,-0.392,0.29,-2.727,1.0,211.0,980.0,0.14
1057.0,0.215,-0.33,0.9,0.163,-0.25,0.681,1.0,211.0,980.0,0.14
1058.0,0.771,-0.031,0.621,0.761,-0.031,0.613,-1.0,-211.0,980.0,0.14
1059.0,0.338,-0.723,0.536,0.171,-0.366,0.271,1.0,211.0,980.0,0.14
1061.0,-0.644,-0.323,0.641,-0.341,-0.171,0.339,1.0,211.0,980.0,0.14
1063.0,-0.02,0.565,-0.819,-0.027,0.756,-1.097,1.0,211.0,980.0,0.14
1064.0,0.005,-0.562,-0.41,0.001,-0.109,-0.08,-1.0,-211.0,980.0,0.14
1072.0,-0.313,-0.17,-0.902,-0.177,-0.096,-0.511,-1.0,-211.0,980.0,0.14
1095.0,0.682,0.288,0.66,0.727,0.307,0.704,1.0,211.0,980.0,0.14
1096.0,-0.208,0.561,0.768,-0.127,0.344,0.47,-1.0,-211.0,980.0,0.14
1128.0,-0.173,-0.058,0.979,-0.992,-0.331,5.609,-1.0,-321.0,980.0,0.494
1136.0,0.057,-0.165,0.984,0.234,-0.678,4.052,-1.0,-211.0,980.0,0.14
1149.0,-0.572,-0.549,-0.598,-0.645,-0.619,-0.674,1.0,211.0,980.0,0.14
1152.0,-0.062,-0.471,-0.728,-0.062,-0.47,-0.726,-1.0,-321.0,980.0,0.494
1153.0,0.08,-0.593,-0.797,0.139,-1.028,-1.383,1.0,211.0,980.0,0.14
1156.0,0.322,-0.603,-0.729,1.333,-2.493,-3.016,1.0,211.0,980.0,0.14
1158.0,-0.29,-0.397,-0.866,-0.449,-0.614,-1.341,-1.0,-211.0,980.0,0.14
1163.0,0.138,-0.895,0.154,0.172,-1.116,0.192,1.0,321.0,980.0,0.494
1164.0,-0.096,-0.763,0.624,-0.097,-0.771,0.63,-1.0,-211.0,980.0,0.14
1166.0,0.0,-0.887,0.416,0.0,-0.621,0.291,-1.0,-211.0,980.0,0.14
1168.0,-0.205,-0.124,0.969,-0.435,-0.264,2.054,1.0,211.0,980.0,0.14
1285.0,0.818,-0.163,-0.543,1.169,-0.233,-0.776,1.0,211.0,980.0,0.14
1287.0,0.779,-0.51,-0.364,5.264,-3.448,-2.461,-1.0,-211.0,980.0,0.14
1288.0,0.597,-0.52,-0.608,1.558,-1.358,-1.587,1.0,211.0,980.0,0.14
1292.0,0.786,-0.367,-0.404,0.375,-0.175,-0.193,-1.0,-211.0,980.0,0.14
1294.0,0.995,-0.055,-0.04,1.824,-0.101,-0.073,1.0,211.0,980.0,0.14
1295.0,0.412,0.156,0.845,0.19,0.072,0.388,-1.0,-211.0,980.0,0.14
1296.0,0.838,-0.129,-0.525,1.651,-0.254,-1.034,1.0,211.0,980.0,0.14
1297.0,0.375,-0.315,0.864,0.442,-0.371,1.019,-1.0,-211.0,980.0,0.14
1308.0,0.379,-0.755,0.533,4.455,-8.871,6.26,-1.0,-321.0,980.0,0.494
1310.0,0.115,-0.88,0.39,0.065,-0.496,0.22,-1.0,-211.0,980.0,0.14
1312.0,0.339,-0.681,0.649,49.307,-99.231,94.524,1.0,211.0,980.0,0.14
1316.0,0.321,-0.685,0.654,13.458,-28.698,27.425,-1.0,-211.0,980.0,0.14
1321.0,-0.185,-0.946,0.051,-0.099,-0.507,0.027,1.0,211.0,980.0,0.14
1322.0,0.177,-0.82,0.542,0.46,-2.129,1.408,-1.0,-211.0,980.0,0.14
1344.0,-0.105,-0.351,-0.911,-0.077,-0.257,-0.668,-1.0,-211.0,980.0,0.14
1390.0,0.07,0.232,0.97,0.445,1.474,6.171,-1.0,-211.0,980.0,0.14
1437.0,-0.133,-0.216,0.963,-0.2,-0.323,1.44,-1.0,-211.0,980.0,0.14
1477.0,0.417,-0.493,-0.735,0.279,-0.33,-0.492,1.0,211.0,980.0,0.14
1478.0,0.419,-0.859,-0.242,0.354,-0.726,-0.205,-1.0,-211.0,980.0,0.14
1480.0,0.226,-0.907,-0.297,0.163,-0.652,-0.213,1.0,211.0,980.0,0.14
1482.0,0.878,-0.467,0.072,1.487,-0.791,0.123,1.0,211.0,980.0,0.14
1483.0,0.605,0.474,0.442,0.182,0.143,0.133,-1.0,-211.0,980.0,0.14
1484.0,0.656,-0.626,0.414,1.099,-1.049,0.694,-1.0,-211.0,980.0,0.14
1490.0,0.469,-0.866,0.151,0.793,-1.466,0.255,1.0,211.0,980.0,0.14
1492.0,0.436,-0.785,0.355,0.234,-0.421,0.191,1.0,211.0,980.0,0.14
