val_loss,eff,pur,current_lr,auc,epoch,step,train_loss
0.03144272789359093,1.0,1.0,0.00019999995129182935,0.0,0,70,
,,,,,0,70,0.10057029873132706
0.012840713374316692,1.0,1.0,0.0003999999025836587,0.0,1,141,
,,,,,1,141,0.01991116628050804
0.0054297433234751225,1.0,1.0,0.0005999999702908099,0.0,2,212,
,,,,,2,212,0.008416986092925072
0.002508824225515127,1.0,1.0,0.0007999998051673174,0.0,3,283,
,,,,,3,283,0.0037041374016553164
0.0013049606932327151,1.0,1.0,0.0010000000474974513,0.0,4,354,
,,,,,4,354,0.0018115820130333304
0.000752486230339855,1.0,1.0,0.0011999999405816197,0.0,5,425,
,,,,,5,425,0.0009914113907143474
0.0004705233150161803,1.0,1.0,0.0013999997172504663,0.0,6,496,
,,,,,6,496,0.0005951921921223402
0.00031319784466177225,1.0,1.0,0.0011199999134987593,0.0,7,567,
,,,,,7,567,0.0003839827550109476
0.00021904995082877576,1.0,1.0,0.0018000002019107342,0.0,8,638,
,,,,,8,638,0.0002619778097141534
0.00015936158888507634,1.0,1.0,0.0020000000949949026,0.0,9,709,
,,,,,9,709,0.00018685596296563745
0.0001227222237503156,1.0,1.0,0.0020000000949949026,0.0,10,780,
,,,,,10,780,0.00013983433018438518
9.8211137810722e-05,1.0,1.0,0.0020000000949949026,0.0,11,851,
,,,,,11,851,0.00010981394007103518
8.101597632048652e-05,1.0,1.0,0.0020000000949949026,0.0,12,922,
,,,,,12,922,8.922527922550216e-05
6.835046224296093e-05,1.0,1.0,0.0020000000949949026,0.0,13,993,
,,,,,13,993,7.443047798005864e-05
5.8739507949212566e-05,1.0,1.0,0.0020000000949949026,0.0,14,1064,
,,,,,14,1064,6.334447243716568e-05
5.115503881825134e-05,1.0,1.0,0.0013999997172504663,0.0,15,1135,
,,,,,15,1135,5.482544656842947e-05
4.68635989818722e-05,1.0,1.0,0.0013999997172504663,0.0,16,1206,
,,,,,16,1206,4.896759128314443e-05
4.306389018893242e-05,1.0,1.0,0.0013999997172504663,0.0,17,1277,
,,,,,17,1277,4.494141467148438e-05
3.984530485467985e-05,1.0,1.0,0.0013999997172504663,0.0,18,1348,
,,,,,18,1348,4.1432318539591506e-05
3.698433647514321e-05,1.0,1.0,0.0013999997172504663,0.0,19,1419,
,,,,,19,1419,3.8353126001311466e-05
3.445119000389241e-05,1.0,1.0,0.0013999997172504663,0.0,20,1490,
,,,,,20,1490,3.567180101526901e-05
3.2186249882215634e-05,1.0,1.0,0.0013999997172504663,0.0,21,1561,
,,,,,21,1561,3.3279284252785146e-05
3.0174620405887254e-05,1.0,1.0,0.0013999997172504663,0.0,22,1632,
,,,,,22,1632,3.115200161118992e-05
2.8371609005262144e-05,1.0,1.0,0.0009800000116229057,0.0,23,1703,
,,,,,23,1703,2.9268168873386458e-05
2.723914076341316e-05,1.0,1.0,0.0009800000116229057,0.0,24,1774,
,,,,,24,1774,2.7799060262623243e-05
2.6225870897178538e-05,1.0,1.0,0.0009800000116229057,0.0,25,1845,
,,,,,25,1845,2.668926572368946e-05
2.516790118534118e-05,1.0,1.0,0.0009800000116229057,0.0,26,1916,
,,,,,26,1916,2.56600742432056e-05
2.4258943085442297e-05,1.0,1.0,0.0009800000116229057,0.0,27,1987,
,,,,,27,1987,2.4696328182471916e-05
2.3364882508758456e-05,1.0,1.0,0.0009800000116229057,0.0,28,2058,
,,,,,28,2058,2.3777931346558034e-05
2.254533137602266e-05,1.0,1.0,0.0009800000116229057,0.0,29,2129,
,,,,,29,2129,2.2953541702008806e-05
