PID,E,px,py,pz,m,q,status,Event#,particle_id
-15.0,798.588,-172.542,-564.689,-197.733,500.0,1.0,1.0,867.0,1711.0
15.0,1531.094,442.103,274.135,-1350.423,500.0,-1.0,1.0,867.0,1712.0
