particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
138.0,-0.065,-0.172,0.959,-0.149,-0.394,2.197,-1.0,-321.0,172.0,0.494
140.0,-0.112,-0.139,0.977,-0.136,-0.169,1.187,1.0,211.0,172.0,0.14
143.0,0.107,0.233,0.96,0.13,0.283,1.165,-1.0,-211.0,172.0,0.14
144.0,0.365,0.117,0.923,5.355,1.717,13.521,1.0,321.0,172.0,0.494
306.0,-0.291,0.011,-0.923,-0.57,0.022,-1.806,-1.0,-321.0,172.0,0.494
307.0,0.184,0.099,-0.966,0.169,0.091,-0.887,1.0,211.0,172.0,0.14
310.0,0.007,0.228,-0.97,0.012,0.403,-1.718,1.0,211.0,172.0,0.14
312.0,-0.016,0.462,-0.884,-0.03,0.871,-1.667,1.0,211.0,172.0,0.14
459.0,-0.337,-0.107,0.818,-0.366,-0.116,0.888,-1.0,-321.0,172.0,0.494
460.0,0.296,-0.158,0.933,0.323,-0.173,1.018,1.0,211.0,172.0,0.14
491.0,0.929,-0.219,0.284,1.403,-0.331,0.429,-1.0,-211.0,172.0,0.14
501.0,0.266,-0.326,0.907,0.491,-0.603,1.676,1.0,-11.0,172.0,0.001
509.0,0.065,0.435,0.89,0.076,0.505,1.033,-1.0,-211.0,172.0,0.14
525.0,-0.213,0.215,0.926,-0.131,0.132,0.568,-1.0,-211.0,172.0,0.14
556.0,-0.217,0.142,-0.953,-0.193,0.126,-0.845,-1.0,-211.0,172.0,0.14
558.0,-0.359,-0.352,-0.852,-0.346,-0.339,-0.822,1.0,211.0,172.0,0.14
565.0,-0.147,-0.218,-0.965,-1.475,-2.191,-9.7,-1.0,-211.0,172.0,0.14
567.0,-0.134,-0.151,-0.979,-0.755,-0.851,-5.524,1.0,211.0,172.0,0.14
576.0,-0.184,0.232,-0.948,-0.226,0.285,-1.167,-1.0,-211.0,172.0,0.14
577.0,0.512,0.606,-0.464,0.182,0.215,-0.164,1.0,211.0,172.0,0.14
578.0,-0.582,-0.115,-0.794,-0.633,-0.125,-0.864,-1.0,-211.0,172.0,0.14
586.0,0.277,0.42,-0.846,0.222,0.336,-0.677,-1.0,-211.0,172.0,0.14
588.0,-0.627,-0.425,0.281,-0.149,-0.101,0.067,1.0,211.0,172.0,0.14
589.0,0.185,0.598,0.383,0.038,0.123,0.079,-1.0,-211.0,172.0,0.14
591.0,-0.277,-0.055,0.564,-0.176,-0.035,0.359,1.0,321.0,172.0,0.494
598.0,-0.022,-0.174,0.98,-0.033,-0.255,1.433,1.0,211.0,172.0,0.14
619.0,-0.488,0.058,0.87,-1.81,0.215,3.227,1.0,211.0,172.0,0.14
621.0,-0.249,-0.755,0.586,-0.224,-0.679,0.527,1.0,211.0,172.0,0.14
624.0,-0.288,0.201,0.889,-0.137,0.096,0.422,-1.0,-211.0,172.0,0.14
626.0,-0.934,-0.178,0.302,-1.797,-0.342,0.581,1.0,211.0,172.0,0.14
627.0,-0.378,-0.34,0.793,-0.157,-0.141,0.329,-1.0,-211.0,172.0,0.14
631.0,-0.914,0.204,0.083,-0.375,0.084,0.034,1.0,211.0,172.0,0.14
720.0,-0.061,-0.155,-0.986,-0.079,-0.199,-1.266,1.0,-11.0,172.0,0.001
744.0,-0.69,-0.188,-0.136,-0.14,-0.038,-0.028,1.0,211.0,172.0,0.14
769.0,-0.2,0.125,0.964,-0.229,0.144,1.107,1.0,211.0,172.0,0.14
800.0,0.862,-0.432,0.258,2.058,-1.032,0.615,-1.0,-211.0,172.0,0.14
823.0,0.051,0.515,-0.845,0.052,0.53,-0.869,1.0,211.0,172.0,0.14
824.0,-0.135,0.76,-0.607,-0.1,0.562,-0.449,-1.0,-211.0,172.0,0.14
877.0,-0.22,0.468,-0.855,-0.903,1.921,-3.513,1.0,211.0,172.0,0.14
878.0,0.663,0.699,0.107,0.378,0.399,0.061,-1.0,-211.0,172.0,0.14
879.0,-0.07,0.473,0.447,-0.046,0.309,0.292,1.0,321.0,172.0,0.494
880.0,0.396,0.339,0.73,0.443,0.379,0.815,-1.0,-321.0,172.0,0.494
882.0,-0.623,0.3,0.677,-0.346,0.167,0.376,1.0,211.0,172.0,0.14
902.0,0.93,-0.061,0.343,1.097,-0.072,0.405,1.0,211.0,172.0,0.14
904.0,0.987,-0.12,0.101,4.427,-0.54,0.451,1.0,211.0,172.0,0.14
911.0,-0.341,0.676,-0.629,-0.268,0.531,-0.494,-1.0,-211.0,172.0,0.14
934.0,0.287,-0.202,0.884,0.13,-0.092,0.401,-1.0,-211.0,172.0,0.14
950.0,-0.061,0.576,-0.789,-0.041,0.391,-0.535,-1.0,-211.0,172.0,0.14
952.0,-0.241,0.777,0.331,-0.07,0.227,0.097,1.0,211.0,172.0,0.14
976.0,-0.1,-0.829,0.464,-0.047,-0.389,0.218,1.0,211.0,172.0,0.14
977.0,-0.585,-0.377,0.678,-0.347,-0.224,0.403,-1.0,-211.0,172.0,0.14
988.0,0.229,0.174,0.953,0.334,0.254,1.392,-1.0,-211.0,172.0,0.14
1014.0,0.001,-0.378,-0.918,0.003,-1.534,-3.722,1.0,321.0,172.0,0.494
1015.0,0.585,0.093,-0.781,0.411,0.066,-0.548,-1.0,-211.0,172.0,0.14
1033.0,-0.29,0.686,0.634,-0.196,0.463,0.428,1.0,211.0,172.0,0.14
1053.0,-0.494,0.344,0.332,-0.095,0.066,0.064,1.0,211.0,172.0,0.14
1086.0,-0.565,0.739,-0.294,-0.357,0.468,-0.186,1.0,211.0,172.0,0.14
1088.0,0.828,0.037,-0.517,0.541,0.024,-0.337,1.0,211.0,172.0,0.14
1089.0,0.263,0.834,0.408,0.139,0.443,0.217,-1.0,-211.0,172.0,0.14
1119.0,0.178,-0.246,0.952,0.802,-1.109,4.302,1.0,211.0,172.0,0.14
1120.0,0.346,-0.511,0.554,0.086,-0.128,0.138,-1.0,-211.0,172.0,0.14
1189.0,0.144,-0.51,-0.843,0.221,-0.783,-1.294,-1.0,-211.0,172.0,0.14
1190.0,0.103,0.469,-0.841,0.205,0.934,-1.674,1.0,321.0,172.0,0.494
1191.0,0.389,0.574,-0.63,0.549,0.808,-0.887,-1.0,-321.0,172.0,0.494
1194.0,0.309,0.81,-0.496,1.035,2.717,-1.663,1.0,211.0,172.0,0.14
1195.0,0.559,0.278,-0.773,0.681,0.338,-0.942,-1.0,-211.0,172.0,0.14
1219.0,0.574,-0.461,-0.672,0.947,-0.762,-1.109,1.0,211.0,172.0,0.14
1220.0,0.452,0.422,-0.784,1.37,1.278,-2.375,1.0,211.0,172.0,0.14
1221.0,0.544,0.512,-0.664,2.899,2.731,-3.54,-1.0,-211.0,172.0,0.14
1266.0,0.731,-0.504,0.387,1.456,-1.003,0.771,1.0,321.0,172.0,0.494
1274.0,0.29,0.06,0.955,13.365,2.777,44.008,1.0,211.0,172.0,0.14
1293.0,0.069,-0.377,-0.28,39.006,-214.013,-158.791,1.0,-15.0,172.0,500.0
1294.0,-0.517,0.3,0.662,-572.775,332.543,733.782,-1.0,15.0,172.0,500.0
1296.0,0.77,-0.508,0.385,11.394,-7.521,5.7,-1.0,-321.0,172.0,0.494
1297.0,0.748,-0.413,0.465,0.451,-0.249,0.28,1.0,211.0,172.0,0.14
1299.0,0.727,-0.467,0.475,0.621,-0.398,0.406,1.0,211.0,172.0,0.14
1300.0,0.672,-0.515,0.529,1.899,-1.455,1.495,-1.0,-211.0,172.0,0.14
1305.0,0.529,-0.249,0.802,0.588,-0.277,0.892,1.0,211.0,172.0,0.14
1306.0,0.296,-0.117,0.938,0.303,-0.119,0.958,-1.0,-211.0,172.0,0.14
1312.0,0.246,0.026,0.969,1.232,0.131,4.861,1.0,211.0,172.0,0.14
1313.0,0.224,0.115,0.967,0.927,0.476,3.998,-1.0,-211.0,172.0,0.14
1315.0,0.317,0.057,0.947,4.442,0.797,13.282,-1.0,-211.0,172.0,0.14
1319.0,0.367,0.135,0.919,1.248,0.46,3.128,1.0,211.0,172.0,0.14
1321.0,0.376,0.046,0.923,3.044,0.373,7.466,1.0,321.0,172.0,0.494
1322.0,0.536,0.116,0.829,0.681,0.147,1.055,-1.0,-211.0,172.0,0.14
1324.0,-0.286,0.051,0.929,-0.174,0.031,0.564,1.0,211.0,172.0,0.14
1325.0,0.64,-0.177,0.739,0.756,-0.209,0.873,-1.0,-211.0,172.0,0.14
1326.0,0.727,-0.009,0.671,2.466,-0.029,2.276,1.0,321.0,172.0,0.494
1327.0,0.809,0.165,0.56,1.711,0.348,1.184,-1.0,-211.0,172.0,0.14
1331.0,0.847,0.18,0.499,17.756,3.775,10.462,-1.0,-211.0,172.0,0.14
1365.0,0.848,-0.27,0.455,5.177,-1.646,2.777,1.0,211.0,172.0,0.14
1376.0,0.881,-0.235,0.41,12.086,-3.22,5.623,1.0,321.0,172.0,0.494
1393.0,0.886,0.129,0.445,6.312,0.915,3.166,1.0,211.0,172.0,0.14
1394.0,0.944,0.13,0.297,2.185,0.3,0.687,-1.0,-211.0,172.0,0.14
1400.0,0.806,-0.284,0.519,5.634,-1.983,3.627,-1.0,-211.0,172.0,0.14
